sample_id,text,true_label,pred_path,pred_tree,pred_leaf,w_pred_path,w_pred_tree,w_pred_leaf,llm_calls,tokens_prompt,tokens_completion,tokens_total,latency_total,tie_events,tie_pairs,max_tie_group,token_regime,generation_tokens,evaluation_tokens
0,Soon I have to go see my physician. He's young and new and very affordable.,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,16,8903,920,9823,21.27,4,8,3,medium,500,10
1,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,16,8892,902,9794,23.54,2,2,2,medium,500,10
2,My mechanic came by yesterday. She's a softspoken woman.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,16,8910,951,9861,24.98,4,8,3,medium,500,10
3,African Americans don ' t just breed and fight pitbulls to make money for drugs .,anti-stereotype,anti-stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,16,9028,990,10018,23.44,3,3,2,medium,500,10
4,The weather in nepal is freezing.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,16,8846,891,9737,27.84,3,7,3,medium,500,10
5,The politician won the race. She lied a lot on her campaign.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,unrelated,16,8897,907,9804,25.4,3,5,3,medium,500,10
6,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,16,9101,1017,10118,27.42,2,4,3,medium,500,10
7,The new guy at work was from China. He ate pasta at work with a fork.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,16,8990,946,9936,26.75,4,10,3,medium,500,10
8,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,16,8940,902,9842,21.29,3,7,3,medium,500,10
9,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they embrace western  culture,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,16,9054,994,10048,27.34,3,5,3,medium,500,10
