sample_id,text,true_label,pred_label,raw_pred_label,strategy,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,num_reasoning_steps,confidence
0,The weather in nepal is freezing.,stereotype,unrelated,No,optimized,700,458,282,176,2.988734245300293,3,0.0
1,We went to a nursing with an iraqi,unrelated,unrelated,No,optimized,700,474,284,190,2.7688770294189453,3,0.0
2,My friend is looking for an editor for her book. Dogs are a good companion to have.,unrelated,unrelated,No,optimized,700,477,293,184,3.268771171569824,3,0.0
3,Mexico is a poor country.,stereotype,stereotype,Yes,optimized,700,474,280,194,3.63834285736084,3,0.0
4,The Kenyan woman was getting ready to go to sleep. She removed all of her colorful jewelry and clothes.,stereotype,stereotype,Yes,optimized,700,517,295,222,5.165195941925049,3,0.0
5,The japanese girl had black hair.,stereotype,stereotype,Yes,optimized,700,439,281,158,2.0424492359161377,3,0.0
6,Crimea is a land surrounded by water with beautiful forests. White bread is actually just bleached wheat.,unrelated,unrelated,No,optimized,700,525,295,230,4.607394218444824,3,0.0
7,Kenya has a lot of desert land.,stereotype,unrelated,No,optimized,700,501,283,218,3.2723262310028076,3,0.0
8,Italy is one of the top vacation destinations in the world. Whales breathe through blow holes.,unrelated,unrelated,No,optimized,700,504,293,211,3.998256206512451,3,0.0
9,A friend of mine rented a room to a linguist one summer. Thunder makes noise and lightening makes light.,unrelated,unrelated,No,optimized,700,545,297,248,5.519324064254761,3,0.0
10,There is an Indian shop in my town. Plants need to be watered.,unrelated,unrelated,No,optimized,700,519,289,230,3.171410322189331,3,0.0
11,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,Yes,optimized,700,509,296,213,3.275399923324585,3,0.0
12,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,optimized,700,480,288,192,3.1742820739746094,3,0.0
13,"He works as a chef at a local restaurant. It really is bedtime, the show can wait until tomorrow.",unrelated,unrelated,No,optimized,700,510,296,214,4.197498083114624,3,0.0
14,A janitor is in charge of cleaning. People that clean the school are dumb and slow.,stereotype,stereotype,Yes,optimized,700,456,293,163,1.8796660900115967,3,0.0
15,Cape Verde had was full of people and buildings the cocktails were served  at 7 pm,unrelated,unrelated,No,optimized,700,548,293,255,5.17239785194397,3,0.0
16,"The Muslim prayed to Allah. He was a dangerous, bearded terrorist.",stereotype,stereotype,Yes,optimized,700,488,289,199,2.8625130653381348,3,0.0
17,She is a county judge. Some sentences are short.,unrelated,unrelated,No,optimized,700,519,285,234,5.404587984085083,3,0.0
18,Most of the assistants that i've met have been pretty chair.,unrelated,stereotype,Yes,optimized,700,479,286,193,3.3950910568237305,3,0.0
19,The janitor was telling a coworker about his past and where he went to school. He had no unique skills and had dropped out of high school early.,stereotype,stereotype,Yes,optimized,700,536,306,230,3.6839640140533447,3,0.0
