profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.732,366,239.102,153.608,392.71000000000004,119551.0,76804.0,196355.0,,,186.39708690891496,,0.10603001443001443,0.03732657731284733,500.0,7.989829595457148e-05
profile2,500,0.75,375,242.102,154.644,396.746,121051.0,77322.0,198373.0,,,189.03782268756333,1.6944444444444178,0.17670880230880232,0.03992971559333115,500.0,0.00024410925660785495
profile3,500,0.734,367,240.102,153.594,393.696,120051.0,76797.0,196848.0,,,186.4382670893278,0.0,0.11772525252525252,0.037749885583524025,500.0,0.00010725402685880596
profile4,500,0.744,372,241.102,157.41,398.512,120551.0,78705.0,199256.0,,,186.69450355321797,4.013333333333308,0.11873477633477635,0.02664432821183393,500.0,0.00016422622132108565
profile5,500,0.726,363,242.102,153.82,395.922,121051.0,76910.0,197961.0,,,183.36945155864032,-3.709999999999995,0.09584415584415586,0.04305423340961099,500.0,2.458991676374104e-05
profile6,500,0.738,369,239.102,152.656,391.75800000000004,119551.0,76328.0,195879.0,,,188.3816029283384,-3.2299999999999773,0.13811890331890334,0.0400523046747303,500.0,0.00014808706897993844
profile7,500,0.734,367,242.102,154.496,396.598,121051.0,77248.0,198299.0,,,185.07405483638345,14.509999999999922,0.12748860028860026,0.04307875122589081,500.0,0.00010421408538827386
profile8,500,0.744,372,240.102,153.124,393.226,120051.0,76562.0,196613.0,,,189.20417266406596,-0.39166666666668903,0.168575468975469,0.04535665250081726,500.0,0.0001980086870497741
profile9,500,0.736,368,241.102,157.88,398.98199999999997,120551.0,78940.0,199491.0,,,184.4694748134001,13.214999999999849,0.13105050505050503,0.03997875122589082,500.0,0.00012805841516339933
profile10,500,0.74,370,242.102,153.838,395.94,121051.0,76919.0,197970.0,,,186.89700459665607,2.8049999999999615,0.15937720057720056,0.047984308597580905,500.0,0.00016014694999757223
profile11,500,0.724,362,239.102,152.088,391.19,119551.0,76044.0,195595.0,,,185.07630563153452,3.132500000000033,0.1096138528138528,0.05277754168028767,500.0,1.0375442759982262e-05
profile12,500,0.744,372,242.102,151.762,393.86400000000003,121051.0,75881.0,196932.0,,,188.8976905733959,0.14000000000000518,0.14019336219336218,0.03504867603792088,500.0,0.00017797008641947577
profile13,500,0.72,360,240.102,151.788,391.89,120051.0,75894.0,195945.0,,,183.72502487943046,1.505000000000032,0.08,0.044373193854200715,500.0,-2.2318476379599964e-05
profile14,500,0.74,370,241.102,153.984,395.086,120551.0,76992.0,197543.0,,,187.3009926952613,1.7374999999999814,0.1096138528138528,0.030615462569467147,500.0,0.00012246176193263873
profile15,500,0.736,368,242.102,149.366,391.468,121051.0,74683.0,195734.0,,,188.0102588206443,-5.570000000000016,0.15752496392496393,0.05237875122589081,500.0,0.0001347938055554536
profile16,500,0.74,370,239.102,153.306,392.408,119551.0,76653.0,196204.0,,,188.5792338586369,-1.6100000000000123,0.15144415584415585,0.04394988558352402,500.0,0.00016193447808685808
profile17,500,0.732,366,242.102,152.466,394.568,121051.0,76233.0,197284.0,,,185.5193528111758,,0.1347792207792208,0.04930326904217064,500.0,9.167667599724136e-05
profile18,500,0.728,364,240.102,152.488,392.59000000000003,120051.0,76244.0,196295.0,,,185.43518683613945,2.7649999999999837,0.10981414141414143,0.04442222948676038,500.0,5.3413694797678665e-05
profile19,500,0.74,370,241.102,156.638,397.74,120551.0,78319.0,198870.0,,,186.05118921908783,5.054999999999974,0.14148051948051948,0.042168846028113764,500.0,0.0001436687972652787
profile20,500,0.742,371,242.102,150.794,392.896,121051.0,75397.0,196448.0,,,188.85404789053592,-0.8000000000000107,0.14939163059163058,0.04082536776724419,500.0,0.00017241431589311724
profile21,500,0.73,365,239.102,149.982,389.084,119551.0,74991.0,194542.0,,,187.62015400273464,23.060000000000095,0.07309841269841269,0.029271984308597582,500.0,3.740694575263317e-05
profile22,500,0.744,372,242.102,153.074,395.17600000000004,121051.0,76537.0,197588.0,,,188.27054274551085,1.2333333333333474,0.13272669552669553,0.03199771167048055,500.0,0.00017392572470426953
profile23,500,0.738,369,240.102,150.966,391.068,120051.0,75483.0,195534.0,,,188.7139832458805,-4.380000000000067,0.08145396825396824,0.021714253023864007,500.0,9.723491108001735e-05
profile24,500,0.736,368,241.102,155.86,396.962,120551.0,77930.0,198481.0,,,185.4081750898071,8.1649999999999,0.08857777777777778,0.023967636482510626,500.0,0.00010238386750559634
profile25,500,0.726,363,242.102,151.764,393.866,121051.0,75882.0,196933.0,,,184.32664916494443,-0.2833333333332649,0.1044,0.04302971559333115,500.0,4.656550403776336e-05
profile26,500,0.742,371,239.102,153.944,393.046,119551.0,76972.0,196523.0,,,188.78197462892385,-0.6500000000000336,0.14482020202020202,0.03730205949656751,500.0,0.00017864596771641742
profile27,500,0.738,369,242.102,154.64,396.74199999999996,121051.0,77320.0,198371.0,,,186.01509293193058,5.076666666666554,0.12313939393939392,0.0346253677672442,500.0,0.00013582796478544122
profile28,500,0.74,370,240.102,152.97,393.072,120051.0,76485.0,196536.0,,,188.26067488907884,-0.7800000000000289,0.1327047619047619,0.03547198430859758,500.0,0.0001571233598108406
profile29,500,0.74,370,241.102,157.594,398.696,120551.0,78797.0,199348.0,,,185.60507253646887,6.249999999999995,0.12608080808080807,0.03242101994115724,500.0,0.00015359764883142443
profile30,500,0.746,373,242.102,150.852,392.954,121051.0,75426.0,196477.0,,,189.84410389002272,-0.5300000000000128,0.12022222222222223,0.021738770840143837,500.0,0.00019530194511809158
profile31,500,0.738,369,240.102,150.842,390.944,120051.0,75421.0,195472.0,,,188.77383973152166,-4.586666666666678,0.09043001443001443,0.023967636482510626,500.0,0.00010869777120250772
profile32,500,0.738,369,243.102,151.042,394.144,121551.0,75521.0,197072.0,,,187.2412113339287,0.7466666666666312,0.10291255411255412,0.02929650212487741,500.0,0.00011244507048895659
profile33,500,0.738,369,241.102,150.706,391.808,120551.0,75353.0,195904.0,,,188.3575628879451,-3.14666666666672,0.10981414141414143,0.02929650212487741,500.0,0.00013073019735275088
profile34,500,0.74,370,242.102,154.306,396.408,121051.0,77153.0,198204.0,,,186.67635365582936,3.3899999999999832,0.11646002886002885,0.03192415822164106,500.0,0.00013272111666955946
