sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,technique,vulnerability
0,"Person1: Kat, wait. I dont want you hating me. Weve never had this talk. You know how crap I am at this.
Person2: Um, news flash. I dont give a shit.
Person1: Kat, stop it. You do. You cant even look me in the eye. You went back to the States when we split up.",1,1,300,311,310,1,0.9885210990905762,Playing Victim Role,
1,"Person1: No, really.
Person2: Shit, I don't remember exactly. I took over for my Pa just after the Duke nabbed the Oscar.
Person1: The Duke?
Person2: Yeah, my Pa wasn't right in the head after that.
Person1: You mean John Wayne?
Person2: Hell, boy there some other Duke you know about?  A great American.
Person1: Yeah, I was never that big of a western fan. I like science fiction.
Person2: I figured that much. Why the heck you asking so many jackass questions for?
Person1: You see me and my friends are writing a book on offbeat roadside attractions. You know all the crazy shit you see when you drive cross country.
Person2: I don't drive cross country.
Person1: But if you did.
Person2: I don't.
Person1: But suppose for a second you did.
Person2: Y'all find us country people real funny like don't ya... well, God damn pack up the mule and sling me some grits, I'ze a gotta get me some schooling.
Person1: No, no I think it's really interesting.
Person2: Well, heck me Side Sally, who want to read about all that nonsense anyway.",0,0,300,495,494,1,0.40656471252441406,,
2,"Person1: Weir is dead.
Person2: Then who the heck are you?
Person1: Your fear. Do you remember the Goliath, Miller?",0,1,300,269,268,1,0.5100822448730469,,
3,"Person1: Try and understand this. I'm a decent Republican. I believe in Richard Nixon. I worked in the White House four years--so did my wife. What happened on June 17 I don't think the President knew anything about. Some of his men I'm not so sure of.
Person2: Do you think the truth will come out at the trial?
Person1: That's another of the things I'm not so sure of.
Person2: Because people at the Committee were told to lie to the prosecutors?
Person1: We were never told flat out ""Don't talk."" But the message was clear.
Person2: To cover up?
Person1: Well, they sure didn't ask us to come forward and tell the truth.",0,0,300,382,381,1,0.4186089038848877,,
4,"Person1: That's better. I can tell you got yourself some education. Them's good hands you got, Homer. Them hands you got, they know what they're doin'-- ain't that right?
Person2: I guess so...",0,0,300,283,282,1,0.4979279041290283,,
5,"Person1: You don't find that repugnant?
Person2: Just the way the world works.  Look, as far as tweakers go, you aren't a bad guy.  You never hurt anyone but yourself as far as I know.
Person1: Tell that to Bobby ... and his wife and kid.
Person2: Bobby laid his own tracks.  He could have gone quietly but he played the hard-ass con till the end. And as far as I'm concerned, he wife and kid are a hell of a lot better off without him.  Now take the money.",1,1,300,353,352,1,0.7149598598480225,Rationalization,
6,"Person1: How long do you think we'll have to stay here?
Person2: Until Pa gets around to driving us to Minden.
Person1: We don't want to go there.
Person2: No we don't. But that's where we're going. From Minden we take a stage to Reno, then another one over to Auburn and another one to Placerville. Then it's a day's trip to Sonora.
Person1: Clay could save us an awful lot of time.
Person2: He certainly could. About a month.
Person1: What are you waiting for? Do something.",0,0,300,354,353,1,0.41611289978027344,,
7,"Person1: Come off it, Jack! Of course you can check to see if she's been arrested.
Person2: I'm sorry, Sam, I'm afraid this whole case has become much more complicated since last we talked.
Person1: She's innocent, Jack --- she's done nothing wrong.
Person2: Tell that to the wives of the Security men she blew up this afternoon. Listen, we've also had a report just in from Central Services that Tuttle has wrecked an entire flat and sabotaged adjacent Central Services systems - as a matter of fact, in your block. I'd keep my eyes open if I were you, Sam. Bye.
Person1: You don't really think Tuttle and the girl are in league?
Person2: I do. Goodbye.",0,0,300,387,386,1,0.707953929901123,,
8,"Person1: I will not be disputed in public, do you understand me?
Person2: Father, I wasn't disputing you.
Person1: When you've finished medical school and you're on your own, you can do as you please.  Until then, you will listen to me.
Person2: Yes sir.  I'm sorry.
Person1: You know what this means to your mother, don't you?
Person2: Yes sir.",1,1,300,324,323,1,0.5119540691375732,"Intimidation,Persuasion or Seduction","Dependency,Low self-esteem"
9,"Person1: I want you to listen to me, carefully.  The minute the implications of this message became clear, this stopped being simply a scientific matter and became a political one -- an extremely complex, extremely volatile one. There are forces at work here you don't understand; I can help you up to a point, but only up to a point.
Person2: Are you threatening me?
Person1: It's not a threat, Ellie, it's a fact -- if you're not careful, you may find yourself out in the cold very quickly.  Play ball.  Really. It's good advice.",1,1,300,355,354,1,0.5102341175079346,Persuasion or Seduction,
