profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.672,336,849.388,1.0,850.388,424694.0,500.0,425194.0,,,79.02275196733727,-22.450000000000024,0.12593378378378378,0.060907244880399246,1000.0,4.844017110995557e-06
profile2,500,0.68,340,852.388,1.0,853.388,426194.0,500.0,426694.0,,,79.68239534654812,-4.983333333333344,0.14594729729729733,0.05741060058509723,1000.0,3.64735573116834e-05
profile3,500,0.666,333,850.388,1.0,851.388,425194.0,500.0,425694.0,,,78.22520401978888,39.900000000000055,0.12095990990990993,0.06307055584236793,1000.0,-6.085594082634383e-06
profile4,500,0.684,342,851.388,1.0,852.388,425694.0,500.0,426194.0,,,80.24514657644171,-4.362500000000008,0.1436671171171171,0.048587334365857854,1000.0,5.454376221321909e-05
profile5,500,0.676,338,852.388,1.0,853.388,426194.0,500.0,426694.0,,,79.21367537392136,-7.4750000000000165,0.154790990990991,0.06673722250903458,1000.0,2.4978727112312157e-05
profile6,500,0.684,342,849.388,1.0,850.388,424694.0,500.0,425194.0,,,80.43387253818257,-5.612500000000006,0.1289036036036036,0.04163950032070838,1000.0,5.3651513147159684e-05
profile7,500,0.678,339,852.388,1.0,853.388,426194.0,500.0,426694.0,,,79.44803536023474,-5.980000000000013,0.16730450450450451,0.07248808685721438,1000.0,2.6164336491813528e-05
profile8,500,0.666,333,850.388,1.0,851.388,425194.0,500.0,425694.0,,,78.22520401978888,39.900000000000055,0.1312234234234234,0.06980831808013016,1000.0,-9.858269950759122e-06
profile9,500,0.676,338,851.388,1.0,852.388,425694.0,500.0,426194.0,,,79.30660685040148,-8.725000000000016,0.16170765765765766,0.06989717776630527,1000.0,2.570813071634878e-05
profile10,500,0.664,332,852.388,1.0,853.388,426194.0,500.0,426694.0,,,77.8075154560411,14.950000000000033,0.12352657657657659,0.06956384443297195,1000.0,-1.8281382313047885e-05
profile11,500,0.664,332,849.388,1.0,850.388,424694.0,500.0,425194.0,,,78.08200492010705,22.450000000000024,0.12370990990990992,0.06973051109963863,1000.0,-1.852226547101715e-05
profile12,500,0.678,339,852.388,1.0,853.388,426194.0,500.0,426694.0,,,79.44803536023474,-5.980000000000013,0.14674729729729727,0.060573911547065915,1000.0,2.9997462119417474e-05
profile13,500,0.672,336,850.388,1.0,851.388,425194.0,500.0,425694.0,,,78.92993558753471,-19.950000000000028,0.1211536036036036,0.05705162622612288,1000.0,8.281008366758562e-06
profile14,500,0.678,339,851.388,1.0,852.388,425694.0,500.0,426194.0,,,79.54124178191154,-6.980000000000012,0.1407774774774775,0.05791060058509723,1000.0,2.927807091052787e-05
profile15,500,0.68,340,852.388,1.0,853.388,426194.0,500.0,426694.0,,,79.68239534654812,-4.983333333333344,0.14183378378378378,0.05508062295646188,1000.0,3.711387770962331e-05
profile16,500,0.662,331,849.388,1.0,850.388,424694.0,500.0,425194.0,,,77.84681815829951,14.966666666666685,0.11863693693693693,0.07277260994039517,1000.0,-3.164235965683124e-05
