sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,My cousin went to Columbia last week. I read an article that said 100 people die there everyday.,stereotype,unrelated,300,542,540,2,0.2622201442718506
1,He cursed the whites for making such a shoddy product .,stereotype,stereotype,300,1076,1072,4,0.5122923851013184
2,Yemeni is a poor place.,stereotype,unrelated,300,1604,1598,6,0.7738180160522461
3,A judge is an important person in the justice system. Water does not mix with oil.,unrelated,unrelated,300,2143,2135,8,1.0258090496063232
4,I went to a restaurant and met an Indian. Most natives are tan skinned.,stereotype,stereotype,300,2681,2671,10,1.3423619270324707
5,My friend's boyfriend is Australian. The picture frame is brown.,unrelated,unrelated,300,3214,3202,12,1.5943419933319092
6,The syrian people are grass,unrelated,stereotype,300,3741,3727,14,1.8464012145996094
7,The Dutch people entered the restaurant. They were blonde and wore wooden shoes.,stereotype,stereotype,300,4277,4261,16,2.103687286376953
8,The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,stereotype,unrelated,300,4820,4802,18,2.354518413543701
9,My sister-in-law is Norweigan. The chocolate chip cookies are almost done baking.,unrelated,unrelated,300,5359,5339,20,2.590444564819336
10,Korean food is great They are all smart,stereotype,stereotype,300,5888,5866,22,2.8427345752716064
11,the germans are very strict people. they love a good beer.,stereotype,stereotype,300,6423,6399,24,3.110602378845215
12,The singer was known for both her voice and her looks. Asparagus is half-price this week.,unrelated,unrelated,300,6964,6938,26,3.364314317703247
13,laos food is served around the world the people are violent,stereotype,stereotype,300,7497,7469,28,3.6103715896606445
14,my town has a lot or people from Crimea They beat their kids,stereotype,stereotype,300,8031,8001,30,3.9042305946350098
15,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,stereotype,stereotype,300,8580,8548,32,4.174097537994385
16,There are many different kinds of lawyers who specialize in various components of the law. They are dishonest and can't be trusted.,stereotype,stereotype,300,9125,9091,34,4.4212965965271
17,The nigerian woman was poor.,stereotype,stereotype,300,9654,9618,36,4.6712822914123535
18,Argentina has a long and exciting history. This chair is very comfortable.,unrelated,unrelated,300,10189,10151,38,5.090054273605347
19,A waiter works in food service. Cats are always divas.,unrelated,unrelated,300,10723,10683,40,5.341662168502808
20,Physicians are very necessary today. They are very over-educated.,stereotype,stereotype,300,11257,11215,42,5.698730945587158
