profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.558,279,279.7,241.494,521.194,139850.0,120747.0,260597.0,,,107.06186180193941,5.898571428571497,0.05259462907642519,0.09634691612494055,1000.0,-0.00026880432847165535
profile2,500,0.572,286,282.7,245.776,528.476,141350.0,122888.0,264238.0,,,108.23575715831939,,0.06404070201643017,0.07519074044712223,1000.0,-0.00016337691565523183
profile3,500,0.584,292,280.7,243.144,523.844,140350.0,121572.0,261922.0,,,111.48357144493397,-4.673333333333285,0.08954857480706994,0.05590248929760584,1000.0,-4.2486701743537654e-05
profile4,500,0.562,281,281.7,244.838,526.538,140850.0,122419.0,263269.0,,,106.73493650980556,2.914000000000017,0.06036734503360717,0.09727746947835737,1000.0,-0.00025484883127733913
profile5,500,0.578,289,282.7,236.31,519.01,141350.0,118155.0,259505.0,,,111.36586963642318,-17.40333333333333,0.07450252053771472,0.07614016172506738,1000.0,-0.000149858004493979
profile6,500,0.568,284,279.7,238.036,517.736,139850.0,119018.0,258868.0,,,109.7084228255327,29.289999999999996,0.06717036967886483,0.09440351989852544,1000.0,-0.00023493956402140484
profile7,500,0.58,290,282.7,245.056,527.756,141350.0,122528.0,263878.0,,,109.89927163310317,-2.120000000000031,0.07769162310181726,0.07517187252259394,1000.0,-0.00013766233248579008
profile8,500,0.574,287,280.7,242.194,522.894,140350.0,121097.0,261447.0,,,109.77368262018689,-32.789999999999935,0.08963769604182226,0.09921404788330426,1000.0,-0.00020805440438174136
profile9,500,0.576,288,281.7,248.316,530.016,140850.0,124158.0,265008.0,,,108.67596449918493,1.40999999999991,0.06902613890963406,0.07319074044712223,1000.0,-0.00014594906943301788
profile10,500,0.602,301,282.7,236.72,519.42,141350.0,118360.0,259710.0,,,115.89850217550345,-3.34400000000001,0.1042728715459298,0.058158022679318466,1000.0,-2.3185810736412015e-05
profile11,500,0.57,285,279.7,236.582,516.2819999999999,139850.0,118291.0,258141.0,,,110.40477878368799,65.8500000000003,0.07903519417475728,0.06779271429181252,1000.0,-0.00010953361614169731
profile12,500,0.566,283,282.7,245.104,527.804,141350.0,122552.0,263902.0,,,107.23677728853892,2.7466666666667052,0.05670855115758028,0.07839569510678002,1000.0,-0.00018962122124117998
profile13,500,0.57,285,280.7,240.702,521.402,140350.0,120351.0,260701.0,,,109.32063935312867,40.24999999999974,0.08271524147373661,0.08004582210242588,1000.0,-0.00014840066346334525
profile14,500,0.578,289,281.7,245.258,526.958,140850.0,122629.0,263479.0,,,109.68616094641318,-4.15666666666671,0.08232010828976849,0.08768051371491993,1000.0,-0.00017656230504152395
profile15,500,0.582,291,282.7,235.912,518.612,141350.0,117956.0,259306.0,,,112.22262500674879,-10.840000000000023,0.08599346527259148,0.0765147988803649,1000.0,-0.00012926066594706317
profile16,500,0.568,284,279.7,240.524,520.2239999999999,139850.0,120262.0,260112.0,,,109.18373623669804,23.070000000000142,0.07538309061488672,0.07804582210242587,1000.0,-0.0001551419265354252
profile17,500,0.568,284,282.7,244.34,527.04,141350.0,122170.0,263520.0,,,107.77170613236187,6.030000000000081,0.07904188449091362,0.0847688282860314,1000.0,-0.00017170569991110577
profile18,500,0.558,279,280.7,243.678,524.3779999999999,140350.0,121839.0,262189.0,,,106.4117869170713,3.624285714285789,0.049405526512322634,0.09249785952116696,1000.0,-0.0002585733812822264
profile19,500,0.568,284,281.7,247.322,529.0219999999999,140850.0,123661.0,264511.0,,,107.3679355489942,1.0750000000001583,0.06073885984565596,0.08189487870619945,1000.0,-0.00019479510789105736
profile20,500,0.582,291,282.7,235.586,518.2860000000001,141350.0,117793.0,259143.0,,,112.29321262777691,-11.16599999999993,0.08232010828976849,0.07552174552694808,1000.0,-0.00013259741294213557
profile21,500,0.574,287,279.7,239.666,519.366,139850.0,119833.0,259683.0,,,110.51936399379244,-50.43000000000002,0.06902613890963406,0.07804582210242587,1000.0,-0.0001676380535021886
profile22,500,0.592,296,282.7,247.654,530.354,141350.0,123827.0,265177.0,,,111.62355709582654,0.45100000000002144,0.08599346527259148,0.06262549548121135,1000.0,-7.402136250472555e-05
profile23,500,0.574,287,280.7,241.936,522.636,140350.0,120968.0,261318.0,,,109.82787255374677,-34.080000000000126,0.05619398805078416,0.06462549548121134,1000.0,-0.00013978563074805127
profile24,500,0.576,288,281.7,245.976,527.6759999999999,140850.0,122988.0,263838.0,,,109.15789234302868,-4.440000000000165,0.06768493278566094,0.07261006009805955,1000.0,-0.00014693711180811364
profile25,500,0.582,291,282.7,240.538,523.238,141350.0,120269.0,261619.0,,,111.2304534456595,-6.2139999999999365,0.11197102937515559,0.09158617409227841,1000.0,-0.00013607826421131727
profile26,500,0.568,284,279.7,237.832,517.5319999999999,139850.0,118916.0,258766.0,,,109.7516675297373,29.800000000000157,0.056723114264376394,0.08189487870619945,1000.0,-0.00020687927151948578
profile27,500,0.58,290,282.7,245.494,528.194,141350.0,122747.0,264097.0,,,109.80813867631969,-1.5725000000000464,0.08354188449091361,0.06068209925479626,1000.0,-7.160686039348971e-05
profile28,500,0.586,293,280.7,238.566,519.266,140350.0,119283.0,259633.0,,,112.85160206907442,-7.2757142857143045,0.08682010828976848,0.07455345632447463,1000.0,-0.00011995163241803004
profile29,500,0.566,283,281.7,246.232,527.932,140850.0,123116.0,263966.0,,,107.21077714554146,2.533333333333301,0.0785721931789893,0.0828254320596163,1000.0,-0.0001649429679205718
profile30,500,0.574,287,282.7,238.662,521.362,141350.0,119331.0,260681.0,,,110.09624790452699,-40.450000000000124,0.0475497572815534,0.057808149674964324,1000.0,-0.00013055524197846268
profile31,500,0.558,279,280.7,237.802,518.502,140350.0,118901.0,259251.0,,,107.617714107178,7.821428571428659,0.056574558127956184,0.07995148247978436,1000.0,-0.0001992825617482913
profile32,500,0.568,284,283.7,242.558,526.258,141850.0,121279.0,263129.0,,,107.9318509172307,7.984999999999893,0.09001157580283795,0.09065562073886159,1000.0,-0.00017348841381011827
profile33,500,0.572,286,281.7,239.46,521.16,140850.0,119730.0,260580.0,,,109.7551615626679,,0.06219949589245707,0.07937080213072167,1000.0,-0.00018524466261606086
profile34,500,0.572,286,282.7,241.242,523.942,141350.0,120621.0,261971.0,,,109.17238931026715,,0.06171524147373661,0.07319074044712223,1000.0,-0.00016159467922118834
profile35,500,0.586,293,283.7,238.714,522.414,141850.0,119357.0,261207.0,,,112.17157273733092,-5.02714285714286,0.09097890216579536,0.07995148247978436,1000.0,-0.00013193379732123056
profile36,500,0.576,288,280.7,233.36,514.06,140350.0,116680.0,257030.0,,,112.04917713885538,-38.480000000000096,0.0748685275080906,0.06262549548121135,1000.0,-9.800891618552718e-05
profile37,500,0.568,284,283.7,241.792,525.492,141850.0,120896.0,262746.0,,,108.08918118639295,9.900000000000082,0.08950370301219816,0.09731520532741399,1000.0,-0.00020005386883649955
profile38,500,0.586,293,281.7,238.182,519.882,140850.0,119091.0,259941.0,,,112.71788598181895,-6.835714285714316,0.08185041697784416,0.06549944506104327,1000.0,-9.453774730466218e-05
profile39,500,0.586,293,282.7,241.66,524.36,141350.0,120830.0,262180.0,,,111.75528263025402,-3.637142857142843,0.07135828976848396,0.05392135722213414,1000.0,-6.957896230792646e-05
profile40,500,0.574,287,283.7,237.346,521.046,141850.0,118673.0,260523.0,,,110.1630182363937,-42.02999999999971,0.06718493278566094,0.07713413667353734,1000.0,-0.00016713177063332936
profile41,500,0.576,288,281.7,240.456,522.156,140850.0,120228.0,261078.0,,,110.31186082320227,-18.240000000000105,0.06904070201643017,0.07707753289995244,1000.0,-0.00016300562242600814
profile42,500,0.556,278,284.7,247.322,532.0219999999999,142350.0,123661.0,266011.0,,,104.50695647924337,-1.60624999999997,0.05259462907642519,0.0992586015538291,1000.0,-0.00027427921031692863
profile43,500,0.578,289,282.7,242.414,525.114,141350.0,121207.0,262557.0,,,110.07133689065611,-7.229999999999936,0.06036734503360717,0.061751545901379414,1000.0,-0.00012023245765519801
profile44,500,0.574,287,283.7,249.822,533.5219999999999,141850.0,124911.0,266761.0,,,107.58694111957897,20.349999999999664,0.04939096340552651,0.057808149674964324,1000.0,-0.00012412859440548307
profile45,500,0.58,290,284.7,241.658,526.358,142350.0,120829.0,263179.0,,,110.19116266875396,-3.86750000000006,0.07500252053771471,0.0762035833201205,1000.0,-0.0001470570336207036
profile46,500,0.57,285,281.7,237.086,518.7860000000001,140850.0,118543.0,259393.0,,,109.87189322765069,53.32999999999965,0.06351157580283794,0.08286316790867289,1000.0,-0.00019702682804568326
profile47,500,0.556,278,284.7,241.838,526.538,142350.0,120919.0,263269.0,,,105.59541761468309,1.8212500000000031,0.04939096340552651,0.09834691612494055,1000.0,-0.000279757337256484
profile48,500,0.564,282,282.7,244.568,527.268,141350.0,122284.0,263634.0,,,106.96647625116637,2.729999999999959,0.04939096340552651,0.07800808625336927,1000.0,-0.00020222203718263203
profile49,500,0.568,284,283.7,246.31,530.01,141850.0,123155.0,265005.0,,,107.16778928699458,-1.3949999999999805,0.05208006596962907,0.06783045014086912,1000.0,-0.0001576967119716782
profile50,500,0.592,296,284.7,239.434,524.134,142350.0,119717.0,262067.0,,,112.94821553266912,-2.6589999999999896,0.08865344162310183,0.05877643887743777,1000.0,-5.51374956247328e-05
profile51,500,0.56,280,279.7,241.906,521.606,139850.0,120953.0,260803.0,,,107.36072821248223,6.538333333333391,0.053049757281553395,0.09249785952116696,1000.0,-0.00025296097391667375
profile52,500,0.56,280,282.7,247.95,530.65,141350.0,123975.0,265325.0,,,105.53095260529541,-0.9983333333333243,0.04574673263629574,0.08030832210242587,1000.0,-0.00021647019988420995
