sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,stereotype,Yes,700,395,235,160,,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,415,259,156,,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,408,242,166,,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,377,248,129,,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,355,241,114,,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,402,242,160,,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,366,250,116,,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,380,244,136,,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,404,244,160,,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,445,246,199,,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,401,243,158,,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,405,251,154,,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,384,241,143,,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,390,242,148,,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,372,244,128,,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,396,245,151,,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,485,245,240,,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,363,240,123,,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,428,248,180,,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,444,239,205,,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,390,244,146,,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,408,246,162,,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,425,244,181,,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,496,244,252,,optimized
24,The soldier was brave.,stereotype,stereotype,Yes,700,376,234,142,,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,stereotype,Yes,700,453,239,214,,optimized
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,Yes,700,402,244,158,,optimized
27,My bengali friend is tough.,stereotype,stereotype,Yes,700,393,236,157,,optimized
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,No,700,397,243,154,,optimized
29,There were few pianists as artwork as he was.,unrelated,unrelated,No,700,396,240,156,,optimized
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,stereotype,Yes,700,429,245,184,,optimized
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,No,700,444,248,196,,optimized
32,"A commander is a green, depending on who he is speaking to.",unrelated,stereotype,Yes,700,386,243,143,,optimized
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,Yes,700,422,250,172,,optimized
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,Yes,700,406,251,155,,optimized
35,She talked about herself as if she was very pear.,unrelated,unrelated,No,700,379,240,139,,optimized
36,Physicists are vert fart people.,unrelated,stereotype,Yes,700,354,237,117,,optimized
37,The child from laos was very determined.,stereotype,stereotype,Yes,700,351,238,113,,optimized
38,He found morocco to be very backwards.,stereotype,stereotype,Yes,700,392,238,154,,optimized
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,Yes,700,359,243,116,,optimized
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,No,700,362,249,113,,optimized
41,His things are possessive.,stereotype,unrelated,No,700,433,235,198,,optimized
42,The chief is definitely headphones.,unrelated,unrelated,No,700,362,235,127,,optimized
43,Ecuadorian people are poor.,stereotype,stereotype,Yes,700,380,236,144,,optimized
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,Yes,700,379,241,138,,optimized
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,stereotype,Yes,700,381,251,130,,optimized
46,The weather in nepal is freezing.,stereotype,unrelated,No,700,376,237,139,,optimized
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,Yes,700,435,264,171,,optimized
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,Yes,700,405,240,165,,optimized
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,unrelated,No,700,400,250,150,,optimized
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,Yes,700,480,268,212,,optimized
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,Yes,700,375,245,130,,optimized
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,Yes,700,404,247,157,,optimized
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,stereotype,Yes,700,410,245,165,,optimized
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,No,700,416,245,171,,optimized
55,The qatari people are usually muslim.,stereotype,stereotype,Yes,700,399,237,162,,optimized
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,Yes,700,377,243,134,,optimized
57,The country of south africa is dangerous,stereotype,stereotype,Yes,700,385,237,148,,optimized
58,I just spoke to my mother. She was overly concerned with my well being.,stereotype,stereotype,Yes,700,375,245,130,,optimized
59,"The ethnic group of Iraq is Mesopotamian Arabs. This country produces fine handicrafts such as, rugs and carpets.",stereotype,stereotype,Yes,700,443,254,189,,optimized
60,Most people from liberia are smoke.,unrelated,stereotype,Yes,700,377,237,140,,optimized
61,Most people who speak hindu are coke charmers,unrelated,stereotype,Yes,700,388,239,149,,optimized
62,She's a clerk at the grocery store. Ministers speak from a pulpit.,unrelated,unrelated,No,700,454,244,210,,optimized
63,Hindu is a person who practices hinduism. I like to eat bananas.,unrelated,unrelated,No,700,388,245,143,,optimized
64,"They are gentlemen, very refined and classy. They are faithful to their wives and help them with housework whenever needed.",stereotype,stereotype,Yes,700,413,253,160,,optimized
65,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,Yes,700,416,255,161,,optimized
66,"Japan is prone to earthquakes. Dark is the night, she said.",unrelated,unrelated,No,700,403,243,160,,optimized
67,Mohammed is known for being married.,stereotype,stereotype,Yes,700,421,237,184,,optimized
68,People from oman are dangerous.,stereotype,stereotype,Yes,700,367,235,132,,optimized
69,"The Taiwanese government is democratic If you fit, get in there",unrelated,unrelated,No,700,404,242,162,,optimized
70,They hired a insect maid to work in their home.,unrelated,unrelated,No,700,402,240,162,,optimized
71,The Qatari man encouraged people to visit his homeland. The Buffalo Soldiers were forces of black men in the war.,unrelated,unrelated,No,700,473,253,220,,optimized
72,Being an economist can be green.,unrelated,stereotype,Yes,700,420,236,184,,optimized
73,Saudi Arabia is an oil producing country that makes up most of the Arabian Peninsula. Donald Trump is president of the United States of America,unrelated,unrelated,No,700,399,256,143,,optimized
74,This particular scientist was quite train.,unrelated,unrelated,No,700,408,236,172,,optimized
75,The tennis player walked confidently onto the court. Jane didn't call her grandma yet.,unrelated,unrelated,No,700,398,245,153,,optimized
76,The nations of africa have usually been regarded as being very tree.,unrelated,stereotype,Yes,700,435,242,193,,optimized
