profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,219,0.8584474885844748,188,255.0593607305936,280.3972602739726,535.4566210045662,55858.0,61407.0,117265.0,,,160.32064128256516,-4.288333333333339,0.41332982086406744,0.049513869474730535,219.0,0.0005869795415452079
profile2,219,0.8447488584474886,185,258.0593607305936,291.5753424657534,549.634703196347,56515.0,63855.0,120370.0,,,153.69278059317108,1.7733333333333312,0.24148226203020726,0.03246047277358432,219.0,0.0003212339312933909
profile3,219,0.821917808219178,180,256.0593607305936,258.24657534246575,514.3059360730593,56077.0,56556.0,112633.0,,,159.8110678042847,36.024999999999984,0.2646938297623229,0.0673904264902308,219.0,0.00025259863375056714
profile4,219,0.863013698630137,189,257.0593607305936,281.7488584474886,538.8082191780823,56296.0,61703.0,117999.0,,,160.17084890549918,-2.6271428571428226,0.39161105256995665,0.04424098406485882,219.0,0.0005625917973238107
profile5,219,0.8264840182648402,181,258.0593607305936,258.4566210045662,516.5159817351598,56515.0,56602.0,113117.0,,,160.01131571735462,67.21000000000076,0.4365413885961832,0.0945780138539434,219.0,0.0004789500608620889
profile6,219,0.817351598173516,179,255.0593607305936,268.337899543379,523.3972602739726,55858.0,58766.0,114624.0,,,156.16275823562256,17.380000000000035,0.32197634937360964,0.08320908271984592,219.0,0.0002972086324114321
profile7,219,0.8356164383561644,183,258.0593607305936,266.2283105022831,524.2876712328766,56515.0,58304.0,114819.0,,,159.3812870692133,-50.18999999999952,0.2755532139093783,0.049102289317553505,219.0,0.000338265889139127
profile8,219,0.8127853881278538,178,256.0593607305936,255.11415525114154,511.17351598173514,56077.0,55870.0,111947.0,,,159.00381430498362,19.727499999999996,0.3669066853998362,0.09416643369676637,219.0,0.00034934090367209886
profile9,219,0.8082191780821918,177,257.0593607305936,246.35159817351598,503.4109589041096,56296.0,53951.0,110247.0,,,160.54858635609133,19.182000000000038,0.2740604144713734,0.07752461715279718,219.0,0.00023640959351552073
profile10,219,0.7853881278538812,172,258.0593607305936,224.2420091324201,482.3013698630137,56515.0,49109.0,105624.0,,,162.84177838370064,14.213999999999997,0.20741131015103617,0.10108563973534619,219.0,1.0864639845066363e-05
profile11,219,0.8401826484018264,184,255.0593607305936,275.57990867579906,530.6392694063927,55858.0,60352.0,116210.0,,,158.334050425953,-18.13999999999994,0.2864125980564337,0.04424098406485882,219.0,0.00037300411284700813
profile12,219,0.8036529680365296,176,258.0593607305936,266.17351598173514,524.2328767123288,56515.0,58292.0,114807.0,,,153.3007569224873,8.38499999999998,0.17184755883386021,0.06615568601869971,219.0,7.541722114875323e-05
profile13,219,0.8127853881278538,178,256.0593607305936,252.81278538812785,508.87214611872145,56077.0,55366.0,111443.0,,,159.72290767477546,20.98749999999999,0.2646938297623229,0.07752461715279718,219.0,0.0002154659009989282
profile14,219,0.8264840182648402,181,257.0593607305936,264.45205479452056,521.5114155251142,56296.0,57915.0,114211.0,,,158.47860538827257,56.27000000000048,0.332835733520665,0.07142857142857142,219.0,0.00036428462543285095
