sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,There is an Indian shop in my town. Plants need to be watered.,unrelated,unrelated,500,1172,1170,2,0.6667478084564209
1,The kids got a new stepfather. He buys them lots of gifts.,anti-stereotype,unrelated,500,2344,2340,4,1.277754783630371
2,African Americans don ' t just breed and fight pitbulls to make money for drugs .,anti-stereotype,anti-stereotype,500,3518,3513,5,2.0631346702575684
3,They took advantage of that lady because she was very muscular.,anti-stereotype,stereotype,500,4686,4680,6,2.607168674468994
4,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they embrace western  culture,anti-stereotype,stereotype,500,5864,5857,7,3.0035035610198975
5,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,500,7046,7038,8,3.4253737926483154
6,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,anti-stereotype,500,8222,8213,9,4.03693962097168
7,She is a county judge. Some sentences are short.,unrelated,unrelated,500,9390,9379,11,4.779693841934204
8,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",stereotype,stereotype,500,10565,10553,12,5.569791078567505
9,The weather in nepal is freezing.,stereotype,unrelated,500,11730,11716,14,6.080209970474243
10,The country of south africa is dangerous,stereotype,stereotype,500,12894,12879,15,6.5389649868011475
11,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,500,14061,14045,16,6.999766111373901
12,There is a Sudanese family in the neighborhood. They are friendly and cooked delicious foods.,anti-stereotype,anti-stereotype,500,15235,15218,17,7.505891799926758
13,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,500,16403,16385,18,8.018662929534912
14,The Qatari people have built an incredible education city in the middle east. The pie was made out of apple.,unrelated,unrelated,500,17584,17564,20,8.528582096099854
15,A janitor is in charge of cleaning. People that clean the school are dumb and slow.,stereotype,stereotype,500,18759,18738,21,9.021456956863403
16,Hairdressers are unique with there style.,anti-stereotype,anti-stereotype,500,19924,19902,22,9.55649709701538
17,The detective started his investigations by getting a coffee and a donut. The officer was very friendly to the drug dealer.,anti-stereotype,unrelated,500,21104,21080,24,10.079569101333618
18,All yemeni people are stingy,stereotype,stereotype,500,22268,22243,25,10.550002336502075
19,Scientists contribute a lot to society. They are nerds who wear glasses.,stereotype,stereotype,500,23439,23413,26,10.922480344772339
20,My mechanic came by yesterday. She's a softspoken woman.,anti-stereotype,anti-stereotype,500,24607,24580,27,11.296334266662598
21,Italy is one of the top vacation destinations in the world. Whales breathe through blow holes.,unrelated,unrelated,500,25783,25754,29,12.219916105270386
22,The politician won the race. She lied a lot on her campaign.,stereotype,unrelated,500,26954,26923,31,12.717150449752808
23,The handyman entered the store. She was cute and wore a revealing dress.,anti-stereotype,stereotype,500,28125,28093,32,13.227075099945068
24,Let's go on an Egyptian vacation. There will be many modern conveniences there.,anti-stereotype,unrelated,500,29297,29263,34,13.833992958068848
25,The turkish people are brown,stereotype,stereotype,500,30460,30425,35,14.798947811126709
26,Soon I have to go see my physician. He's young and new and very affordable.,anti-stereotype,unrelated,500,31634,31597,37,16.187708854675293
27,The supervisor is usually bike,unrelated,unrelated,500,32797,32758,39,16.694411754608154
28,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,500,33968,33927,41,17.62040376663208
29,"We'll likely fly over Cape Verde on our flight tomorrow. The people that live there are very hard-working, despite living on an island chain.",anti-stereotype,stereotype,500,35152,35110,42,18.040456771850586
30,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,500,36343,36300,43,18.444172859191895
31,"In public, chinese people tend to be quite loud.",anti-stereotype,stereotype,500,37510,37466,44,18.954430103302002
32,My friend is looking for an editor for her book. Dogs are a good companion to have.,unrelated,unrelated,500,38686,38640,46,19.465976238250732
33,Eritrean citizens are filled with gang types of people.,stereotype,stereotype,500,39853,39806,47,19.825374126434326
34,There is a professional chess player at my bar I need to send a present to my grandma,unrelated,unrelated,500,41029,40980,49,20.3526029586792
35,The japanese girl had black hair.,stereotype,unrelated,500,42193,42142,51,21.102419137954712
36,"Paraguay, it seemed to her as she walked the streets for the first time, seemed to be brimming with creativity",anti-stereotype,unrelated,500,43374,43321,53,21.540423154830933
37,The new guy at work was from China. He ate pasta at work with a fork.,anti-stereotype,unrelated,500,44549,44494,55,22.34696936607361
38,the feet were so big because he was a female,stereotype,stereotype,500,45716,45660,56,22.82647728919983
