profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,360,0.6555555555555556,236,271.72222222222223,1.0,272.72222222222223,97820.0,360.0,98180.0,,,240.37482175595846,-4.500000000000016,0.1800976800976801,0.08193979933110368,360.0,5.946739984487864e-05
profile2,360,0.6555555555555556,236,274.72222222222223,1.0,275.72222222222223,98900.0,360.0,99260.0,,,237.7594197058231,-1.8000000000000065,0.17240537240537238,0.07766629505759941,360.0,6.192022591640622e-05
profile3,360,0.6527777777777778,235,272.72222222222223,1.0,273.72222222222223,98180.0,360.0,98540.0,,,238.4818347879034,-4.800000000000017,0.17985347985347985,0.08643626904496471,360.0,2.5503745026163554e-05
profile4,360,0.65,234,273.72222222222223,1.0,274.72222222222223,98540.0,360.0,98900.0,,,236.60262891809907,-5.400000000000019,0.18754578754578755,0.09483463396506875,360.0,-7.729554482972524e-06
profile5,360,0.6444444444444445,232,274.7138888888889,1.0,275.7138888888889,98897.0,360.0,99257.0,,,233.73666340912982,,0.15677655677655677,0.08636194723151244,360.0,-5.784016812041992e-05
profile6,360,0.6277777777777778,226,271.72222222222223,1.0,272.72222222222223,97820.0,360.0,98180.0,,,230.18944795273984,2.9999999999999907,0.15726495726495726,0.11215161649944258,360.0,-0.00024581156309038543
profile7,360,0.6388888888888888,230,274.72222222222223,1.0,275.72222222222223,98900.0,360.0,99260.0,,,231.714688696353,3.599999999999941,0.15604395604395604,0.09498327759197325,360.0,-0.00012303179216599402
profile8,360,0.6416666666666667,231,272.72222222222223,1.0,273.72222222222223,98180.0,360.0,98540.0,,,234.4225695149178,14.400000000000052,0.17240537240537238,0.09933110367892976,360.0,-9.59251124710308e-05
profile9,360,0.6444444444444445,232,273.72222222222223,1.0,274.72222222222223,98540.0,360.0,98900.0,,,234.5803842264914,,0.17240537240537238,0.09483463396506875,360.0,-6.284127794656667e-05
profile10,360,0.6472222222222223,233,274.72222222222223,1.0,275.72222222222223,98900.0,360.0,99260.0,,,234.73705420108806,-7.200000000000026,0.1488400488400488,0.07774061687105166,360.0,-2.4086505790244038e-05
profile11,360,0.6611111111111111,238,271.72222222222223,1.0,272.72222222222223,97820.0,360.0,98180.0,,,242.41189651660216,-3.0000000000000107,0.15677655677655677,0.060126347082868827,360.0,0.00013392330963429296
profile12,360,0.6805555555555556,245,274.72222222222223,1.0,275.72222222222223,98900.0,360.0,99260.0,,,246.82651622002822,-0.5538461538461541,0.21904761904761905,0.06462281679672985,360.0,0.00032569730771204276
profile13,360,0.6416666666666667,231,272.72222222222223,1.0,273.72222222222223,98180.0,360.0,98540.0,,,234.4225695149178,14.400000000000052,0.14065934065934066,0.08208844295800817,360.0,-8.591755928966151e-05
profile14,360,0.6527777777777778,235,273.72222222222223,1.0,274.72222222222223,98540.0,360.0,98900.0,,,237.61375126390297,-3.600000000000013,0.1800976800976801,0.08643626904496471,360.0,2.6299809128313897e-05
profile15,360,0.6472222222222223,233,274.7138888888889,1.0,275.7138888888889,98897.0,360.0,99257.0,,,234.74414902727264,-7.229999999999999,0.17240537240537238,0.09093273875882571,360.0,-3.4311311448265165e-05
profile16,360,0.6472222222222223,233,271.72222222222223,1.0,272.72222222222223,97820.0,360.0,98180.0,,,237.3192096149929,-18.000000000000064,0.17240537240537238,0.09070977331846897,360.0,-3.305258426730088e-05
profile17,360,0.6416666666666667,231,274.72222222222223,1.0,275.72222222222223,98900.0,360.0,99260.0,,,232.72214386459802,7.200000000000026,0.16422466422466422,0.09498327759197325,360.0,-9.336168391438265e-05
