profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.73,365,512.76,1.0,513.76,256380.0,500.0,256880.0,,,142.08969168483338,-1.4764285714285754,0.14414685314685316,0.024020381246495894,1000.0,0.0001870641752060522
profile2,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.12626048951048952,0.04047943493166423,1000.0,8.76647179486823e-05
profile3,500,0.714,357,513.76,1.0,514.76,256880.0,500.0,257380.0,,,138.70541611624833,-2.6116666666666766,0.11300291375291376,0.031495813457596895,1000.0,9.715457074698883e-05
profile4,500,0.708,354,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.27315030246626,-3.556666666666688,0.09003321678321677,0.029493757410317917,1000.0,6.019408632422238e-05
profile5,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.13851806526806526,0.04688159851471953,1000.0,8.660668054537155e-05
profile6,500,0.71,355,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.1968234194955,-5.167500000000014,0.09838578088578089,0.032828894035900405,1000.0,6.370288230687495e-05
profile7,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-1.8900000000000226,0.10664335664335664,0.03832838852584075,1000.0,5.8028058657162204e-05
profile8,500,0.702,351,513.76,1.0,514.76,256880.0,500.0,257380.0,,,136.37423265210973,,0.07249941724941725,0.029474168435951874,1000.0,2.6325045414394087e-05
profile9,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-2.1340000000000128,0.10537412587412587,0.03318001213224143,1000.0,7.564390726237594e-05
profile10,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-0.8100000000000097,0.12626048951048952,0.036919153316605544,1000.0,0.00010144396407864082
profile11,500,0.714,357,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.97539707256303,-3.445000000000009,0.08913578088578089,0.021601405317965828,1000.0,8.9405501109174e-05
profile12,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.09776456876456877,0.030019370226376595,1000.0,7.300454429873748e-05
profile13,500,0.714,357,513.76,1.0,514.76,256880.0,500.0,257380.0,,,138.70541611624833,-2.6116666666666766,0.09636655011655011,0.02449823071479122,1000.0,9.20236395348661e-05
profile14,500,0.71,355,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.66092756320768,-2.667500000000016,0.08984790209790211,0.02737893034071378,1000.0,6.803560069891918e-05
profile15,500,0.7,350,515.76,1.0,516.76,257880.0,500.0,258380.0,,,135.45940088242125,5.670000000000067,0.11202214452214451,0.052985602154391964,1000.0,1.170938194395964e-05
profile16,500,0.712,356,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.5861102460293,-4.134000000000011,0.09576456876456876,0.0277738439904045,1000.0,7.827950946698802e-05
profile17,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-1.8900000000000226,0.11002214452214451,0.04151861196128712,1000.0,5.2219445389678503e-05
profile18,500,0.704,352,513.76,1.0,514.76,256880.0,500.0,257380.0,,,136.76276322946615,-15.670000000000059,0.07798776223776224,0.030132645839652205,1000.0,3.442860859130047e-05
profile19,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-2.1340000000000128,0.09113578088578089,0.027971751178757547,1000.0,6.82338268347018e-05
profile20,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-1.8900000000000226,0.09776456876456877,0.03647290466080275,1000.0,4.8027632639839115e-05
profile21,500,0.716,358,512.76,1.0,513.76,256380.0,500.0,256880.0,,,139.36468389909683,-2.952857142857151,0.09863578088578089,0.02173632595288646,1000.0,0.00010737139711150725
profile22,500,0.71,355,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.39453518074154,-1.4175000000000169,0.11213170163170164,0.03561410281155503,1000.0,7.915375804743318e-05
profile23,500,0.716,358,513.76,1.0,514.76,256880.0,500.0,257380.0,,,139.09394669360478,-2.238571428571437,0.1068100233100233,0.026956383672944177,1000.0,0.00010276100700158317
profile24,500,0.706,353,514.76,1.0,515.76,257380.0,500.0,257880.0,,,136.88537304172482,-5.335000000000032,0.07898776223776224,0.02705162176818228,1000.0,4.824825248448442e-05
profile25,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-0.8100000000000097,0.11963170163170163,0.032916195623201985,1000.0,0.0001041088907525692
profile26,500,0.724,362,512.76,1.0,513.76,256380.0,500.0,256880.0,,,140.921831205232,-1.879090909090914,0.12588170163170162,0.025188201395207763,1000.0,0.00014696609086204863
profile27,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-0.8100000000000097,0.11300291375291376,0.029472003933787377,1000.0,0.00010461124290838882
profile28,500,0.72,360,513.76,1.0,514.76,256880.0,500.0,257380.0,,,139.87100784831765,-1.7411111111111177,0.12190093240093239,0.027918107370336672,1000.0,0.00012834081447715253
profile29,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-2.1340000000000128,0.10637412587412587,0.03328895874118804,1000.0,7.716032339023923e-05
profile30,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.11763170163170163,0.03551309271054494,1000.0,9.01879329100777e-05
profile31,500,0.718,359,513.76,1.0,514.76,256880.0,500.0,257380.0,,,139.48247727096123,-1.9587500000000073,0.11200291375291375,0.0275273067343131,1000.0,0.00011063077994461021
profile32,500,0.72,360,516.76,1.0,517.76,258380.0,500.0,258880.0,,,139.06056860321382,-0.07444444444445246,0.14414685314685316,0.03828870598615821,1000.0,0.00013050340152684012
profile33,500,0.71,355,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.66092756320768,-2.667500000000016,0.10537412587412587,0.03584426154171377,1000.0,6.531255388300435e-05
profile34,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.12327972027972027,0.041129470317368404,1000.0,7.938071763484685e-05
profile35,500,0.71,355,516.76,1.0,517.76,258380.0,500.0,258880.0,,,137.1291718170581,-0.16750000000001805,0.12527972027972026,0.04516179354969164,1000.0,6.751416328093515e-05
profile36,500,0.71,355,513.76,1.0,514.76,256880.0,500.0,257380.0,,,137.92835496153546,-3.9175000000000146,0.11213170163170164,0.03608210402477918,1000.0,7.764296678479927e-05
profile37,500,0.712,356,516.76,1.0,517.76,258380.0,500.0,258880.0,,,137.51545117428927,-0.13400000000001444,0.1318892773892774,0.04399429692741794,1000.0,8.478963908846087e-05
profile38,500,0.706,353,514.76,1.0,515.76,257380.0,500.0,257880.0,,,136.88537304172482,-5.335000000000032,0.10451835664335664,0.040796389739064895,1000.0,4.445008757023974e-05
profile39,500,0.71,355,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.39453518074154,-1.4175000000000169,0.11064335664335664,0.03828870598615821,1000.0,6.59221779376117e-05
profile40,500,0.716,358,516.76,1.0,517.76,258380.0,500.0,258880.0,,,138.28800988875153,-0.09571428571429602,0.15177564102564103,0.04674404463194271,1000.0,0.00011257639014554158
profile41,500,0.722,361,514.76,1.0,515.76,257380.0,500.0,257880.0,,,139.98759112765626,-1.0670000000000064,0.09273776223776224,0.01405429178040643,1000.0,0.00012530862935657938
profile42,500,0.712,356,517.76,1.0,518.76,258880.0,500.0,259380.0,,,137.25036625799984,0.8659999999999847,0.11287412587412586,0.03627654892877823,1000.0,7.772578459512955e-05
profile43,500,0.732,366,512.894,1.0,513.894,256447.0,500.0,256947.0,,,142.4418265245362,-1.3333333333333321,0.13751806526806526,0.01883181680315438,1000.0,0.00019430939388620318
profile44,500,0.726,363,513.894,1.0,514.894,256947.0,500.0,257447.0,,,140.99989512404494,-1.249999999999999,0.1308892773892774,0.024728389444949955,1000.0,0.0001581539083760492
profile45,500,0.716,358,514.894,1.0,515.894,257447.0,500.0,257947.0,,,138.7882006768832,-1.4285714285714273,0.1242604895104895,0.036587984485436716,1000.0,9.902135039294132e-05
profile46,500,0.706,353,511.894,1.0,512.894,255947.0,500.0,256447.0,,,137.65027471563323,-12.49999999999999,0.096745337995338,0.03641338131083354,1000.0,4.663453924918387e-05
profile47,500,0.71,355,514.894,1.0,515.894,257447.0,500.0,257947.0,,,137.62517106227247,-2.499999999999998,0.10439335664335664,0.036236866389095686,1000.0,6.187244640403894e-05
profile48,500,0.712,356,512.894,1.0,513.894,256447.0,500.0,256947.0,,,138.54997334080568,-3.9999999999999964,0.11102214452214451,0.035885855828530995,1000.0,7.637846105438577e-05
profile49,500,0.724,362,513.894,1.0,514.894,256947.0,500.0,257447.0,,,140.61146566089332,-1.3636363636363624,0.1318892773892774,0.027505661712668078,1000.0,0.00014930831193205054
profile50,500,0.722,361,514.894,1.0,515.894,257447.0,500.0,257947.0,,,139.951230291494,-0.9999999999999991,0.12638927738927738,0.02773582044282681,1000.0,0.00013746551908652507
profile51,500,0.732,366,509.894,1.0,510.894,254947.0,500.0,255447.0,,,143.27825341460266,-2.3333333333333313,0.14977564102564103,0.022204327166110604,1000.0,0.00020624040739061295
profile52,500,0.722,361,512.894,1.0,513.894,256447.0,500.0,256947.0,,,140.49589993267094,-1.9999999999999982,0.14514685314685313,0.03570934090679314,1000.0,0.00014346960916700107
profile53,500,0.726,363,510.894,1.0,511.894,255447.0,500.0,255947.0,,,141.8262374632248,-2.499999999999998,0.12313548951048951,0.02192680214336265,1000.0,0.00015487949697352228
profile54,500,0.728,364,511.894,1.0,512.894,255947.0,500.0,256447.0,,,141.9396600467153,-1.9230769230769214,0.13749504662004663,0.024384955101515608,1000.0,0.00017298922665700013
profile55,500,0.718,359,512.894,1.0,513.894,256447.0,500.0,256947.0,,,139.71752929592483,-2.499999999999998,0.12526048951048951,0.03448347533570463,1000.0,0.00010954309417716543
