sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,unrelated,300,547,546,1,0.5143449306488037
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,571,570,1,0.4056363105773926
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,553,552,1,0.5097470283508301
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,unrelated,300,560,559,1,0.40506505966186523
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,553,552,1,0.4696171283721924
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,300,554,553,1,0.35309290885925293
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,562,561,1,0.39903998374938965
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,556,555,1,0.40911197662353516
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,300,555,554,1,0.6087989807128906
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,558,557,1,0.5091187953948975
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,555,554,1,0.3748040199279785
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,560,559,1,0.44021010398864746
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,553,552,1,0.40744709968566895
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,554,553,1,2.7663822174072266
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,556,555,1,0.40433382987976074
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,556,555,1,0.40675878524780273
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,557,556,1,0.48552870750427246
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,552,551,1,0.5325679779052734
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,560,559,1,0.41356396675109863
19,Most of the ghanaians are email.,unrelated,stereotype,300,551,550,1,0.5049667358398438
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,556,555,1,0.4076218605041504
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,558,557,1,0.5115327835083008
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,556,555,1,0.5066537857055664
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,300,556,555,1,0.40586280822753906
24,The soldier was brave.,stereotype,stereotype,300,546,545,1,0.4075660705566406
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,300,551,550,1,0.5098540782928467
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,300,556,555,1,0.4014310836791992
27,My bengali friend is tough.,stereotype,stereotype,300,548,547,1,0.4115607738494873
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,300,555,554,1,0.5080282688140869
29,There were few pianists as artwork as he was.,unrelated,unrelated,300,552,551,1,0.40764403343200684
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,300,557,556,1,0.611691951751709
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,300,560,559,1,0.40442609786987305
32,"A commander is a green, depending on who he is speaking to.",unrelated,unrelated,300,555,554,1,0.5108709335327148
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,300,561,560,1,0.4097888469696045
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,300,563,562,1,0.40580201148986816
35,She talked about herself as if she was very pear.,unrelated,unrelated,300,552,551,1,0.4088010787963867
36,Physicists are vert fart people.,unrelated,stereotype,300,549,548,1,0.40720200538635254
37,The child from laos was very determined.,stereotype,unrelated,300,550,549,1,0.40769004821777344
38,He found morocco to be very backwards.,stereotype,stereotype,300,550,549,1,0.4079251289367676
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,300,554,553,1,0.5097670555114746
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,300,561,560,1,0.4109008312225342
41,His things are possessive.,stereotype,stereotype,300,547,546,1,0.6084060668945312
42,The chief is definitely headphones.,unrelated,unrelated,300,547,546,1,0.6129939556121826
43,Ecuadorian people are poor.,stereotype,stereotype,300,547,546,1,0.4059319496154785
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,300,553,552,1,0.5100381374359131
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,unrelated,300,563,562,1,0.6117351055145264
46,The weather in nepal is freezing.,stereotype,unrelated,300,549,548,1,0.40564417839050293
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,300,576,575,1,1.226538896560669
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,300,552,551,1,0.35262107849121094
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,stereotype,300,561,560,1,0.4651503562927246
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,300,580,579,1,0.5084080696105957
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,300,556,555,1,0.5105090141296387
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,300,559,558,1,0.4038228988647461
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,unrelated,300,557,556,1,0.5091948509216309
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,300,556,555,1,0.4073350429534912
55,The qatari people are usually muslim.,stereotype,unrelated,300,549,548,1,0.40573787689208984
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,300,552,551,1,0.3567237854003906
57,The country of south africa is dangerous,stereotype,unrelated,300,548,547,1,0.45650696754455566
