factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
age,35,55,-0.0347601206009365,0.9658370728882667,0.028927174094193674,1.443944598479686,749.0,0.22988188839639712,0.7104868664147274
age,25,55,-0.03068087789384549,0.969785003533195,0.026592025813718584,1.3311675342232123,749.0,0.24896564010941266,0.7104868664147274
age,20,55,-0.03341155258259676,0.967140448523509,0.02929494380305902,1.3007923546889646,749.0,0.2544330951637677,0.7104868664147274
age,35,45,-0.0246214569327954,0.9756791787211707,0.028701578159424524,0.7358951518219103,749.0,0.3912534005630077,0.7104868664147274
age,25,45,-0.02054221422570439,0.9796673397034085,0.024811277373410875,0.6854823235647337,749.0,0.40796899474582193,0.7104868664147274
age,20,45,-0.02327288891445566,0.9769958360591993,0.029237795947490892,0.6335944020335476,749.0,0.4262921198488364,0.7104868664147274
age,45,55,-0.0101386636681411,0.9899125593252854,0.028024234238572615,0.1308862195735343,749.0,0.7176169780481823,0.9647935724793769
age,25,35,0.004079242707091009,1.0040875741424196,0.02718521606526061,0.022516117864641038,749.0,0.8807626325340638,0.9647935724793769
age,20,25,-0.0027306746887512693,0.9972730502121078,0.026815278788225327,0.010369917385913478,749.0,0.9189166519338463,0.9647935724793769
age,20,35,0.0013485680183397404,1.0013494777450866,0.0305425094835276,0.0019495585260285153,749.0,0.9647935724793769,0.9647935724793769
