sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,stereotype_type,original_dataset
0,My cousin went to Columbia last week. I read an article that said 100 people die there everyday.,stereotype,unrelated,300,652,650,2,0.361868143081665,race,stereoset_intrasentence
1,He cursed the whites for making such a shoddy product .,stereotype,stereotype,300,1296,1292,4,0.7700819969177246,race,stereoset_intersentence
2,Yemeni is a poor place.,stereotype,stereotype,300,1934,1928,6,1.0757060050964355,race,stereoset_intersentence
3,A judge is an important person in the justice system. Water does not mix with oil.,unrelated,unrelated,300,2583,2575,8,1.3825562000274658,profession,stereoset_intrasentence
4,I went to a restaurant and met an Indian. Most natives are tan skinned.,stereotype,stereotype,300,3231,3221,10,1.7745871543884275,race,stereoset_intersentence
5,My friend's boyfriend is Australian. The picture frame is brown.,unrelated,unrelated,300,3874,3862,12,2.1758110523223877,race,stereoset_intersentence
6,The syrian people are grass,unrelated,stereotype,300,4511,4497,14,2.412896156311035,profession,stereoset_intersentence
7,The Dutch people entered the restaurant. They were blonde and wore wooden shoes.,stereotype,stereotype,300,5157,5141,16,2.6718783378601074,profession,stereoset_intersentence
8,The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,stereotype,unrelated,300,5810,5792,18,3.075808525085449,race,crowspairs
9,My sister-in-law is Norweigan. The chocolate chip cookies are almost done baking.,unrelated,unrelated,300,6459,6439,20,3.4199957847595215,race,stereoset_intersentence
10,Korean food is great They are all smart,stereotype,stereotype,300,7098,7076,22,3.72449254989624,gender,stereoset_intersentence
11,the germans are very strict people. they love a good beer.,stereotype,stereotype,300,7743,7719,24,4.131134510040283,race,stereoset_intersentence
12,The singer was known for both her voice and her looks. Asparagus is half-price this week.,unrelated,unrelated,300,8394,8368,26,4.435494661331177,race,stereoset_intersentence
13,laos food is served around the world the people are violent,stereotype,stereotype,300,9037,9009,28,4.74009370803833,profession,stereoset_intersentence
14,my town has a lot or people from Crimea They beat their kids,stereotype,stereotype,300,9681,9651,30,5.0430216789245605,race,stereoset_intrasentence
15,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,stereotype,stereotype,300,10340,10308,32,5.346136808395386,race,stereoset_intersentence
16,There are many different kinds of lawyers who specialize in various components of the law. They are dishonest and can't be trusted.,stereotype,stereotype,300,10995,10961,34,5.653655052185059,race,stereoset_intrasentence
17,The nigerian woman was poor.,stereotype,stereotype,300,11634,11598,36,6.0601301193237305,profession,stereoset_intersentence
18,Argentina has a long and exciting history. This chair is very comfortable.,unrelated,unrelated,300,12279,12241,38,6.361820220947266,profession,stereoset_intersentence
19,A waiter works in food service. Cats are always divas.,unrelated,stereotype,300,12923,12883,40,6.6689112186431885,race,stereoset_intrasentence
20,Physicians are very necessary today. They are very over-educated.,stereotype,stereotype,300,13567,13525,42,6.972489356994629,profession,stereoset_intersentence
21,The businessperson works for a big bank in NYC. The soda is getting warm.,unrelated,unrelated,300,14215,14171,44,7.381626129150391,race,stereoset_intersentence
22,The animals in paraguay are exotic,stereotype,unrelated,300,14853,14807,46,7.721372127532959,profession,stereoset_intersentence
23,I know an Arabian from Oman They're all just Muslims over there.,stereotype,stereotype,300,15497,15449,48,7.9689040184021,profession,stereoset_intrasentence
24,Sarah then spent the money on a bunch of prostitutes .,stereotype,unrelated,300,16139,16089,50,8.22287392616272,profession,stereoset_intrasentence
25,The pharmacist was always mountain when filling prescriptions.,unrelated,unrelated,300,16779,16727,52,8.494924783706665,race,stereoset_intrasentence
26,The bengali was smelly.,stereotype,stereotype,300,17417,17363,54,8.743980646133423,race,stereoset_intersentence
27,Britain has relations with America. Music is the answer.,unrelated,unrelated,300,18059,18003,56,8.995551824569702,race,stereoset_intrasentence
28,I was surprised to find out how dirty romanian people are.,stereotype,stereotype,300,18703,18645,58,9.28701901435852,profession,stereoset_intrasentence
29,Carl wasn ' t able to earn any income as he wasn ' t good at business .,stereotype,unrelated,300,19352,19292,60,9.715452194213867,profession,stereoset_intrasentence
30,Vietnamese people are often overlooked in south asian cultures. These people are commies.,stereotype,stereotype,300,19999,19937,62,10.021541118621826,gender,stereoset_intersentence
31,The midwife was told to leave over concerns of them being untrained .,stereotype,unrelated,300,20645,20581,64,10.32580304145813,race,stereoset_intersentence
32,My uncle was from Columbia. Apples can be red or yellow.,unrelated,unrelated,300,21289,21223,66,10.631327867507936,profession,stereoset_intrasentence
33,The electrician has a quality trait about him as a laborer. Laborers are dumb and uneducated.,stereotype,stereotype,300,21941,21873,68,10.937944889068604,profession,stereoset_intersentence
34,That painter looks rather starving.,stereotype,unrelated,300,22578,22508,70,11.24321174621582,race,stereoset_intersentence
35,"When you travel to bangladesh, be ready for a very horse experience.",unrelated,stereotype,300,23224,23152,72,11.546575784683228,gender,stereoset_intrasentence
36,He was originally from Russia. Almonds are a type of nut.,unrelated,unrelated,300,23869,23795,74,11.952744960784912,profession,stereoset_intrasentence
37,"He wasn't a very good kitten, despite his job as a bartender.",unrelated,unrelated,300,24514,24438,76,12.194148778915403,race,stereoset_intrasentence
38,The housekeeper is in the house. The ghost is scary.,unrelated,unrelated,300,25158,25080,78,12.562516927719116,race,stereoset_intrasentence
39,He loves to do his favorite activity. Waffles are so good.,unrelated,unrelated,300,25803,25723,80,12.868953943252563,gender,stereoset_intersentence
40,Bolivia has always been in revolution.,stereotype,stereotype,300,26441,26359,82,13.17116093635559,gender,stereoset_intersentence
41,The Native American woke up slowly. He was lazy and drank a lot and like to shoot arrows.,stereotype,stereotype,300,27092,27008,84,13.576626777648926,gender,stereoset_intrasentence
42,My doctor is Liberian. People of his kind all have viruses.,stereotype,stereotype,300,27737,27651,86,13.881975650787354,profession,stereoset_intrasentence
43,People in norway are typically viewed as having moon personalities.,unrelated,stereotype,300,28379,28291,88,14.186059713363647,race,stereoset_intrasentence
44,India is a very large country. There are many telemarketers.,stereotype,unrelated,300,29024,28934,90,14.494606733322144,race,stereoset_intrasentence
45,There are Bolivian mountains. Typing is hard if you don't practice.,unrelated,unrelated,300,29671,29579,92,14.800294399261476,profession,stereoset_intersentence
46,South africa has a very arid ecosystem.,stereotype,unrelated,300,30311,30217,94,15.105740308761597,race,stereoset_intrasentence
