profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,750,0.772,579,769.2546666666667,1.0,770.2546666666667,576941.0,750.0,577691.0,,,100.22659172464172,-35.16666666666664,0.15468253968253967,0.08014802816008894,750.0,-7.287870986788185e-06
profile2,750,0.7773333333333333,583,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,100.52746744927501,-42.26086956521731,0.17375661375661378,0.07815361122343836,750.0,2.2566163596474103e-05
profile3,750,0.7773333333333333,583,770.2546666666667,1.0,771.2546666666667,577691.0,750.0,578441.0,,,100.78815298362322,-41.608695652173836,0.1992063492063492,0.08364357024326573,750.0,4.138608179548701e-05
profile4,750,0.7786666666666666,584,771.2546666666667,1.0,772.2546666666667,578441.0,750.0,579191.0,,,100.83029605087094,-43.84090909090895,0.1791269841269841,0.07801726165221404,750.0,2.990264975960784e-05
profile5,750,0.7746666666666666,581,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,100.1826047822106,-38.87999999999989,0.1793121693121693,0.0835662636713477,750.0,1.5751139300558903e-05
profile6,750,0.7773333333333333,583,769.2546666666667,1.0,770.2546666666667,576941.0,750.0,577691.0,,,100.91900341185858,-41.282608695652094,0.14626984126984124,0.07069188595683505,750.0,6.343446612684559e-06
profile7,750,0.7693333333333333,577,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,99.49287944808178,-33.51724137931029,0.14523809523809525,0.08162446500237944,750.0,-2.3292241926329952e-05
profile8,750,0.772,579,770.2546666666667,1.0,771.2546666666667,577691.0,750.0,578441.0,,,100.09663906949888,-35.44444444444442,0.1691269841269841,0.08345707683499128,750.0,2.8691307199025656e-06
profile9,750,0.772,579,771.2546666666667,1.0,772.2546666666667,578441.0,750.0,579191.0,,,99.96702296824364,-35.7222222222222,0.15171957671957675,0.08024296246554957,750.0,-1.1351628665918138e-05
profile10,750,0.7826666666666666,587,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,101.21719278340383,-51.15789473684192,0.192989417989418,0.0755126924204752,750.0,5.426935647134913e-05
profile11,750,0.776,582,769.2546666666667,1.0,770.2546666666667,576941.0,750.0,577691.0,,,100.74590049005437,-39.56249999999997,0.18153439153439152,0.08022365682335232,750.0,2.7376760960037733e-05
profile12,750,0.7786666666666666,584,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,100.69989878280721,-44.18181818181804,0.18116402116402117,0.07856072657278736,750.0,3.1092690487195835e-05
profile13,750,0.776,582,770.2546666666667,1.0,771.2546666666667,577691.0,750.0,578441.0,,,100.61527450509215,-39.87499999999997,0.1742063492063492,0.07882276377962559,750.0,2.1472572371812358e-05
profile14,750,0.784,588,771.2546666666667,1.0,772.2546666666667,578441.0,750.0,579191.0,,,101.52091451697281,-53.58333333333329,0.21772486772486774,0.0787647249408004,750.0,7.794762588239492e-05
profile15,750,0.78,585,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,100.87233011633943,-46.285714285714256,0.185978835978836,0.0768037434034389,750.0,4.186376179468022e-05
profile16,750,0.772,579,769.2546666666667,1.0,770.2546666666667,576941.0,750.0,577691.0,,,100.22659172464172,-35.16666666666664,0.1732010582010582,0.0835310275896,750.0,7.970095200364276e-06
profile17,750,0.7706666666666667,578,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,99.665310781614,-34.71428571428572,0.17783068783068784,0.08707851419228556,750.0,4.750904979278137e-06
profile18,750,0.788,591,770.2546666666667,1.0,771.2546666666667,577691.0,750.0,578441.0,,,102.1711808118719,-63.799999999999955,0.20153439153439154,0.07006224459548638,750.0,7.962337862904615e-05
profile19,750,0.7813333333333333,586,771.2546666666667,1.0,772.2546666666667,578441.0,750.0,579191.0,,,101.17560528392187,-48.2249999999999,0.17608465608465607,0.07515831811261252,750.0,3.336725690587953e-05
profile20,750,0.7786666666666666,584,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,100.69989878280721,-44.18181818181804,0.17097883597883595,0.07521903902057347,750.0,2.6564027122184414e-05
profile21,750,0.7773333333333333,583,769.2546666666667,1.0,770.2546666666667,576941.0,750.0,577691.0,,,100.91900341185858,-41.282608695652094,0.17108465608465612,0.07667537369868921,750.0,2.3023435565827187e-05
profile22,750,0.7813333333333333,586,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,101.04476144987161,-48.599999999999895,0.1966931216931217,0.07656283104502347,750.0,5.63429636847646e-05
profile23,750,0.7746666666666666,581,770.2546666666667,1.0,771.2546666666667,577691.0,750.0,578441.0,,,100.44239602656104,-38.27999999999989,0.16190476190476188,0.07854322161304876,750.0,6.247377016840563e-06
profile24,750,0.7773333333333333,583,771.2546666666667,1.0,772.2546666666667,578441.0,750.0,579191.0,,,100.65764143434548,-41.93478260869557,0.17634920634920634,0.08038726260984971,750.0,2.016780448441047e-05
profile25,750,0.7866666666666666,590,772.2546666666667,1.0,773.2546666666667,579191.0,750.0,579941.0,,,101.73448678400042,-60.749999999999744,0.1950529100529101,0.07287627489287339,750.0,6.375695148363795e-05
profile26,750,0.7826666666666666,587,769.2546666666667,1.0,770.2546666666667,576941.0,750.0,577691.0,,,101.61141509907546,-49.97368421052614,0.18301587301587302,0.07323336917897624,750.0,4.745071499026365e-05
