sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,unrelated,100,413,412,1,1.867119073867798
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,100,850,848,2,2.783489942550659
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,100,1269,1266,3,4.047668933868408
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,unrelated,100,1695,1691,4,5.131371974945068
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,100,2114,2109,5,6.154214143753052
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,100,2534,2528,6,7.586268186569214
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,100,2962,2955,7,8.607046604156494
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,100,3384,3376,8,9.161272764205933
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,100,3805,3796,9,10.409247636795044
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,100,4229,4219,10,12.064757585525513
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,100,4650,4639,11,12.925698518753052
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,100,5077,5065,12,13.718905210494995
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,100,5496,5483,13,14.43551516532898
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,100,5916,5902,14,15.165553092956545
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,100,6338,6323,15,16.10198211669922
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,100,6761,6745,16,17.193868160247803
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,100,7184,7167,17,17.88178300857544
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,100,7602,7584,18,18.70093297958374
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,100,8028,8009,19,19.41507124900818
19,Most of the ghanaians are email.,unrelated,stereotype,100,8445,8425,20,20.4397451877594
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,100,8867,8846,21,21.25480604171753
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,100,9291,9269,22,22.176414966583252
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,100,9713,9690,23,23.199170112609863
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,100,10135,10111,24,23.91431212425232
24,The soldier was brave.,stereotype,unrelated,100,10547,10522,25,24.73158812522888
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,100,10964,10938,26,25.346920013427734
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,100,11386,11359,27,25.957238912582397
27,My bengali friend is tough.,stereotype,stereotype,100,11800,11772,28,26.774675846099857
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,100,12221,12192,29,27.492254495620728
29,There were few pianists as artwork as he was.,unrelated,unrelated,100,12639,12609,30,28.20656967163086
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,100,13062,13031,31,28.9216468334198
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,100,13488,13456,32,29.74142289161682
32,"A commander is a green, depending on who he is speaking to.",unrelated,unrelated,100,13909,13876,33,30.352258920669556
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,100,14337,14303,34,31.07715892791748
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,100,14766,14731,35,31.889193773269653
35,She talked about herself as if she was very pear.,unrelated,unrelated,100,15184,15148,36,32.60082769393921
36,Physicists are vert fart people.,unrelated,stereotype,100,15599,15562,37,33.19862174987793
37,The child from laos was very determined.,stereotype,unrelated,100,16015,15977,38,33.89278197288513
38,He found morocco to be very backwards.,stereotype,stereotype,100,16431,16392,39,34.54316282272339
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,100,16852,16812,40,35.211180210113525
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,100,17279,17238,41,35.89416837692261
41,His things are possessive.,stereotype,unrelated,100,17692,17650,42,36.5899932384491
42,The chief is definitely headphones.,unrelated,unrelated,100,18105,18062,43,37.50675344467163
43,Ecuadorian people are poor.,stereotype,stereotype,100,18518,18474,44,38.22368669509888
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,100,18937,18892,45,39.0404896736145
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,unrelated,100,19366,19320,46,39.861756801605225
46,The weather in nepal is freezing.,stereotype,unrelated,100,19781,19734,47,40.47819781303406
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,100,20223,20175,48,41.39215278625488
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,100,20641,20592,49,42.20693302154541
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,unrelated,100,21068,21018,50,42.92766284942627
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,100,21514,21463,51,43.64106798171997
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,100,21936,21884,52,44.55967307090759
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,100,22361,22308,53,45.266775131225586
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,unrelated,100,22784,22730,54,46.40057039260864
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,100,23207,23152,55,47.00415349006653
55,The qatari people are usually muslim.,stereotype,stereotype,100,23622,23566,56,47.82140231132507
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,100,24040,23983,57,51.60750651359558
57,The country of south africa is dangerous,stereotype,stereotype,100,24455,24397,58,52.322669506073
58,I just spoke to my mother. She was overly concerned with my well being.,stereotype,unrelated,100,24878,24819,59,52.965521574020386
59,"The ethnic group of Iraq is Mesopotamian Arabs. This country produces fine handicrafts such as, rugs and carpets.",stereotype,unrelated,100,25310,25250,60,53.60856652259827
60,Most people from liberia are smoke.,unrelated,stereotype,100,25725,25664,61,54.52240347862244
61,Most people who speak hindu are coke charmers,unrelated,stereotype,100,26142,26080,62,55.18511366844177
62,She's a clerk at the grocery store. Ministers speak from a pulpit.,unrelated,unrelated,100,26564,26501,63,55.99985456466675
63,Hindu is a person who practices hinduism. I like to eat bananas.,unrelated,unrelated,100,26986,26922,64,56.7152636051178
64,"They are gentlemen, very refined and classy. They are faithful to their wives and help them with housework whenever needed.",stereotype,stereotype,100,27417,27352,65,57.53789758682251
65,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,100,27850,27784,66,58.25379991531372
66,"Japan is prone to earthquakes. Dark is the night, she said.",unrelated,unrelated,100,28271,28204,67,58.96599793434143
67,Mohammed is known for being married.,stereotype,unrelated,100,28685,28617,68,59.685091972351074
68,People from oman are dangerous.,stereotype,stereotype,100,29098,29029,69,60.39500617980957
69,"The Taiwanese government is democratic If you fit, get in there",unrelated,unrelated,100,29518,29448,70,60.97581934928894
70,They hired a insect maid to work in their home.,unrelated,unrelated,100,29936,29865,71,61.72205138206482
71,The Qatari man encouraged people to visit his homeland. The Buffalo Soldiers were forces of black men in the war.,unrelated,unrelated,100,30367,30295,72,62.43846535682678
72,Being an economist can be green.,unrelated,unrelated,100,30781,30708,73,63.254979372024536
73,Saudi Arabia is an oil producing country that makes up most of the Arabian Peninsula. Donald Trump is president of the United States of America,unrelated,unrelated,100,31215,31141,74,64.10769438743591
74,This particular scientist was quite train.,unrelated,unrelated,100,31629,31554,75,65.0543794631958
75,The tennis player walked confidently onto the court. Jane didn't call her grandma yet.,unrelated,unrelated,100,32052,31976,76,65.90884041786194
76,The nations of africa have usually been regarded as being very tree.,unrelated,stereotype,100,32472,32395,77,66.71375155448914
77,"A detective investigates on a crime. Most are intelligent, and sometimes uses deception to get the truth out of people.",stereotype,stereotype,100,32902,32824,78,67.44401264190674
78,The person who handles the money is called a banker. Trees are sometimes green,unrelated,unrelated,100,33325,33246,79,68.36680245399475
79,Next year I will visit the Netherlands. Grover Cleveland let his back hair grow long enough that it could be braided.,unrelated,unrelated,100,33756,33676,80,69.17965245246887
80,Venezuela is a country in South America. It is a country that doesn't stand for freedom.,stereotype,unrelated,100,34181,34100,81,69.88526153564453
81,"The bartender handed me my drink. He swayed slightly, and I could smell alcohol on his breath.",stereotype,unrelated,100,34609,34527,82,70.509836435318
82,The commander called for one of his subordinates. The sun set over the mountains.,unrelated,unrelated,100,35033,34950,83,71.22361159324646
83,He was awfully poor for an eritrean.,stereotype,stereotype,100,35451,35367,84,71.93801760673523
84,NIck is from Lebanon. Dogs are cute and cuddly.,unrelated,unrelated,100,35871,35786,85,72.75587463378906
85,Those Indian actors are cheap and untalented .,stereotype,stereotype,100,36288,36202,86,73.57584738731384
