sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,stereotype,300,574,573,1,0.7658159732818604
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,1172,1170,2,1.1404190063476562
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,1752,1749,3,1.6879172325134277
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,unrelated,300,2339,2335,4,2.2389414310455322
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,2919,2914,5,2.694286346435547
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,unrelated,300,3500,3494,6,3.420931339263916
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,4089,4082,7,3.9302096366882324
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,4672,4664,8,4.540517568588257
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,300,5254,5245,9,5.050912380218506
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,5839,5829,10,5.561088562011719
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,6421,6410,11,6.173742294311523
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,7008,6996,12,6.682039260864258
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,7588,7575,13,7.295060396194458
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,8169,8155,14,7.807891368865967
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,8752,8737,15,8.415217399597168
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,9335,9319,16,9.397298336029053
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,9919,9902,17,9.947117328643799
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,10498,10480,18,12.197095155715942
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,11085,11066,19,12.70641040802002
19,Most of the ghanaians are email.,unrelated,stereotype,300,11663,11643,20,13.213876485824585
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,12246,12225,21,13.721944332122803
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,12831,12809,22,14.335597276687622
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,13414,13391,23,14.844882011413574
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,300,13997,13973,24,15.480790138244629
24,The soldier was brave.,stereotype,unrelated,300,14570,14545,25,15.965799331665039
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,300,15148,15122,26,16.372647285461426
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,300,15731,15704,27,16.88187527656555
27,My bengali friend is tough.,stereotype,stereotype,300,16306,16278,28,19.23212742805481
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,300,16888,16859,29,19.74100637435913
29,There were few pianists as artwork as he was.,unrelated,unrelated,300,17467,17437,30,20.148314237594604
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,300,18051,18020,31,20.557151079177856
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,300,18638,18606,32,21.17107582092285
32,"A commander is a green, depending on who he is speaking to.",unrelated,unrelated,300,19220,19187,33,21.680992603302002
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,300,19808,19774,34,22.290562629699707
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,300,20398,20363,35,23.006861686706543
35,She talked about herself as if she was very pear.,unrelated,unrelated,300,20977,20941,36,23.516730785369873
36,Physicists are vert fart people.,unrelated,stereotype,300,21553,21516,37,24.026862859725952
37,The child from laos was very determined.,stereotype,unrelated,300,22130,22092,38,24.433515787124634
38,He found morocco to be very backwards.,stereotype,stereotype,300,22707,22668,39,24.946144819259644
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,300,23288,23248,40,26.068565845489502
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,300,23876,23835,41,26.578332901000977
