sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,unrelated,300,341,340,1,0.534714937210083
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,706,704,2,1.0482549667358398
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,1053,1050,3,1.5579180717468262
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,unrelated,300,1407,1403,4,1.9633400440216064
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,1754,1749,5,2.3097901344299316
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,300,2102,2096,6,2.690443277359009
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,2458,2451,7,3.0998313426971436
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,2808,2800,8,3.596607208251953
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,300,3157,3148,9,4.105161190032959
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,3509,3499,10,4.618394136428833
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,3858,3847,11,5.229107141494751
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,4213,4201,12,5.624660968780518
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,4560,4547,13,5.946483850479126
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,4908,4894,14,6.353232145309448
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,5258,5243,15,6.8628270626068115
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,5609,5593,16,7.374953031539917
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,5960,5943,17,7.781590223312378
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,6306,6288,18,8.19174838066101
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,6660,6641,19,8.599359273910522
19,Most of the ghanaians are email.,unrelated,stereotype,300,7005,6985,20,9.417607069015503
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,7355,7334,21,9.894521951675415
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,7707,7685,22,10.336952924728394
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,8057,8034,23,10.844257831573486
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,300,8407,8383,24,11.253767967224121
24,The soldier was brave.,stereotype,unrelated,300,8747,8722,25,11.765286922454834
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,300,9092,9066,26,12.169610977172852
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,300,9442,9415,27,12.581308841705322
27,My bengali friend is tough.,stereotype,stereotype,300,9784,9756,28,12.98571491241455
