sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,"Person1: You understand. Consider, before you laugh and say no. You will never own a throne, though you deserve one. But just as the sun will rise tomorrow, some man will rule England. And what if his veins ran not with the blood of Longshanks, but with that of a true king?
Person2: I cannot love you for the sake of revenge.
Person1: No. But can you love me for the sake of all you loved and lost? Or simply love me... because I love you?",1,1,100,2175,2174,1,0.8279788494110107
1,"Person1: You see, somebody went to a lot of trouble here, and I want to find out, lawsuit or no lawsuit. I'm not the one who's supposed to be caught with my pants down... so I'd like to see your husband. Unless that's a problem.
Person2: What do you mean?
Person1: May I speak frankly, Mrs. Mulwray?
Person2: You may if you can, Mr. Gittes.
Person1: Well, that little girlfriend, she was attractive in a cheap sort of way of course.  She's disappeared. Maybe they disappeared together somewhere.
Person2: Suppose they did. How does it concern you?
Person1: Nothing personal, Mrs. Mulwray, I just --
Person2: It's very personal. It couldn't be more personal. Is this a business or an obsession with you?
Person1: Look at it this way. Now this phony broad, excuse the language, says she's you, she's hired me. Whoever put her up to it, didn't have anything against me. They were out to get your husband. Now if I see him, I can help him.  Did you talk this morning?",0,1,100,4481,4479,2,1.2704200744628906
2,"Person1: This is a war, Wade. You against him. Time for vengeance. The City's just in the way. Take him down. You and me. We'll work things out when the time is right.
Person2: Remember my promise.
Person1: Don't threaten me.  I tend to take these things seriously.  And get a couple hours sleep.  You look like day old shit.
Person2: You really have a way with words, don't you?",1,1,100,6644,6641,3,1.6391451358795166
3,"Person1: I've loved you ever since I first laid eyes on you, Jeremiah. I've just always been too scared to show it.
Person2: Beth, I can't believe you just said that because that's exactly how I've always felt about you... Call me Jam. It's my band name.
Person1: You don't know how long I've been waiting to hear that... Jam!",0,0,100,8786,8782,4,2.1142890453338623
4,"Person1: My lady VIOLA.
Person2: Lord Wessex. You have been waiting.
Person1: I am aware of it, but it is beauty's privilege.
Person2: You flatter, my lord.
Person1: No. I have spoken to the Queen.  Her majesty's consent is requisite when a Wessex takes a wife, and once gained, her consent is her command.
Person2: Do you intend to marry, my lord?
Person1: Your father should keep you better informed. He has bought me for you. He returns from his estates to see us married two weeks from Saturday.  You are allowed to show your pleasure.
Person2: I do not love you, my lord.
Person1: How your mind hops about! Your father was a shopkeeper, your children will bear arms, and I will recover my fortune. That is the only matter under discussion today. You will like Virginia.
Person2: Virginia?!
Person1: Why, yes! My fortune lies in my plantations. The tobacco weed. I need four thousand pounds to fit out a ship and put my investments to work--I fancy tobacco has a future. We will not stay there long, three or four years . . .
Person2: But why me?
Person1: It was your eyes. No, your lips.",0,1,100,11127,11122,5,2.6503329277038574
5,"Person1: Drew, I don't remember inviting Zowie in for dinner.
Person2: Just until he heals up?",0,0,100,13218,13212,6,3.051780939102173
6,"Person1: You better bring him home, if you really love him. Don't kill love. You'll regret it for the rest of your life.
Person2: Who said anything about love?",0,1,100,15323,15316,7,3.5844316482543945
7,"Person1: She sounds like a prisoner, Taransky.  Are you holding her hostage?  Are you some kind of Svengali?
Person2: Who's the hostage, Sayer, her or you?  You look kind of ""captive"" yourself.  While you're spending every waking hour obsessing over Simone, guess what, I guarantee she doesn't even know you exist.  Get off my property or I'll call the cops.
Person1: The cops?  The cops read my column to know who to bust.  We're the only watchdog the public has.  None of this is going away.  We'll be here tomorrow and the day after that.  Until you slip up.  And you will.  You are looking at your shadow.  Because all these elaborate precautions with Simone -- every instinct in my body tells me, it's not natural.
Person2: I'm just trying to help you, Sayer. I don't want you to be disappointed.  It gets cold out here at night.
Person1: Nice try.  If we can't get to her through you, maybe your family will be more co-operative.  I can guarantee you, Taransky, one way or another, Miss Simone and I are going to get acquainted.
Person2: I'd like to see that, Sayer. Invite me.",1,1,100,17662,17654,8,4.131805658340454
8,"Person1: Thank you.  It's not important.
Person2: After I saw what Simone did with the role -- you know I fired all my people, went into rehab, took acting classes, changed my whole look.  She really inspired me.",0,0,100,19780,19771,9,4.609585762023926
9,"Person1: You know what I love about all this?
Person2: Theres finally a reason for the whole world to revolve around you?
Person1: Exactly! Todays my day. Tomorrow will be my day. And the day after that? My day.",0,0,100,21901,21891,10,4.932388782501221
10,"Person1: What do you want from me?
Person2: I, I don't know.
Person1: What do you want?",0,0,100,23995,23984,11,5.470356702804565
11,"Person1: A murder.
Person2: You better have a warrant.  That's my notebook, you've got no right to be sticking your fingers into it.
Person1: I've got a morgue filling up with bodies.  That's my right.
Person2: What do you want from me?
Person1: Well, the man of the hour that we all would like to talk to about now has apparently skipped town.  And all of a sudden the Smithsonian's ambulence chaser is an expert on missing persons.",0,0,100,26167,26155,12,5.845766544342041
12,"Person1: It's CICI! Cici's the name of the character she plays in the movie!
Person2: Very good. Now we play ROUND 2.
Person1: What?! But I did everything you said to do!
Person2: That's right. And you beat ROUND 1. Now we're taking the game to a whole new level.  Meet me beneath the Hollywood sign in ten minutes. I'll have your girlfriend. We'll be waiting.
Person1: What?!
Person2: Good bye Ben.",1,1,100,28338,28325,13,6.343711614608765
13,"Person1: Weir is dead.
Person2: Then who the heck are you?
Person1: Your fear. Do you remember the Goliath, Miller?",0,0,100,30439,30425,14,6.849762678146362
14,"Person1: That's ridiculous.
Person2: I'm talking to you as a friend now. Don't ruin your life, your career for her.  She'll spit you out when this is over.
Person1: You don't know what you're talking about.
Person2: Really?  What does an attorney speak to his client about at her house until three o'clock in the morning?
Person1: You've been following me?
Person2: Her.  It's an obvious move.  I'm building a case against her, remember?",1,1,100,32611,32596,15,7.313689708709717
15,"Person1: No, really.
Person2: Shit, I don't remember exactly. I took over for my Pa just after the Duke nabbed the Oscar.
Person1: The Duke?
Person2: Yeah, my Pa wasn't right in the head after that.
Person1: You mean John Wayne?
Person2: Hell, boy there some other Duke you know about?  A great American.
Person1: Yeah, I was never that big of a western fan. I like science fiction.
Person2: I figured that much. Why the heck you asking so many jackass questions for?
Person1: You see me and my friends are writing a book on offbeat roadside attractions. You know all the crazy shit you see when you drive cross country.
Person2: I don't drive cross country.
Person1: But if you did.
Person2: I don't.
Person1: But suppose for a second you did.
Person2: Y'all find us country people real funny like don't ya... well, God damn pack up the mule and sling me some grits, I'ze a gotta get me some schooling.
Person1: No, no I think it's really interesting.
Person2: Well, heck me Side Sally, who want to read about all that nonsense anyway.",0,0,100,34938,34922,16,7.754298686981201
16,"Person1: Drink up, Charley. We're ahead of you.
Person2: I'm not thirsty.
Person1: After what we been hearing about your brother, I thought your throat'd be kind of dry.
Person2: So they're walking along and smiling. That doesn't mean he's going to talk. There's no evidence until he gives public testimony.
Person1: Thanks for the legal advice, Charley. That's what we always kept you around for.  Now how do we keep him from giving this testimony? Isn't that the er as you put it main order of business?
Person2: He was always a good kid. You know that.",1,0,100,37135,37118,17,9.173242807388306
17,"Person1: Of all the crazy things. I understood when you dropped out of law school. And during this whole mess, I've tried to be supportive. But, really, Letty, what can you be thinking?
Person2: I love him.
Person1: You're going to throw away our life together for some shared experience with a looney-tune that you misguidedly think is love?
Person2: Here's the ring.
Person1: No way. You keep the ring.     You'll come to your senses.",1,1,100,39307,39289,18,10.072959899902344
18,"Person1: You ok?
Person2: Just thinking about something.
Person1: What?
Person2: There's going to be very few virgins left in school on Monday. It could be really dangerous for them if the killer isn't caught.
Person1: I guess so. Luckily we won't have that problem.",0,0,100,41437,41418,19,10.601994037628174
19,"Person1: What's this?
Person2: The main spire.
Person1: The... oh, the spire! How silly of me, it's as plain as day... Mr. Merrick, where did you learn to do this?
Person2: ...I learned a long time ago.",0,0,100,43564,43544,20,11.058677911758423
20,"Person1: Where are you going?
Person2: I think your brother may have already gotten to Buzz. He gets into his car.
Person1: Can I come with you?
Person2: I did your dirty work for you Sheila, now please leave me alone. Theo drives away leaving Sheila standing alone. She watches his car recede with a thoughtful expression, then turns on her heel.",0,0,100,45711,45690,21,11.398038864135742
21,"Person1: See, you didn't believe me!.. Now I suppose you don't think I have the courage!
Person2: Oh.  sure -- if it would make a good scene.
Person1: You don't care.  do you?  But hundreds of thousands of people will carel
Person2: Wake up, Norma.  You'd be killing yourself to an empty house.  The audience left twenty years ago. Now face it.",1,0,100,47868,47846,22,11.7552969455719
22,"Person1: Snap out of it!
Person2: I can't!
Person1: Alright. Then I must never see you again. The bad blood will have to stay there between you and Johnny for all time. You won't come to the wedding.
Person2: I'll come to the wedding.
Person1: I'm telling you you can't.
Person2: But he wants me to come!
Person1: But that's cause he don't know!
Person2: Alright. I will not come. Provided one thing.
Person1: What?
Person2: That you come with me tonight. Once. To the Opera.
Person1: What are you talking about?
Person2: I love two things. I love you, and I love the Opera. If I can have the two things that I love together for one night, I will be satisfied to give up the rest of my life.
Person1: Alright.
Person2: Alright. Meet me at the Met.
Person1: Alright. Where's the Met?",0,1,100,50144,50121,23,12.094449996948242
