sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,unrelated,300,346,345,1,0.483151912689209
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,716,714,2,9.803314924240112
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,1068,1065,3,19.12508988380432
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,unrelated,300,1427,1423,4,19.530902862548828
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,1779,1774,5,28.943984746932983
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,unrelated,300,2132,2126,6,29.6590416431427
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,2493,2486,7,48.089316844940186
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,2848,2840,8,48.49639391899109
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,300,3202,3193,9,58.01706004142761
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,3559,3549,10,70.40787506103516
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,3913,3902,11,71.2248899936676
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,4273,4261,12,89.4545567035675
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,4625,4612,13,90.36452555656433
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,4978,4964,14,99.61222958564758
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,5333,5318,15,109.1056535243988
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,5689,5673,16,127.32994771003723
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,6045,6028,17,127.83834552764893
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,6396,6378,18,137.1548092365265
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,6755,6736,19,149.54662823677063
19,Most of the ghanaians are email.,unrelated,stereotype,300,7105,7085,20,158.85325622558594
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,7460,7439,21,168.27671122550964
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,7817,7795,22,168.77283906936646
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,8172,8149,23,178.10065913200378
