profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,219,0.6621004566210046,145,183.2648401826484,1.0,184.2648401826484,40135.0,219.0,40354.0,,,359.3200178420974,-1.8250000000000002,0.20973432959734328,0.07605274283161123,219.0,0.00031275008231086037
profile2,219,0.6255707762557078,137,186.2648401826484,1.0,187.2648401826484,40792.0,219.0,41011.0,,,334.0567164906976,2.19,0.16331119413311193,0.1121997351237525,219.0,-0.0003262132712943377
profile3,219,0.6438356164383562,141,184.2648401826484,1.0,185.2648401826484,40354.0,219.0,40573.0,,,347.52175091809823,-4.38,0.1942599511092662,0.09924444150582747,219.0,-2.282641378806432e-05
profile4,219,0.6255707762557078,137,185.2648401826484,1.0,186.2648401826484,40573.0,219.0,40792.0,,,335.8501666993528,3.285,0.18885199022185323,0.12327564961801318,219.0,-0.0003097702655938399
profile5,219,0.6118721461187214,134,185.82191780821918,1.0,186.82191780821918,40695.0,219.0,40914.0,,,327.5162536051229,1.0700000000000003,0.12770398044370646,0.11032035600008815,219.0,-0.0004974616075393971
profile6,219,0.6118721461187214,134,183.2648401826484,1.0,184.2648401826484,40135.0,219.0,40354.0,,,332.06125786786936,2.1899999999999946,0.15324477653244778,0.1289137869890062,219.0,-0.0005675678406249357
profile7,219,0.6301369863013698,138,186.2648401826484,1.0,187.2648401826484,40792.0,219.0,41011.0,,,336.49508668406037,4.379999999999947,0.16331119413311193,0.10572208831478999,219.0,-0.00025703160534311533
profile8,219,0.6255707762557078,137,184.2648401826484,1.0,185.2648401826484,40354.0,219.0,40573.0,,,337.6629778424075,4.38,0.17878557262118905,0.12055676105637937,219.0,-0.00033642621789499824
profile9,219,0.6301369863013698,138,185.2648401826484,1.0,186.2648401826484,40573.0,219.0,40792.0,,,338.301627770151,6.56999999999992,0.1733776117337761,0.11407911424741683,219.0,-0.00029410068323866453
profile10,219,0.6255707762557078,137,186.2648401826484,1.0,187.2648401826484,40792.0,219.0,41011.0,,,334.0567164906976,2.19,0.15790323324569902,0.11032035600008815,219.0,-0.00033502006406160596
