factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,white,black,0.23575205904905908,1.2658604126199964,0.0659593466187876,12.77492323636236,218.0,0.00043249136476213946,0.006487370471432092
ethnicity,black,latine,-0.1882478601929986,0.8284093520821594,0.064047993971312,8.638712740191776,218.0,0.003645229877711501,0.020641913731398454
ethnicity,black,indian,-0.1882478601929981,0.8284093520821598,0.06493927614438462,8.403209862881253,218.0,0.004128382746279691,0.020641913731398454
ethnicity,white,middle_eastern,0.13190757630023303,1.1410028586881371,0.06664600925031733,3.9173392413267196,218.0,0.049048936086281615,0.18393351032355607
ethnicity,white,asian,0.1255788253438268,1.1338045379707467,0.06750969061563666,3.4601951841722816,218.0,0.06420975131751086,0.19262925395253258
ethnicity,asian,black,0.11017323370523227,1.1164714641957596,0.06254755696248936,3.1026407390155097,218.0,0.07956722386472691,0.19891805966181725
ethnicity,black,middle_eastern,-0.10384448274882604,0.9013654644010574,0.07019748478190364,2.188385115066271,218.0,0.14049860261055913,0.30106843416548384
ethnicity,asian,indian,-0.07807462648776584,0.9248954022726295,0.056675484602822124,1.8977078145030049,218.0,0.16974770580998572,0.3182769483937232
ethnicity,asian,latine,-0.07807462648776634,0.924895402272629,0.06076314839216702,1.6509704256683473,218.0,0.2001904384856222,0.31988508542328614
ethnicity,latine,middle_eastern,0.08440337744417256,1.0880677072699951,0.06761413987673458,1.558276766629009,218.0,0.21325672361552409,0.31988508542328614
ethnicity,indian,middle_eastern,0.08440337744417206,1.0880677072699947,0.07716930537062873,1.1962734631868424,218.0,0.2752748391710636,0.37537478068781405
ethnicity,white,latine,0.04750419885606046,1.0486506042449861,0.05983873366497706,0.6302301967645549,218.0,0.42813416922779135,0.5351677115347392
ethnicity,white,indian,0.047504198856060977,1.0486506042449866,0.06670539073848238,0.5071566582749869,218.0,0.4771337650187638,0.5505389596370351
ethnicity,asian,middle_eastern,0.006328750956406226,1.0063488198153394,0.06918262977135493,0.008368389372154271,218.0,0.927196073273854,0.9934243642219864
ethnicity,indian,latine,-5.134781488891349e-16,0.9999999999999994,0.05357118886297791,9.187161797192653e-29,218.0,1.0,1.0
