profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,579,0.6580310880829016,381,238.2642487046632,1.0,239.2642487046632,137955.0,579.0,138534.0,,,275.0227381003942,-2.894999999999996,0.19130739726594648,0.07971308884165836,579.0,0.00013324690067667601
profile2,579,0.6442141623488774,373,241.2642487046632,1.0,242.2642487046632,139692.0,579.0,140271.0,,,265.9138382131731,-5.789999999999917,0.1689656054941029,0.09072816617070394,579.0,-5.155827537117142e-05
profile3,579,0.6493955094991365,376,239.2642487046632,1.0,240.2642487046632,138534.0,579.0,139113.0,,,270.28386994745284,-4.631999999999963,0.18530255965489126,0.09128081096021332,579.0,1.1408013257244247e-05
profile4,579,0.6407599309153713,371,240.2642487046632,1.0,241.2642487046632,139113.0,579.0,139692.0,,,265.5842854279415,,0.18803984348025796,0.10559211656955034,579.0,-9.592962812809562e-05
profile5,579,0.6321243523316062,366,241.09153713298792,1.0,242.09153713298792,139592.0,579.0,140171.0,,,261.10964464832244,2.515999999999986,0.14578019370765483,0.09542393604035196,579.0,-0.00018615966054316103
profile6,579,0.6217616580310881,360,238.2642487046632,1.0,239.2642487046632,137955.0,579.0,138534.0,,,259.86400450430943,2.6318181818181827,0.1557443707702775,0.11849171207321536,579.0,-0.00033953695053050314
profile7,579,0.6355785837651122,368,241.2642487046632,1.0,242.2642487046632,139692.0,579.0,140271.0,,,262.3493095507981,3.859999999999986,0.1587927041294917,0.09904510755448942,579.0,-0.00016220928671730476
profile8,579,0.6355785837651122,368,239.2642487046632,1.0,240.2642487046632,138534.0,579.0,139113.0,,,264.53314931027296,7.719999999999972,0.17481860875643257,0.10735946113257651,579.0,-0.00016606845888988907
profile9,579,0.6390328151986183,370,240.2642487046632,1.0,241.2642487046632,139113.0,579.0,139692.0,,,264.86842482031904,17.37000000000031,0.17277311059694478,0.10211363427911752,579.0,-0.00013037222933014815
profile10,579,0.6390328151986183,370,241.2642487046632,1.0,242.2642487046632,139692.0,579.0,140271.0,,,263.77512101574814,11.580000000000206,0.15226809268260044,0.09006352338099811,579.0,-0.00011499407869032203
profile11,579,0.6528497409326425,378,238.2642487046632,1.0,239.2642487046632,137955.0,579.0,138534.0,,,272.8572047295249,-4.1357142857142835,0.15339520391333863,0.06931126823696186,579.0,6.174205933143657e-05
profile12,579,0.6649395509499136,385,241.2642487046632,1.0,242.2642487046632,139692.0,579.0,140271.0,,,274.46870700287303,-0.8271428571428567,0.201773471203523,0.07629633623563727,579.0,0.00020300477266129045
