factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,black,indian,-0.04011990977141331,0.960674238017307,0.028997203084514124,1.9142897541944386,749.0,0.16689972492879065,0.8373906061028304
ethnicity,white,indian,-0.034820204810542474,0.9657790430744893,0.030500145093719913,1.3033433243728891,749.0,0.25396827859663385,0.8373906061028304
ethnicity,asian,black,0.029975421298284385,1.030429207030148,0.028310893212168498,1.1210460382040977,749.0,0.2900346590237991,0.8373906061028304
ethnicity,white,asian,-0.02467571633741355,0.9756262403860492,0.027189173919345944,0.8236591222875157,749.0,0.36440438616496706,0.8373906061028304
ethnicity,indian,latine,0.027863386676570567,1.028255201465316,0.03322831359335456,0.7031552163773491,749.0,0.4019930466995377,0.8373906061028304
ethnicity,black,middle_eastern,-0.021492183874502854,0.9787371273714675,0.03608936409931982,0.3546521813464799,749.0,0.5516712778369117,0.8373906061028304
ethnicity,asian,latine,0.017718898203441642,1.0178768091708854,0.03112276665968644,0.3241283607822427,749.0,0.5693078399078664,0.8373906061028304
ethnicity,indian,middle_eastern,0.018627725896910457,1.018802304297698,0.03323065223145749,0.3142258767263423,749.0,0.5752661553940372,0.8373906061028304
ethnicity,white,middle_eastern,-0.016192478913632017,0.9839379145267152,0.030740638733153858,0.2774603349202873,749.0,0.5985266119522021,0.8373906061028304
ethnicity,black,latine,-0.012256523094842743,0.987818282155025,0.03024480506056537,0.16422262752763067,749.0,0.6854139502809464,0.8373906061028304
ethnicity,asian,indian,-0.010144488473128925,0.9899067932944654,0.029311255841597963,0.1197819705974377,749.0,0.7293682738930168,0.8373906061028304
ethnicity,latine,middle_eastern,-0.00923566077966011,0.9908068569415965,0.033898317812480774,0.07423003274761601,749.0,0.785349669445647,0.8373906061028304
ethnicity,asian,middle_eastern,0.008483237423781532,1.0085193220483462,0.03453101665105301,0.060353785370465846,749.0,0.8060049403668648,0.8373906061028304
ethnicity,white,latine,-0.0069568181339719065,0.993067324507539,0.02856947376920924,0.059294828621541264,749.0,0.8076806602074312,0.8373906061028304
ethnicity,white,black,0.005299704960870837,1.0053137732388013,0.0258139720617292,0.042149624899925284,749.0,0.8373906061028304,0.8373906061028304
