sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,stereotype,100,440,439,1,5.811527967453003
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,100,904,902,2,6.512894630432129
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,100,1350,1347,3,7.2469236850738525
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,unrelated,100,1803,1799,4,7.984997510910034
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,100,2249,2244,5,8.763230323791504
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,unrelated,100,2696,2690,6,10.496706485748291
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,100,3151,3144,7,11.742611646652222
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,100,3600,3592,8,12.281074047088623
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,100,4048,4039,9,12.993273973464966
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,100,4499,4489,10,13.504944086074829
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,100,4947,4936,11,14.117489099502563
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,100,5401,5389,12,14.935442209243774
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,100,5847,5834,13,15.548396348953247
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,100,6294,6280,14,16.125505208969116
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,100,6743,6728,15,16.875473260879517
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,100,7193,7177,16,17.38734722137451
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,100,7643,7626,17,17.998692274093628
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,100,8088,8070,18,18.70196557044983
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,100,8541,8522,19,19.13957166671753
19,Most of the ghanaians are email.,unrelated,stereotype,100,8985,8965,20,19.63263702392578
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,100,9434,9413,21,20.139885187149048
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,100,9885,9863,22,20.7537841796875
