factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,white,black,0.16404306347750286,1.1782650541908668,0.047245109154534067,12.055966393899928,359.0,0.0005792524602103642,0.008688786903155464
ethnicity,white,latine,0.14580471364437114,1.156970225488905,0.04519852873846891,10.406256633143563,359.0,0.0013712663476762865,0.010284497607572149
ethnicity,white,asian,0.11604969580714411,1.1230516817062792,0.041191672224373324,7.937233684471592,359.0,0.005110667865134836,0.021966518389276882
ethnicity,black,indian,-0.1335969352270335,0.8749426521021888,0.04819125934819421,7.685222393873054,359.0,0.005857738237140502,0.021966518389276882
ethnicity,white,middle_eastern,0.11604969580717206,1.1230516817063108,0.045075686767619645,6.628317576698844,359.0,0.0104370059288111,0.031311017786433304
ethnicity,indian,latine,0.11535858539390179,1.122275797136278,0.04698865643238003,6.027174828907988,359.0,0.014560920329501823,0.036402300823754556
ethnicity,indian,middle_eastern,0.0856035675567027,1.0893743793446258,0.04532612566105305,3.5668638466328337,359.0,0.059749465147528394,0.1192102130660885
ethnicity,asian,indian,-0.08560356755667475,0.9179580674566938,0.046001718155404464,3.462865497178289,359.0,0.06357878030191387,0.1192102130660885
ethnicity,asian,black,0.04799336767035875,1.0491636969019098,0.04508429549906331,1.1332138536143281,359.0,0.2878063183762382,0.4644270062041461
ethnicity,black,middle_eastern,-0.0479933676703308,0.9531401085959627,0.047169603541920534,1.0352327398788783,359.0,0.3096180041360974,0.4644270062041461
ethnicity,asian,latine,0.029755017837227032,1.0302021218926385,0.04364141228511245,0.46486070561425347,359.0,0.49580065174777477,0.5967913759827203
ethnicity,white,indian,0.030446128250469353,1.0309143513930863,0.045997590214678856,0.4381209141851782,359.0,0.5084554469591073,0.5967913759827203
ethnicity,latine,middle_eastern,-0.029755017837199083,0.9706833045178314,0.045898503955788324,0.4202651418237954,359.0,0.5172191925183576,0.5967913759827203
ethnicity,black,latine,-0.018238349833131717,0.9819269623365131,0.04392252064027589,0.172423545956211,359.0,0.6782149041311646,0.7266588258548192
ethnicity,asian,middle_eastern,2.7949864644938316e-14,1.000000000000028,0.04457008744920413,3.9325336335054654e-25,359.0,1.0,1.0
