profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,579,0.7115716753022453,412,303.34715025906735,233.42141623488774,536.7685664939551,175638.0,135151.0,310789.0,,,132.56582440176456,-15.13199999999996,0.3243638690189004,0.12726128405783307,579.0,0.00013011436448192389
profile2,579,0.6787564766839378,393,306.34715025906735,239.74265975820379,546.0898100172711,177375.0,138811.0,316186.0,,,124.29392825741812,1.5492857142857381,0.27635599560879087,0.18273445272628622,579.0,-0.00016318361597145203
profile3,579,0.7046632124352331,408,304.34715025906735,228.72711571675302,533.0742659758204,176217.0,132433.0,308650.0,,,132.18856309735946,-97.05000000000202,0.3040149030740795,0.14926213966777999,579.0,1.0299922710522664e-05
profile4,579,0.696027633851468,403,305.34715025906735,239.03108808290156,544.3782383419689,176796.0,138399.0,315195.0,,,127.85735814337157,7.9000000000001105,0.282375844620186,0.13545116011778147,579.0,2.1076383250675793e-05
profile5,579,0.7202072538860104,417,306.34715025906735,229.0880829015544,535.4352331606217,177375.0,132642.0,310017.0,,,134.5087527458172,-8.338000000000049,0.3258013840233639,0.10773205613177493,579.0,0.00020607024888613312
profile6,579,0.6753022452504318,391,303.34715025906735,228.2538860103627,531.6010362694301,175638.0,132159.0,307797.0,,,127.03177743772682,6.598750000000009,0.2893909411498721,0.17598561814042776,579.0,-0.000117720415991187
profile7,579,0.6424870466321243,372,306.34715025906735,230.05181347150258,536.3989637305699,177375.0,133200.0,310575.0,,,119.77783144168076,2.2228571428571553,0.23700992217490718,0.20984361982713806,579.0,-0.00034056239819867866
profile8,579,0.7012089810017271,406,304.34715025906735,227.8428324697755,532.1899827288428,176217.0,131921.0,308138.0,,,131.7591468757505,102.17000000000235,0.30533646125410513,0.13143882600430543,579.0,7.978130108309e-05
profile9,579,0.6493955094991365,376,305.34715025906735,226.04317789291883,531.3903281519862,176796.0,130879.0,307675.0,,,122.20687413667021,3.445161290322592,0.23644528819058408,0.19167661588414803,579.0,-0.0002764595736783789
profile10,579,0.6839378238341969,396,306.34715025906735,211.07599309153713,517.4231433506045,177375.0,122213.0,299588.0,,,132.181529300239,17.060909090909107,0.2609518015844713,0.1589591099930431,579.0,-0.00011009638655264911
profile11,579,0.689119170984456,399,303.34715025906735,231.13298791019,534.4801381692573,175638.0,133826.0,309464.0,,,128.93260605433912,11.113750000000064,0.27195371516342337,0.15113644345644237,579.0,-5.6726470422854125e-05
profile12,579,0.6493955094991365,376,306.34715025906735,228.31433506044905,534.6614853195164,177375.0,132194.0,309569.0,,,121.45919003517797,2.8341935483871135,0.22316677504842217,0.20313607139641737,579.0,-0.0003424697173296257
profile13,579,0.6614853195164075,383,304.34715025906735,224.64075993091538,528.9879101899827,176217.0,130067.0,306284.0,,,125.04734168288253,5.029583333333345,0.2691928938861036,0.1972519535637668,579.0,-0.0002368882366260985
profile14,579,0.6666666666666666,386,305.34715025906735,231.24870466321244,536.5958549222798,176796.0,133893.0,310689.0,,,124.23999562263225,3.6504761904761853,0.2706333223786182,0.18178839841256864,579.0,-0.00017320945287581645
profile15,579,0.6580310880829016,381,306.34715025906735,208.64421416234887,514.9913644214162,177375.0,120805.0,298180.0,,,127.77516936078881,7.7596153846154134,0.26320043166238966,0.18452494945490727,579.0,-0.00020553639256911603
profile16,579,0.6632124352331606,384,303.34715025906735,218.1917098445596,521.5388601036269,175638.0,126333.0,301971.0,,,127.16452904417977,7.123478260869589,0.25070506410839105,0.16889809548656232,579.0,-0.00016698875870424892
profile17,579,0.6804835924006909,394,306.34715025906735,223.35578583765113,529.7029360967185,177375.0,129323.0,306698.0,,,128.465135084024,8.966923076923097,0.2915195355200809,0.17644750305025333,579.0,-0.00011586771829639093
profile18,579,0.7046632124352331,408,304.34715025906735,225.25561312607945,529.6027633851468,176217.0,130423.0,306640.0,,,133.05504826506655,-117.15000000000249,0.3184902771076755,0.13353299953453726,579.0,9.709971622863939e-05
profile19,579,0.689119170984456,399,305.34715025906735,238.87046632124353,544.2176165803108,176796.0,138306.0,315102.0,,,126.62566407068188,4.066250000000059,0.28498574721645353,0.16184109180131043,579.0,-7.110471107003726e-05
profile20,579,0.6459412780656304,374,306.34715025906735,207.47668393782382,513.8238341968912,177375.0,120129.0,297504.0,,,125.71259546090135,6.3184848484848555,0.2915177874272502,0.21182536370207547,579.0,-0.0002571561130157091
profile21,579,0.6822107081174439,395,303.34715025906735,237.38341968911917,540.7305699481865,175638.0,137445.0,313083.0,,,126.16462727136255,4.39333333333338,0.2819580504336436,0.16957094139732642,579.0,-0.00010575291196591437
profile22,579,0.6787564766839378,393,306.34715025906735,230.3782383419689,536.7253886010362,177375.0,133389.0,310764.0,,,126.46252461675098,5.422142857142886,0.26862825990178046,0.16868145800803155,579.0,-0.00012806298635031617
profile23,579,0.7098445595854922,411,304.34715025906735,231.89637305699483,536.2435233160622,176217.0,134268.0,310485.0,,,132.3735446156819,-19.675,0.307731931129804,0.12860507950600095,579.0,9.421423275265286e-05
profile24,579,0.6683937823834197,387,305.34715025906735,233.29706390328153,538.6442141623488,176796.0,135079.0,311875.0,,,124.08817635270545,3.240000000000034,0.2650312675537655,0.1781331303320435,579.0,-0.0001693789531410859
profile25,579,0.6528497409326425,378,306.34715025906735,213.87737478411054,520.2245250431779,177375.0,123835.0,301210.0,,,125.4938415059261,5.912068965517251,0.24006850193105989,0.17690372412497582,579.0,-0.00021863434121921027
profile26,579,0.6511226252158895,377,303.34715025906735,226.6286701208981,529.9758203799654,175638.0,131218.0,306856.0,,,122.85893057329824,3.833000000000021,0.2809074466423798,0.20677291094204228,579.0,-0.0002502725032749793
profile27,579,0.6753022452504318,391,306.34715025906735,221.41796200345422,527.7651122625216,177375.0,128201.0,305576.0,,,127.9550750058905,7.986875000000024,0.2306258871571116,0.15766102978535027,579.0,-0.00016048080944664497
profile28,579,0.6701208981001727,388,304.34715025906735,217.8860103626943,522.2331606217616,176217.0,126156.0,302373.0,,,128.31833530110163,8.411578947368454,0.24324303851165047,0.17002016274726747,579.0,-0.0001853526246162525
profile29,579,0.696027633851468,403,305.34715025906735,233.4369602763385,538.7841105354058,176796.0,135160.0,311956.0,,,129.18488504789138,15.997500000000143,0.31181314519192893,0.15018210409822128,579.0,2.1249581737125156e-05
profile30,579,0.6511226252158895,377,306.34715025906735,206.720207253886,513.0673575129533,177375.0,119691.0,297066.0,,,126.90782519709425,7.096333333333354,0.26520724223205816,0.2025134203814219,579.0,-0.0002725170418335484
profile31,579,0.6925734024179621,401,304.34715025906735,234.35060449050087,538.6977547495683,176217.0,135689.0,311906.0,,,128.5643751643123,10.748333333333392,0.24740466484398851,0.1460814706269213,579.0,-8.308606452362419e-05
profile32,579,0.6580310880829016,381,307.34715025906735,233.32987910189982,540.6770293609671,177954.0,135098.0,313052.0,,,121.70502025222649,2.039615384615404,0.22981768557170792,0.191057146562235,579.0,-0.00028167759916259674
profile33,579,0.689119170984456,399,305.34715025906735,232.75129533678756,538.0984455958549,176796.0,134763.0,311559.0,,,128.06563122875605,8.49500000000009,0.27824218777313947,0.14771118860788346,579.0,-3.192759537449181e-05
profile34,579,0.6753022452504318,391,306.34715025906735,237.01381692573403,543.3609671848014,177375.0,137231.0,314606.0,,,124.28243580859869,2.3431249999999966,0.28007302366451536,0.17550653944546774,579.0,-0.0001305578786675945
profile35,579,0.6753022452504318,391,307.34715025906735,221.89119170984455,529.2383419689119,177954.0,128475.0,306429.0,,,127.5988891390828,7.453750000000044,0.23901673274457566,0.1595912428748407,579.0,-0.00015147381935115873
profile36,579,0.6753022452504318,391,304.34715025906735,229.45768566493956,533.804835924007,176217.0,132856.0,309073.0,,,126.50732998353139,5.801250000000003,0.27332655073315015,0.17310101512276,579.0,-0.00013652083047584917
profile37,579,0.6649395509499136,385,307.34715025906735,236.67012089810018,544.0172711571676,177954.0,137032.0,314986.0,,,122.22765456242499,1.5313636363636396,0.2949959094627761,0.18546080970827186,579.0,-0.0001395648887989671
profile38,579,0.689119170984456,399,305.34715025906735,224.9810017271157,530.328151986183,176796.0,130264.0,307060.0,,,129.94203087344493,14.118750000000103,0.24749556567118608,0.14706562940269413,579.0,-8.79374269677036e-05
profile39,579,0.6649395509499136,385,306.34715025906735,231.5250431778929,537.8721934369603,177375.0,134053.0,311428.0,,,123.62408004418356,3.1486363636363714,0.22730043189546872,0.1740629779018899,579.0,-0.00022463612245177735
profile40,579,0.6614853195164075,383,307.34715025906735,217.50777202072538,524.8549222797927,177954.0,125937.0,303891.0,,,126.03203122172094,6.026666666666673,0.25337207107046217,0.17839619524460024,579.0,-0.0001970455358778295
profile41,579,0.6822107081174439,395,305.34715025906735,235.97927461139898,541.3264248704663,176796.0,136632.0,313428.0,,,126.02575392115573,4.105833333333356,0.23967692913697825,0.14978436296377096,579.0,-0.00011063896761532588
profile42,579,0.6925734024179621,401,308.34715025906735,231.13816925734025,539.4853195164076,178533.0,133829.0,312362.0,,,128.37669114681043,9.988333333333467,0.2542991429683549,0.140271690629999,579.0,-4.8646807136788e-05
profile43,579,0.6839378238341969,396,306.34715025906735,226.26252158894647,532.6096718480138,177375.0,131006.0,308381.0,,,128.41258054160275,9.06727272727275,0.26146224469104207,0.15694113274443272,579.0,-9.842108314695048e-05
profile44,579,0.6528497409326425,378,307.34715025906735,238.97582037996546,546.3229706390327,177954.0,138367.0,316321.0,,,119.49886349625858,0.7013793103448487,0.2934057276844296,0.20505614099551106,579.0,-0.00021362190604960496
profile45,579,0.6787564766839378,393,308.34715025906735,221.6286701208981,529.9758203799654,178533.0,128323.0,306856.0,,,128.07310269311992,8.213571428571464,0.2536127251834915,0.16233859903117068,579.0,-0.00013409002853734025
profile46,579,0.6303972366148531,365,305.34715025906735,226.01381692573403,531.3609671848014,176796.0,130862.0,307658.0,,,118.63822816244009,2.5469047619047576,0.2473796088467482,0.22774318034219038,579.0,-0.00039164854908368783
profile47,579,0.6770293609671848,392,308.34715025906735,228.21934369602764,536.566493955095,178533.0,132139.0,310672.0,,,126.17809136323841,5.12200000000002,0.29364638179745894,0.17369828844803015,579.0,-0.00010017434130558975
profile48,579,0.6770293609671848,392,306.34715025906735,213.0259067357513,519.3730569948186,177375.0,123342.0,300717.0,,,130.35511793480248,11.7586666666667,0.2964072030747788,0.16639603733148342,579.0,-7.00553698313061e-05
profile49,579,0.6580310880829016,381,307.34715025906735,228.70293609671847,536.0500863557859,177954.0,132419.0,310373.0,,,122.75552319306125,3.0700000000000007,0.18993203415074156,0.1742313674279687,579.0,-0.00029573859745631346
profile50,579,0.6822107081174439,395,308.34715025906735,206.05354058721935,514.4006908462867,178533.0,119305.0,297838.0,,,132.62243232898422,17.097500000000053,0.29934108554234,0.16686811630166198,579.0,-6.686450402000319e-05
profile51,579,0.7115716753022453,412,303.34715025906735,234.85492227979276,538.2020725388601,175638.0,135981.0,311619.0,,,132.21273414008775,-13.471999999999964,0.27207258547591245,0.12245346767545638,579.0,5.0474815150471636e-05
profile52,579,0.6770293609671848,392,306.34715025906735,234.1951640759931,540.5423143350604,177375.0,135599.0,312974.0,,,125.25002076849833,3.5873333333333757,0.27159127724985377,0.169423551045592,579.0,-0.00012442286766034947
profile53,579,0.6994818652849741,405,304.34715025906735,228.04317789291883,532.3903281519862,176217.0,132037.0,308254.0,,,131.3851563969973,50.50500000000101,0.2864541451942597,0.13680257898685824,579.0,2.4134524128460715e-05
profile54,579,0.6822107081174439,395,305.34715025906735,238.78756476683938,544.1347150259068,176796.0,138258.0,315054.0,,,125.37533248268551,2.750833333333345,0.3049169189747319,0.17380248362877732,579.0,-7.845124948660981e-05
profile55,579,0.7063903281519862,409,306.34715025906735,218.86010362694302,525.2072538860103,177375.0,126720.0,304095.0,,,134.49744323320016,-71.29999999999917,0.31063784411207374,0.13353299953453726,579.0,8.296124000689437e-05
profile56,579,0.687392055267703,398,303.34715025906735,220.3229706390328,523.6701208981001,175638.0,127567.0,303205.0,,,131.26432611599415,16.833333333333467,0.3005688294071168,0.1568979375734455,579.0,-2.5258354853413534e-05
profile57,579,0.6390328151986183,370,306.34715025906735,222.65457685664938,529.0017271157167,177375.0,128917.0,306292.0,,,120.79975970642397,3.2602702702702895,0.26987931167096696,0.23532563958647193,579.0,-0.00037952989037795515
profile58,579,0.690846286701209,400,304.34715025906735,223.96373056994818,528.3108808290156,176217.0,129675.0,305892.0,,,130.76510663894445,17.804285714285722,0.2309883250706812,0.12856950775592263,579.0,-4.9498678505596705e-05
profile59,579,0.6632124352331606,384,305.34715025906735,230.50604490500862,535.8531951640759,176796.0,133463.0,310259.0,,,123.76756194018549,3.5200000000000258,0.24006558844300874,0.1783015198581223,579.0,-0.00021748018361176808
profile60,579,0.6666666666666666,386,306.34715025906735,204.85492227979276,511.2020725388601,177375.0,118611.0,295986.0,,,130.4115735203692,10.651904761904774,0.270482403697566,0.187962918433307,579.0,-0.00020626566055448168
