profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.732,366,239.102,153.608,392.71000000000004,119551.0,76804.0,196355.0,,,186.39708690891496,,0.1139076479076479,0.04006100097497563,500.0,8.603204898703023e-05
profile2,500,0.75,375,242.102,154.644,396.746,121051.0,77322.0,198373.0,,,189.03782268756333,1.617777777777764,0.1688975468975469,0.037600324991875204,500.0,0.00023616343180220218
profile3,500,0.734,367,240.102,153.594,393.696,120051.0,76797.0,196848.0,,,186.4382670893278,-0.6899999999998834,0.1086060606060606,0.03522957426064348,500.0,9.689433493043779e-05
profile4,500,0.744,372,241.102,157.41,398.512,120551.0,78705.0,199256.0,,,186.69450355321797,3.8983333333333277,0.1262251082251082,0.029511927201819957,500.0,0.00016863043978968838
profile5,500,0.726,363,242.102,153.82,395.922,121051.0,76910.0,197961.0,,,183.36945155864032,-3.480000000000034,0.0892092352092352,0.04013948651283718,500.0,2.255560990185148e-05
profile6,500,0.738,369,239.102,152.656,391.75800000000004,119551.0,76328.0,195879.0,,,188.3816029283384,-3.4599999999999387,0.13012987012987015,0.03720789730256744,500.0,0.000142215540013823
profile7,500,0.734,367,242.102,154.496,396.598,121051.0,77248.0,198299.0,,,185.07405483638345,13.820000000000038,0.12802020202020203,0.043239486512837176,500.0,0.00010474391952185255
profile8,500,0.744,372,240.102,153.124,393.226,120051.0,76562.0,196613.0,,,189.20417266406596,-0.5066666666666696,0.16115151515151516,0.0426001624959376,500.0,0.00019314895291674497
profile9,500,0.736,368,241.102,157.88,398.98199999999997,120551.0,78940.0,199491.0,,,184.4694748134001,12.869999999999909,0.1311948051948052,0.04013948651283718,500.0,0.0001276143589663966
profile10,500,0.74,370,242.102,153.838,395.94,121051.0,76919.0,197970.0,,,186.89700459665607,2.632499999999991,0.15445021645021642,0.04497091322716932,500.0,0.00016292466029165474
profile11,500,0.724,362,239.102,152.088,391.19,119551.0,76044.0,195595.0,,,185.07630563153452,3.3050000000000037,0.09768542568542567,0.04674335391615209,500.0,1.0733193213327235e-05
profile12,500,0.744,372,242.102,151.762,393.86400000000003,121051.0,75881.0,196932.0,,,188.8976905733959,0.02500000000002461,0.12695526695526696,0.02959041273968151,500.0,0.0001720757456276886
profile13,500,0.72,360,240.102,151.788,391.89,120051.0,75894.0,195945.0,,,183.72502487943046,1.6200000000000125,0.08038095238095239,0.04420419239519012,500.0,-2.0483891932501093e-05
