profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.71,355,345.894,1.0,346.894,172947.0,500.0,173447.0,,,204.67347374125814,87277.15599999993,0.0673142857142857,0.042714306231965427,500.0,-5.221862225822629e-05
profile2,500,0.714,357,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.061801574191,145456.92666666655,0.0630948717948718,0.03313994611932958,500.0,-9.102815263443645e-06
profile3,500,0.7,350,346.894,1.0,347.894,173447.0,500.0,173947.0,,,201.210713608168,43638.077999999965,0.06790952380952381,0.055276615005636145,500.0,-0.00012257672222501246
profile4,500,0.722,361,347.894,1.0,348.894,173947.0,500.0,174447.0,,,206.93964355936185,-436375.7799999996,0.09865604395604397,0.03640310401406643,500.0,7.40908010109406e-05
profile5,500,0.714,357,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.061801574191,145456.92666666655,0.0630948717948718,0.03338339274134232,500.0,-1.0494360257143116e-05
profile6,500,0.706,353,345.894,1.0,346.894,172947.0,500.0,173447.0,,,203.52038374834964,62340.82571428566,0.04037582417582418,0.03686166420765385,500.0,-9.613168356755527e-05
profile7,500,0.714,357,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.061801574191,145456.92666666655,0.07342820512820514,0.03874914152162843,500.0,-1.1632316973288254e-05
profile8,500,0.712,356,346.894,1.0,347.894,173447.0,500.0,173947.0,,,204.6600401271652,109095.1949999999,0.0630948717948718,0.03734855745167931,500.0,-3.334993736162973e-05
profile9,500,0.706,353,347.894,1.0,348.894,173947.0,500.0,174447.0,,,202.35372348048404,62339.39714285709,0.056123443223443224,0.0424708596099527,500.0,-8.259894408176173e-05
profile10,500,0.712,356,348.894,1.0,349.894,174447.0,500.0,174947.0,,,203.49019988910928,109092.6949999999,0.06129010989010989,0.036646550636079155,500.0,-3.430465050000405e-05
profile11,500,0.702,351,345.894,1.0,346.894,172947.0,500.0,173447.0,,,202.3672937554411,48487.308888888845,0.04976190476190476,0.047134601574638654,500.0,-0.0001283023009546794
profile12,500,0.712,356,348.894,1.0,349.894,174447.0,500.0,174947.0,,,203.49019988910928,109092.6949999999,0.058538095238095236,0.03591621077004095,500.0,-3.799529658121222e-05
profile13,500,0.704,352,346.894,1.0,347.894,173447.0,500.0,173947.0,,,202.36048911450035,54547.59749999995,0.0469952380952381,0.04060828578516497,500.0,-9.83671275592331e-05
profile14,500,0.712,356,347.894,1.0,348.894,173947.0,500.0,174447.0,,,204.07344351006324,109093.9449999999,0.06826153846153847,0.037803688084015546,500.0,-2.105464039648897e-05
profile15,500,0.712,356,348.894,1.0,349.894,174447.0,500.0,174947.0,,,203.49019988910928,109092.6949999999,0.06550952380952381,0.03899258814364116,500.0,-3.5655519893906486e-05
profile16,500,0.702,351,345.894,1.0,346.894,172947.0,500.0,173447.0,,,202.3672937554411,48487.308888888845,0.042790476190476184,0.04362799705788908,500.0,-0.00012818185937289768
profile17,500,0.71,355,348.894,1.0,349.894,174447.0,500.0,174947.0,,,202.9185982040275,87274.15599999993,0.05035714285714286,0.03545765057645354,500.0,-5.875538962018274e-05
profile18,500,0.708,354,346.894,1.0,347.894,173447.0,500.0,173947.0,,,203.51026462083277,72730.12999999993,0.06826153846153847,0.04433000387348923,500.0,-5.863415087768111e-05
profile19,500,0.71,355,347.894,1.0,348.894,173947.0,500.0,174447.0,,,203.5002035002035,87275.15599999993,0.06801831501831501,0.0424708596099527,500.0,-4.850586195689919e-05
profile20,500,0.712,356,348.894,1.0,349.894,174447.0,500.0,174947.0,,,203.49019988910928,109092.6949999999,0.0661047619047619,0.03872080847119038,500.0,-3.240082721515333e-05
profile21,500,0.706,353,345.894,1.0,346.894,172947.0,500.0,173447.0,,,203.52038374834964,62340.82571428566,0.04433736263736263,0.035944543820479014,500.0,-7.942404597253165e-05
profile22,500,0.716,358,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.6334032592728,218185.3899999998,0.07127142857142857,0.035944543820479014,500.0,-1.7652748247453748e-06
profile23,500,0.712,356,346.894,1.0,347.894,173447.0,500.0,173947.0,,,204.6600401271652,109095.1949999999,0.0637047619047619,0.03826224827760297,500.0,-3.684954224690288e-05
profile24,500,0.71,355,347.894,1.0,348.894,173947.0,500.0,174447.0,,,203.5002035002035,87275.15599999993,0.08436117216117216,0.047134601574638654,500.0,-2.8398398906559445e-05
profile25,500,0.704,352,348.894,1.0,349.894,174447.0,500.0,174947.0,,,201.20379314878218,54546.34749999995,0.05156666666666666,0.04362799705788908,500.0,-0.00010200039854673556
profile26,500,0.704,352,345.894,1.0,346.894,172947.0,500.0,173447.0,,,202.94383875189536,54548.22249999995,0.059485347985347985,0.04759316176822607,500.0,-0.00010291609411262274
profile27,500,0.708,354,348.894,1.0,349.894,174447.0,500.0,174947.0,,,202.34699651894573,72728.46333333327,0.07307619047619046,0.0464325947590385,500.0,-5.655712599211915e-05
profile28,500,0.71,355,346.894,1.0,347.894,173447.0,500.0,173947.0,,,204.08515237399897,87276.15599999993,0.0661047619047619,0.04155373922277786,500.0,-4.887326754929321e-05
profile29,500,0.712,356,347.894,1.0,348.894,173947.0,500.0,174447.0,,,204.07344351006324,109093.9449999999,0.07643809523809524,0.04503201068908937,500.0,-3.9054630174447e-05
profile30,500,0.71,355,348.894,1.0,349.894,174447.0,500.0,174947.0,,,202.9185982040275,87274.15599999993,0.06826153846153847,0.04222741298793996,500.0,-4.628055215105559e-05
profile31,500,0.71,355,346.894,1.0,347.894,173447.0,500.0,173947.0,,,204.08515237399897,87276.15599999993,0.07703772893772892,0.04457345049550196,500.0,-3.4807073572050674e-05
profile32,500,0.724,362,349.894,1.0,350.894,174947.0,500.0,175447.0,,,206.33011678740584,-218182.8899999998,0.11224688644688645,0.03920770171521585,500.0,9.641510831320783e-05
profile33,500,0.712,356,347.894,1.0,348.894,173947.0,500.0,174447.0,,,204.07344351006324,109093.9449999999,0.06826153846153847,0.03920770171521585,500.0,-2.9103008274413512e-05
profile34,500,0.714,357,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.061801574191,145456.92666666655,0.09133260073260073,0.04506034373952744,500.0,3.4636582894986654e-06
profile35,500,0.718,359,349.894,1.0,350.894,174947.0,500.0,175447.0,,,204.62019869248263,436365.7799999996,0.08220439560439559,0.03710511082966657,500.0,2.2782304471043826e-05
profile36,500,0.712,356,346.894,1.0,347.894,173447.0,500.0,173947.0,,,204.6600401271652,109095.1949999999,0.05792820512820514,0.03454395975052989,500.0,-3.207791560893444e-05
profile37,500,0.71,355,349.894,1.0,350.894,174947.0,500.0,175447.0,,,202.34030789925163,87273.15599999993,0.07041831501831501,0.042255746038378006,500.0,-4.0163630778642557e-05
profile38,500,0.708,354,347.894,1.0,348.894,173947.0,500.0,174447.0,,,202.92696349034375,72729.2966666666,0.0803996336996337,0.051099766284975645,500.0,-6.248287121680968e-05
profile39,500,0.714,357,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.061801574191,145456.92666666655,0.09649926739926738,0.048080055012251544,500.0,9.693146346158998e-07
profile40,500,0.72,360,349.894,1.0,350.894,174947.0,500.0,175447.0,,,205.19017139079037,,0.10527545787545788,0.04317286642555284,500.0,5.394713225176889e-05
profile41,500,0.716,358,347.894,1.0,348.894,173947.0,500.0,174447.0,,,205.21992352978265,218187.8899999998,0.060938095238095236,0.030578795040192893,500.0,-6.291161277939731e-07
profile42,500,0.704,352,350.894,1.0,351.894,175447.0,500.0,175947.0,,,200.06024541481239,54545.09749999995,0.052161904761904763,0.045275457311102114,500.0,-0.00010909253883356768
profile43,500,0.72,360,346.894,1.0,347.894,173447.0,500.0,173947.0,,,206.95959113982994,,0.11982820512820512,0.049452306031762615,500.0,6.014358702558794e-05
profile44,500,0.716,358,347.894,1.0,348.894,173947.0,500.0,174447.0,,,205.21992352978265,218187.8899999998,0.10612857142857143,0.048993745838175194,500.0,2.3333963187160125e-05
profile45,500,0.718,359,348.894,1.0,349.894,174447.0,500.0,174947.0,,,205.20500494435456,436370.7799999996,0.0971091575091575,0.04362799705788908,500.0,2.8160423995208095e-05
profile46,500,0.724,362,345.894,1.0,346.894,172947.0,500.0,173447.0,,,208.70928871643784,-218192.8899999998,0.11466153846153845,0.04106684597875239,500.0,9.376883573666214e-05
profile47,500,0.718,359,348.894,1.0,349.894,174447.0,500.0,174947.0,,,205.20500494435456,436370.7799999996,0.1150135531135531,0.048993745838175194,500.0,4.8660627039053864e-05
profile48,500,0.724,362,346.894,1.0,347.894,173447.0,500.0,173947.0,,,208.1093666461623,-218190.3899999998,0.12198498168498169,0.04362799705788908,500.0,9.982634816698056e-05
profile49,500,0.714,357,347.894,1.0,348.894,173947.0,500.0,174447.0,,,204.64668351992293,145458.5933333332,0.08497106227106227,0.04338455043587635,500.0,-5.1535383259397685e-06
profile50,500,0.716,358,348.894,1.0,349.894,174447.0,500.0,174947.0,,,204.6334032592728,218185.3899999998,0.11285677655677655,0.052958910548512185,500.0,1.983159316750838e-05
profile51,500,0.714,357,343.894,1.0,344.894,171947.0,500.0,172447.0,,,207.02012792336194,145465.25999999986,0.0989139194139194,0.04969575265377534,500.0,-1.3847323920720067e-06
profile52,500,0.724,362,346.894,1.0,347.894,173447.0,500.0,173947.0,,,208.1093666461623,-218190.3899999998,0.10828534798534799,0.038505694899615694,500.0,8.98950777711504e-05
profile53,500,0.712,356,344.894,1.0,345.894,172447.0,500.0,172947.0,,,205.84340867433377,109097.6949999999,0.08701904761904761,0.046189148137025765,500.0,-1.5493904649990815e-05
profile54,500,0.718,359,345.894,1.0,346.894,172947.0,500.0,173447.0,,,206.97965372707512,436385.7799999996,0.09856190476190475,0.04435833692392728,500.0,2.838109311216162e-05
profile55,500,0.72,360,346.894,1.0,347.894,173447.0,500.0,173947.0,,,206.95959113982994,,0.10252344322344323,0.041310292600765124,500.0,5.72095466490166e-05
profile56,500,0.72,360,343.894,1.0,344.894,171947.0,500.0,172447.0,,,208.7597928638944,,0.10432820512820512,0.04176885279435254,500.0,6.0280838575040576e-05
profile57,500,0.726,363,346.894,1.0,347.894,173447.0,500.0,173947.0,,,208.6842543993285,-145460.25999999986,0.11285677655677655,0.038964255093203115,500.0,0.00010039916287826267
profile58,500,0.71,355,344.894,1.0,345.894,172447.0,500.0,172947.0,,,205.26519685221484,87278.15599999993,0.09098058608058608,0.049452306031762615,500.0,-2.2908827510564356e-05
profile59,500,0.722,361,345.894,1.0,346.894,172947.0,500.0,173447.0,,,208.13274371998364,-436385.7799999996,0.1261897435897436,0.04759316176822607,500.0,8.93743335234725e-05
profile60,500,0.724,362,346.894,1.0,347.894,173447.0,500.0,173947.0,,,208.1093666461623,-218190.3899999998,0.10984688644688645,0.03920770171521585,500.0,9.034787325005534e-05
