profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.66,330,338.386,1.0,339.386,169193.0,500.0,169693.0,,,194.46883489595913,4.999999999999996,0.16968545457918266,0.09586056552343766,1000.0,-6.492806558812876e-05
profile2,500,0.682,341,341.386,1.0,342.386,170693.0,500.0,171193.0,,,199.1903874574311,0.0,0.21307229858830948,0.0871048717836129,1000.0,0.00011350509372779167
profile3,500,0.672,336,339.386,1.0,340.386,169693.0,500.0,170193.0,,,197.42292573725123,-3.3333333333333304,0.1814005861947428,0.0872875640913052,1000.0,2.0052111462082494e-05
profile4,500,0.668,334,340.386,1.0,341.386,170193.0,500.0,170693.0,,,195.6729332778731,-4.999999999999996,0.17948783645908695,0.0899125640913052,1000.0,-9.880068998829855e-07
profile5,500,0.696,348,341.386,1.0,342.386,170693.0,500.0,171193.0,,,203.2793396926276,0.0,0.2406504498488137,0.07508267322385176,1000.0,0.00026427804700282774
profile6,500,0.664,332,338.386,1.0,339.386,169193.0,500.0,169693.0,,,195.64743389532862,14.999999999999988,0.16876949190272134,0.08930278627169529,1000.0,-2.898198700202494e-05
profile7,500,0.676,338,341.386,1.0,342.386,170693.0,500.0,171193.0,,,197.43797935663258,0.0,0.1862005861947428,0.08397804307703684,1000.0,5.328634944381234e-05
profile8,500,0.654,327,339.386,1.0,340.386,169693.0,500.0,170193.0,,,192.13481165500343,1.6666666666666652,0.15796710631272376,0.09890887283464496,1000.0,-0.00011707484842668664
profile9,500,0.666,333,340.386,1.0,341.386,170193.0,500.0,170693.0,,,195.0870861722508,,0.19107775520804346,0.10011023096513569,1000.0,-2.6781141353857266e-05
profile10,500,0.67,335,341.386,1.0,342.386,170693.0,500.0,171193.0,,,195.68557125583405,0.0,0.20220324633164524,0.096661033837507,1000.0,2.5939082370865744e-05
profile11,500,0.658,329,338.386,1.0,339.386,169193.0,500.0,169693.0,,,193.87953539627443,3.749999999999997,0.17481332758268872,0.10274709537191536,1000.0,-9.040108655378239e-05
profile12,500,0.664,332,341.386,1.0,342.386,170693.0,500.0,171193.0,,,193.93316315503557,-0.0,0.20704582521750423,0.10917481270814897,1000.0,-3.301478506362324e-05
profile13,500,0.68,340,339.386,1.0,340.386,169693.0,500.0,170193.0,,,199.77319866269468,-1.4285714285714273,0.20165591017864098,0.08429879548700504,1000.0,9.712009073413976e-05
profile14,500,0.658,329,340.386,1.0,341.386,170193.0,500.0,170693.0,,,192.74369774976125,1.249999999999999,0.1908512818372382,0.10881448882150929,1000.0,-7.843817791526417e-05
profile15,500,0.678,339,341.386,1.0,342.386,170693.0,500.0,171193.0,,,198.0221153902321,0.0,0.19565324633164521,0.08414725496686505,1000.0,7.990611881886266e-05
profile16,500,0.672,336,338.386,1.0,339.386,169193.0,500.0,169693.0,,,198.00463189406753,-4.999999999999996,0.17723055540096835,0.0839764270659524,1000.0,2.7336723580417423e-05
profile17,500,0.672,336,341.386,1.0,342.386,170693.0,500.0,171193.0,,,196.26970728943354,0.0,0.1833666917097965,0.0867841193736447,1000.0,2.8618147244651028e-05
profile18,500,0.664,332,339.386,1.0,340.386,169693.0,500.0,170193.0,,,195.07265281180779,9.999999999999991,0.184086158569388,0.0987656656478383,1000.0,-3.949978179563375e-05
profile19,500,0.658,329,340.386,1.0,341.386,170193.0,500.0,170693.0,,,192.74369774976125,1.249999999999999,0.17531332758268872,0.10257788348208714,1000.0,-8.741553368177243e-05
profile20,500,0.682,341,341.386,1.0,342.386,170693.0,500.0,171193.0,,,199.1903874574311,0.0,0.2179468074647077,0.09072489681215422,1000.0,0.00010659610451478527
profile21,500,0.664,332,338.386,1.0,339.386,169193.0,500.0,169693.0,,,195.64743389532862,14.999999999999988,0.16549988220453743,0.09024679691913749,1000.0,-4.417893382089289e-05
profile22,500,0.68,340,341.386,1.0,342.386,170693.0,500.0,171193.0,,,198.60625142383157,0.0,0.21470885321015823,0.09023331650127338,1000.0,0.00010001057346857486
profile23,500,0.672,336,339.386,1.0,340.386,169693.0,500.0,170193.0,,,197.42292573725123,-3.3333333333333304,0.1773864368263862,0.08117035076934453,1000.0,4.420198036257989e-05
profile24,500,0.668,334,340.386,1.0,341.386,170193.0,500.0,170693.0,,,195.6729332778731,-4.999999999999996,0.19553923980188104,0.09698178624747518,1000.0,4.6155006559456975e-06
profile25,500,0.674,337,341.386,1.0,342.386,170693.0,500.0,171193.0,,,196.85384332303306,0.0,0.19720324633164524,0.08921111960502862,1000.0,5.4853315035042336e-05
profile26,500,0.67,335,338.386,1.0,339.386,169193.0,500.0,169693.0,,,197.41533239438277,-7.499999999999994,0.16898993729942308,0.08000602749518919,1000.0,2.6453307764741913e-05
profile27,500,0.674,337,341.386,1.0,342.386,170693.0,500.0,171193.0,,,196.85384332303306,0.0,0.1944799979594487,0.0871048717836129,1000.0,5.9202930003630137e-05
profile28,500,0.682,341,339.386,1.0,340.386,169693.0,500.0,170193.0,,,200.3607668940556,-1.249999999999999,0.20877467768564378,0.0860743415540348,1000.0,0.00010760135427888978
profile29,500,0.66,330,340.386,1.0,341.386,170193.0,500.0,170693.0,,,193.32954485538363,1.6666666666666652,0.1727721520396238,0.09928022687459845,1000.0,-7.554000957734971e-05
profile30,500,0.67,335,341.386,1.0,342.386,170693.0,500.0,171193.0,,,195.68557125583405,0.0,0.2159552108260523,0.10533659017087857,1000.0,1.5427121682239205e-05
profile31,500,0.666,333,339.386,1.0,340.386,169693.0,500.0,170193.0,,,195.66022104316866,,0.19324540412191368,0.09944943876442665,1000.0,-1.6609006853806012e-05
profile32,500,0.67,335,342.386,1.0,343.386,171193.0,500.0,171693.0,,,195.11570069833948,2.499999999999998,0.19907873745524698,0.09649020593659437,1000.0,1.7759389089998573e-05
profile33,500,0.674,337,340.386,1.0,341.386,170193.0,500.0,170693.0,,,197.43047459474028,-1.249999999999999,0.198228737455247,0.08969275057149168,1000.0,5.519627727049042e-05
profile34,500,0.66,330,341.386,1.0,342.386,170693.0,500.0,171193.0,,,192.7648910878365,-0.0,0.19357047414992487,0.11096138892849257,1000.0,-8.280801115425357e-05
profile35,500,0.662,331,342.386,1.0,343.386,171193.0,500.0,171693.0,,,192.78596098850855,-2.499999999999998,0.16871206707848702,0.09632099404676617,1000.0,-6.968810905233562e-05
profile36,500,0.658,329,339.386,1.0,340.386,169693.0,500.0,170193.0,,,193.30994811772516,2.499999999999998,0.18559820431483853,0.10712988371347106,1000.0,-8.420311972908279e-05
profile37,500,0.664,332,342.386,1.0,343.386,171193.0,500.0,171693.0,,,193.3683959159663,-4.999999999999996,0.18345324633164523,0.09944943876442665,1000.0,-4.498037542942365e-05
profile38,500,0.67,335,340.386,1.0,341.386,170193.0,500.0,170693.0,,,196.25878038349552,-2.499999999999998,0.17343881870629047,0.08348646276615602,1000.0,1.8940124006193618e-05
profile39,500,0.67,335,341.386,1.0,342.386,170693.0,500.0,171193.0,,,195.68557125583405,0.0,0.17502271319123675,0.08691537579788586,1000.0,3.481338592889399e-06
profile40,500,0.652,326,342.386,1.0,343.386,171193.0,500.0,171693.0,,,189.8737863512199,-0.7142857142857136,0.17392411282393752,0.11127944451848026,1000.0,-0.00014163296177777487
profile41,500,0.67,335,340.386,1.0,341.386,170193.0,500.0,170693.0,,,196.25878038349552,-2.499999999999998,0.20709316508060174,0.10292978767960764,1000.0,3.613474838998839e-06
profile42,500,0.654,327,343.386,1.0,344.386,171693.0,500.0,172193.0,,,189.90319002514622,-1.6666666666666652,0.18828139759214943,0.11839093497130225,1000.0,-0.00014083171891556297
profile43,500,0.67,335,341.386,1.0,342.386,170693.0,500.0,171193.0,,,195.68557125583405,0.0,0.18341108854137678,0.0868106598937847,1000.0,2.8592783448527044e-05
profile44,500,0.656,328,342.386,1.0,343.386,171193.0,500.0,171693.0,,,191.03865620613539,-0.9999999999999991,0.20836529207709575,0.12066747549144222,1000.0,-9.601340446549562e-05
profile45,500,0.672,336,343.386,1.0,344.386,171693.0,500.0,172193.0,,,195.12988332859058,3.3333333333333304,0.22368237983935296,0.10636712040045665,1000.0,3.179031388743928e-05
profile46,500,0.668,334,340.386,1.0,341.386,170193.0,500.0,170693.0,,,195.6729332778731,-4.999999999999996,0.16624722206763498,0.08429879548700504,1000.0,-6.884784104723407e-06
profile47,500,0.666,333,343.386,1.0,344.386,171693.0,500.0,172193.0,,,193.3876522274425,,0.21623266273396774,0.11509999568606244,1000.0,-4.055719058892388e-05
profile48,500,0.664,332,341.386,1.0,342.386,170693.0,500.0,171193.0,,,193.93316315503557,-0.0,0.19698868236036138,0.10539229311202834,1000.0,-4.029342281429529e-05
profile49,500,0.658,329,342.386,1.0,343.386,171193.0,500.0,171693.0,,,191.62109113359307,-1.249999999999999,0.22134540783200696,0.12743622933354287,1000.0,-9.763662710500365e-05
profile50,500,0.682,341,343.386,1.0,344.386,171693.0,500.0,172193.0,,,198.03360183050415,1.249999999999999,0.2104907832006975,0.0838072151761242,1000.0,0.00012450085906061539
profile51,500,0.672,336,338.386,1.0,339.386,169193.0,500.0,169693.0,,,198.00463189406753,-4.999999999999996,0.17501430982989222,0.08335511998612903,1000.0,2.4467921062254056e-05
profile52,500,0.664,332,341.386,1.0,342.386,170693.0,500.0,171193.0,,,193.93316315503557,-0.0,0.176897222067635,0.09649020593659437,1000.0,-4.697385350322073e-05
profile53,500,0.668,334,339.386,1.0,340.386,169693.0,500.0,170193.0,,,196.24778927452948,-9.999999999999991,0.17282537332813921,0.08656430585383118,1000.0,-8.908661916857519e-07
profile54,500,0.654,327,340.386,1.0,341.386,170193.0,500.0,170693.0,,,191.57200353851653,0.8333333333333326,0.16349567866881853,0.10274709537191536,1000.0,-0.00012302353369796117
profile55,500,0.678,339,341.386,1.0,342.386,170693.0,500.0,171193.0,,,198.0221153902321,0.0,0.22288336208655649,0.09644122031769349,1000.0,8.762309630408225e-05
profile56,500,0.672,336,338.386,1.0,339.386,169193.0,500.0,169693.0,,,198.00463189406753,-4.999999999999996,0.1680158495186154,0.07740711855399657,1000.0,3.889851794305675e-05
profile57,500,0.666,333,341.386,1.0,342.386,170693.0,500.0,171193.0,,,194.51729918863506,,0.17319246109039643,0.090555684922326,1000.0,-2.3128599750736236e-05
profile58,500,0.668,334,339.386,1.0,340.386,169693.0,500.0,170193.0,,,196.24778927452948,-9.999999999999991,0.2035515684419463,0.10155407057475795,1000.0,1.3027189497523678e-06
profile59,500,0.658,329,340.386,1.0,341.386,170193.0,500.0,170693.0,,,192.74369774976125,1.249999999999999,0.16262957315376483,0.09632261005785062,1000.0,-8.792289948016731e-05
profile60,500,0.676,338,341.386,1.0,342.386,170693.0,500.0,171193.0,,,197.43797935663258,0.0,0.19665324633164522,0.08559109457648731,1000.0,7.439281155967416e-05
