id,dialogue,manipulative,technique,vulnerability
85515631,"Person1: Please be quiet.
Person2: It's the truth.
Person1: Enough.
Person2: I promise.
Person1: Oh, my god.
Person2: Come on. Haven't you ever tried something bizarre with yourself?
Person1: No!
Person2: Yeah sure. You're so inhibited.
Person1: Because I never tried that particular thing?
Person2: No, because you won't admit to it. It's not strange to be curious. You're as curious as the rest of us, pal. You've tried it.
Person1: Who found him?
Person2: My cousin? My aunt found him. On his bed, in an awkward position. My aunt freaked out. It was a mess.
Person1: He was in that position?
Person2: Yes.
Person1: He managed it, huh?
Person2: Yeah, but at a significant cost.",1,Persuasion or Seduction,
85515454,"Person1: Listen, maybe we ought to tell somebody about this.
Person2: You said that once already... Too late now.
Person1: Why?
Person2: They're not going to listen to me. You either. Are you kidding?",1,,
85514482,"Person1: Yeah, all right, don't tell me, I'll go along with it, it's just irritating to me I can't figure it out.
Person2: All you have to do is tell me what it's worth to you.  What's a person worth to you.",1,,"Over-intellectualization,Over-responsibility"
85518419,"Person1: At first, it will hurt you. But you will come to understand and we will be strong together.
Person2: You're crazy. You're all crazy!",1,"Rationalization,Persuasion or Seduction",Over-intellectualization
85519261,"Person1: I'd like to go out to the light- house with you.
Person2: I'm not sure I can.
Person1: It'll be fun, come on!
Person2: Maybe you and Brooke could come over to the town beach....
Person1: No way.  Everybody's going sailing. If you don't want to take me, just say so.
Person2: That's not it.  My dad told me not to go.
Person1: You do everything your parents tell you?
Person2: No.
Person1: Good.  I'll be on the dock at eight.  Eight o'clock, everybody!",1,,
85515915,"Person1: Club's expanding its roster to finish the season--
Person2: Shut up.  I'm playing.  Oh you won't regret it, young girls don't forget it, lost in their own wilderness ...  But it's all so easy--Just try a little tenderness...",0,,
85518473,"Person1: Oh yeah.  We figure the one of us that actually kills you will get a little more press. Its been an ongoing discussion.  Heads or tails?
Person2: Tails.",0,,
85518853,"Person1: Outrageous.  I won't let you take control of my company.
Person2: Sit down.  You'll be a billionaire.  Better than being broke.  I've got terrorists and other pharmaceutical companies standing in line.  Ball's in your court, Mr. McCloy.",0,,
85515376,"Person1: You know what we do to welchers, Cluett, don't you?
Person2: I know, I know, Dude. Oh, I must have been crazy! I lost my head completely!
Person1: That's your funeral. We've got fifty thousand dollars comin' to us.
Person2: I haven't got it.",0,,
85515637,"Person1: It's a job.  I keep banker's hours.  I set dinner on the dining room sideboard at six.  You can serve yourselves.  Breakfast is ready at nine.  I don't wait on people.  I don't stay after dinner.  Not after it begins to get dark.  I leave before dark comes.  We live in town.  Nine miles.  So there won't be anyone around if you need help.  We couldn't even hear you, in the night.
Person2: Why would we --
Person1: -- no one could.  No one lives any nearer than town.  No one will come any nearer than that.  In the night.  In the dark.",0,,
