sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,stereotype,300,462,461,1,0.6641161441802979
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,948,946,2,1.1718711853027344
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,1416,1413,3,1.5913710594177246
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,300,1891,1887,4,2.068319320678711
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,2359,2354,5,2.8883023262023926
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,unrelated,300,2828,2822,6,3.277442216873169
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,3305,3298,7,3.8270761966705322
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,3776,3768,8,4.336421251296997
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,300,4246,4237,9,4.8454430103302
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,4719,4709,10,5.559471845626831
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,5189,5178,11,6.068871021270752
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,5664,5652,12,6.475696802139282
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,6132,6119,13,7.087248802185059
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,6601,6587,14,8.006158828735352
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,7072,7057,15,8.618290662765503
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,7543,7527,16,9.127877473831177
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,8015,7998,17,9.98979926109314
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,8482,8464,18,10.555901288986206
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,8957,8938,19,10.961669206619263
19,Most of the ghanaians are email.,unrelated,stereotype,300,9423,9403,20,11.426716327667236
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,9894,9873,21,11.980823278427124
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,10367,10345,22,12.490017414093018
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,10838,10815,23,12.89760446548462
