profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,579,0.6442141623488774,373,923.9050086355786,1.0,924.9050086355786,534941.0,579.0,535520.0,,,69.65192709889453,44.601666666666986,0.1507361709481675,0.09281170268430326,579.0,-3.7719802676714594e-05
profile2,579,0.6563039723661486,380,926.9050086355786,1.0,927.9050086355786,536678.0,579.0,537257.0,,,70.72965080026877,-250.23999999998838,0.1568384404867254,0.07898424065242989,579.0,-1.2178410587480426e-06
profile3,579,0.6632124352331606,384,924.9050086355786,1.0,925.9050086355786,535520.0,579.0,536099.0,,,71.62856114262478,-52.36399999999959,0.20689805777627834,0.09280102823930027,579.0,2.3000200991524795e-05
profile4,579,0.6493955094991365,376,925.9050086355786,1.0,926.9050086355786,536099.0,579.0,536678.0,,,70.06063225993987,85.34333333333487,0.13976782563424883,0.08627143909631724,579.0,-3.535966712126319e-05
profile5,579,0.6252158894645942,362,954.0915371329879,1.0,955.0915371329879,552419.0,579.0,552998.0,,,65.46135790726187,5.4605882352941375,0.2235422866695913,0.14190868017042307,579.0,-6.310921134553208e-05
profile6,579,0.6407599309153713,371,951.0915371329879,1.0,952.0915371329879,550682.0,579.0,551261.0,,,67.3002443488656,13.775000000000036,0.25530116737501046,0.1364613908142169,579.0,-1.850831938543107e-05
profile7,579,0.6424870466321243,372,954.0915371329879,1.0,955.0915371329879,552419.0,579.0,552998.0,,,67.26968271132988,13.261428571428578,0.26337888075571997,0.13859297321801337,579.0,-1.4456274758493911e-05
profile8,579,0.6407599309153713,371,952.0915371329879,1.0,953.0915371329879,551261.0,579.0,551840.0,,,67.22963177732676,13.051250000000035,0.2592507113079551,0.13854330553607783,579.0,-1.871373217503649e-05
profile9,579,0.6442141623488774,373,953.0915371329879,1.0,954.0915371329879,551840.0,579.0,552419.0,,,67.52121125450067,16.4366666666668,0.2783444623970584,0.14444728120346223,579.0,-1.105774404159243e-05
profile10,579,0.6390328151986183,370,954.0915371329879,1.0,955.0915371329879,552419.0,579.0,552998.0,,,66.90801775051628,10.314444444444492,0.26693293782491206,0.14591034272536998,579.0,-2.6057971051169004e-05
profile11,579,0.6424870466321243,372,951.0915371329879,1.0,952.0915371329879,550682.0,579.0,551261.0,,,67.48164662473856,15.742857142857147,0.2717325661734668,0.14485429983270487,579.0,-1.8880572708453814e-05
