profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.73,365,512.76,1.0,513.76,256380.0,500.0,256880.0,,,142.08969168483338,-2.3333333333333313,0.16768822521419827,0.02851216931216931,500.0,0.00021539996611230858
profile2,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-3.3333333333333304,0.14864215422276622,0.04294711854711855,500.0,0.00012142564658357674
profile3,500,0.714,357,513.76,1.0,514.76,256880.0,500.0,257380.0,,,138.70541611624833,-4.285714285714282,0.15174413708690332,0.04241166881166881,500.0,0.00013000388426366794
profile4,500,0.708,354,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.27315030246626,-6.249999999999995,0.10143980416156671,0.029253996853996853,500.0,8.323989928178418e-05
profile5,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-3.3333333333333304,0.1596262423500612,0.0484000572000572,500.0,0.0001215769950266019
profile6,500,0.71,355,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.1968234194955,-6.999999999999994,0.10950178702570379,0.03204238524238524,500.0,8.84012311992629e-05
profile7,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-4.999999999999996,0.13911911872705018,0.042974631774631775,500.0,0.00010289081039125829
profile8,500,0.702,351,513.76,1.0,514.76,256880.0,500.0,257380.0,,,136.37423265210973,-29.999999999999975,0.09294364749082007,0.03713759473759474,500.0,3.6266333855836885e-05
profile9,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-4.166666666666663,0.11552587515299877,0.03088148148148148,500.0,0.00010424017409267064
profile10,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-2.499999999999998,0.14718110159118725,0.036361933361933364,500.0,0.00014408474894984233
profile11,500,0.714,357,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.97539707256303,-4.999999999999996,0.10578575275397796,0.026232861432861434,500.0,0.00010378392612942832
profile12,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-3.3333333333333304,0.11096283965728272,0.0286021736021736,500.0,0.0001040299025716687
profile13,500,0.714,357,513.76,1.0,514.76,256880.0,500.0,257380.0,,,138.70541611624833,-4.285714285714282,0.12340798041615668,0.031176719576719573,500.0,0.00011860778083518054
profile14,500,0.71,355,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.66092756320768,-4.999999999999996,0.09732680538555691,0.024268783068783068,500.0,9.459678774622067e-05
profile15,500,0.7,350,515.76,1.0,516.76,257880.0,500.0,258380.0,,,135.45940088242125,,0.12712401468788248,0.05148368368368368,500.0,4.674635676235606e-05
profile16,500,0.712,356,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.5861102460293,-5.833333333333329,0.10600283965728273,0.02551854711854712,500.0,0.00010698720301344693
profile17,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-4.999999999999996,0.13022599755201958,0.04285825825825826,500.0,8.613182335223907e-05
