factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,white,indian,-0.038060395869623606,0.9626547987617264,0.01937242825606947,3.8599215657170154,578.0,0.049931262761452364,0.5201928478365306
ethnicity,asian,indian,-0.08914997586406058,0.9147083791072597,0.05014109531309431,3.161220767973526,578.0,0.0759324225284524,0.5201928478365306
ethnicity,indian,latine,0.07419988386492833,1.0770220633148493,0.05003860904770718,2.198851971905158,578.0,0.13865858617603818,0.5201928478365306
ethnicity,indian,middle_eastern,0.0727014677904808,1.07540944463125,0.05058205434384318,2.065824531848477,578.0,0.15117454823093365,0.5201928478365306
ethnicity,asian,black,-0.02545225901248456,0.9748689190596912,0.020136716282742943,1.5976269064336226,578.0,0.2067493392632544,0.5201928478365306
ethnicity,black,indian,-0.06369771685157602,0.9382885854946947,0.05054253543856111,1.5883041967138694,578.0,0.20807713913461226,0.5201928478365306
ethnicity,white,asian,0.05108957999443697,1.0524171645844784,0.04862148638015228,1.104099471993191,578.0,0.2938073119949989,0.6295870971321404
ethnicity,asian,middle_eastern,-0.01644850807357978,0.9836860299752892,0.01801013505139893,0.8341018525400642,578.0,0.3614699017233718,0.6456215879719013
ethnicity,asian,latine,-0.014950091999132248,0.9851611057974823,0.0197303250238303,0.5741419120083218,578.0,0.4489265117468577,0.6456215879719013
ethnicity,white,latine,0.036139487995304725,1.0368004576222956,0.04853462584911724,0.554447741564553,578.0,0.45680865305544194,0.6456215879719013
ethnicity,white,middle_eastern,0.03464107192085719,1.035248062507956,0.04829119496306511,0.5145726983551909,578.0,0.47345583117939427,0.6456215879719013
ethnicity,black,latine,0.010502167013352312,1.0105575083342675,0.020201462699885615,0.27026649475484216,578.0,0.603352099848332,0.6965078571365043
ethnicity,white,black,0.025637320981952413,1.0259687836383355,0.04935396780804173,0.2698367731637138,578.0,0.6036401428516371,0.6965078571365043
ethnicity,black,middle_eastern,0.009003750938904778,1.009044406630691,0.02003891972723398,0.20188234235403762,578.0,0.6533741721920795,0.7000437559200852
ethnicity,latine,middle_eastern,-0.0014984160744475339,0.9985027059904086,0.01755628939860259,0.007284493906711569,578.0,0.9320132959270587,0.9320132959270587
