lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.6225158730158731,0.6225158730158731
0.0001,1.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.6066428571428572,0.6066428571428572
0.0001,2.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5748968253968254,0.5748968253968254
0.0001,3.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5431507936507937,0.5431507936507937
0.0005,0.5,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.6205158730158731,0.6205158730158731
0.0005,1.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.6046428571428571,0.6046428571428571
0.0005,2.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5728968253968254,0.5728968253968254
0.0005,3.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5411507936507937,0.5411507936507937
0.001,0.5,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.618015873015873,0.618015873015873
0.001,1.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.6021428571428571,0.6021428571428571
0.001,2.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5703968253968253,0.5703968253968253
0.001,3.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5386507936507936,0.5386507936507936
0.002,0.5,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.613015873015873,0.613015873015873
0.002,1.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5971428571428571,0.5971428571428571
0.002,2.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5653968253968253,0.5653968253968253
0.002,3.0,woman_indian,0.6388888888888888,0.05555555555555547,0.17777777777777778,0.031746031746031744,5,5.0,,0.5833333333333334,True,0.5336507936507936,0.5336507936507936
