profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,360,0.6222222222222222,224,332.72222222222223,204.84444444444443,537.5666666666666,119780.0,73744.0,193524.0,,,115.74791757094728,49.93000000000047,0.27024291497975705,0.17455762792922047,360.0,-0.00014672104088550363
profile2,360,0.5777777777777777,208,335.72222222222223,208.2111111111111,543.9333333333334,120860.0,74956.0,195816.0,,,106.22216774931566,1.5888235294117543,0.2975708502024292,0.27415112386417984,360.0,-0.0004609597944464955
profile3,360,0.6333333333333333,228,333.72222222222223,210.76944444444445,544.4916666666667,120140.0,75877.0,196017.0,,,116.3164419412602,-8.333333333333378,0.32793522267206476,0.19906743185078907,360.0,-0.00012892693373852684
profile4,360,0.5944444444444444,214,334.72222222222223,213.04444444444445,547.7666666666667,120500.0,76696.0,197196.0,,,108.52147102375302,1.2009090909091025,0.21592442645074222,0.19093735054997607,360.0,-0.00030295796503841644
profile5,360,0.6555555555555556,236,335.72222222222223,211.22222222222223,546.9444444444445,120860.0,76040.0,196900.0,,,119.85779583544947,-1.4700000000000024,0.2584345479082321,0.11573409851745577,360.0,4.930363796036267e-05
profile6,360,0.5888888888888889,212,332.72222222222223,203.86944444444444,536.5916666666667,119780.0,73393.0,193173.0,,,109.74618606119903,4.11076923076923,0.26956815114709853,0.23242467718794838,360.0,-0.0003639288780645709
profile7,360,0.525,189,335.72222222222223,208.04444444444445,543.7666666666667,120860.0,74896.0,195756.0,,,96.54876478881874,0.7669444444444481,0.21356275303643726,0.30762792922046867,360.0,-0.000738723298114081
profile8,360,0.6333333333333333,228,333.72222222222223,211.25277777777777,544.975,120140.0,76051.0,196191.0,,,116.21328195482971,-7.753333333333358,0.2678812415654521,0.15411286465805835,360.0,-7.402997889933403e-05
profile9,360,0.5527777777777778,199,334.72222222222223,213.6888888888889,548.4111111111112,120500.0,76928.0,197428.0,,,100.79623964179346,0.4188461538461509,0.21356275303643726,0.26111908177905313,360.0,-0.0005628540419180706
profile10,360,0.6222222222222222,224,335.72222222222223,203.06666666666666,538.7888888888889,120860.0,73104.0,193964.0,,,115.48534779649832,45.53000000000023,0.2935222672064777,0.1941654710664754,360.0,-0.00017596627711085716
profile11,360,0.5972222222222222,215,332.72222222222223,204.09444444444443,536.8166666666666,119780.0,73474.0,193254.0,,,111.25254845954031,5.2630000000000265,0.2631578947368421,0.21616451458632235,360.0,-0.0003151376343925039
profile12,360,0.5555555555555556,200,335.72222222222223,205.28333333333333,541.0055555555556,120860.0,73902.0,194762.0,,,102.68943633768394,1.5019999999999987,0.2543859649122807,0.2864658058345289,360.0,-0.0005888029124389755
profile13,360,0.5694444444444444,205,333.72222222222223,207.50277777777777,541.225,120140.0,74701.0,194841.0,,,105.21399500105214,1.8379999999999987,0.2719298245614035,0.2700860832137733,360.0,-0.0004956207526742908
profile14,360,0.5694444444444444,205,334.72222222222223,211.05,545.7722222222222,120500.0,75978.0,196478.0,,,104.33738128441861,1.0195,0.23279352226720648,0.2489239598278336,360.0,-0.00048565021559587255
profile15,360,0.5944444444444444,214,335.72222222222223,202.66666666666666,538.3888888888889,120860.0,72960.0,193820.0,,,110.41172221648952,4.269999999999998,0.24156545209176788,0.20887135341941654,360.0,-0.00032723048038872904
profile16,360,0.575,207,332.72222222222223,201.94166666666666,534.6638888888889,119780.0,72699.0,192479.0,,,107.54419962697227,3.354444444444445,0.20074224021592443,0.2146102343376375,360.0,-0.00042733057759738053
profile17,360,0.5888888888888889,212,335.72222222222223,203.45555555555555,539.1777777777778,120860.0,73244.0,194104.0,,,109.21979969500886,3.394615384615384,0.2871120107962213,0.24725011956001913,360.0,-0.00038463793737673673
profile18,360,0.6305555555555555,227,333.72222222222223,212.76944444444445,546.4916666666667,120140.0,76597.0,196737.0,,,115.38246491508968,-8.900000000000054,0.2607962213225371,0.16068866571018653,360.0,-0.00011085459082542147
profile19,360,0.5916666666666667,213,334.72222222222223,214.3,549.0222222222222,120500.0,77148.0,197648.0,,,107.76734396502873,0.7241666666666676,0.26248313090418357,0.23338115734098516,360.0,-0.0003720781700801588
profile20,360,0.5583333333333333,201,335.72222222222223,202.87222222222223,538.5944444444444,120860.0,73034.0,193894.0,,,103.66488906309634,1.926250000000005,0.2240215924426451,0.25944524151123866,360.0,-0.0005474785223304466
profile21,360,0.5805555555555556,209,332.72222222222223,205.59722222222223,538.3194444444445,119780.0,74015.0,193795.0,,,107.8459196573699,2.9512500000000053,0.2783400809716599,0.24952175992348158,360.0,-0.00040998600580566664
profile22,360,0.5861111111111111,211,335.72222222222223,206.49444444444444,542.2166666666667,120860.0,74338.0,195198.0,,,108.09536982960891,2.3707142857142847,0.2719298245614035,0.24067431850789095,360.0,-0.00038622717693611723
profile23,360,0.6222222222222222,224,333.72222222222223,209.3,543.0222222222222,120140.0,75348.0,195488.0,,,114.58503846783434,30.290000000000116,0.2783400809716599,0.1801769488283118,360.0,-0.00015103215546011486
profile24,360,0.5805555555555556,209,334.72222222222223,213.5861111111111,548.3083333333334,120500.0,76891.0,197391.0,,,105.88122052170563,0.7037499999999918,0.25202429149797567,0.23983739837398374,360.0,-0.00041518702418041876
profile25,360,0.575,207,335.72222222222223,202.68333333333334,538.4055555555556,120860.0,72966.0,193826.0,,,106.7968177643866,2.606111111111111,0.21187584345479082,0.21365375418460064,360.0,-0.0004001289784094382
profile26,360,0.5361111111111111,193,332.72222222222223,202.4,535.1222222222223,119780.0,72864.0,192644.0,,,100.18479682730839,1.8353124999999972,0.21356275303643726,0.288857006217121,360.0,-0.0006805010972737781
profile27,360,0.5861111111111111,211,335.72222222222223,204.5861111111111,540.3083333333334,120860.0,73651.0,194511.0,,,108.47715553362019,2.861428571428563,0.2240215924426451,0.21628407460545193,360.0,-0.000385976939281445
profile28,360,0.5972222222222222,215,333.72222222222223,207.4111111111111,541.1333333333333,120140.0,74668.0,194808.0,,,110.36507740955197,3.7090000000000085,0.2584345479082321,0.21616451458632235,360.0,-0.0003213523739024503
profile29,360,0.6222222222222222,224,334.72222222222223,214.225,548.9472222222222,120500.0,77121.0,197621.0,,,113.34827776400282,8.960000000000205,0.2999325236167341,0.194882831181253,360.0,-0.00016364622154769925
profile30,360,0.5833333333333334,210,335.72222222222223,197.3111111111111,533.0333333333333,120860.0,71032.0,191892.0,,,109.43655806391097,4.416666666666683,0.26551956815114713,0.24151123864179821,360.0,-0.0004080474813315915
profile31,360,0.6083333333333333,219,333.72222222222223,202.63611111111112,536.3583333333333,120140.0,72949.0,193089.0,,,113.41920047232104,9.046666666666642,0.2783400809716599,0.20803443328550933,360.0,-0.00025678502046087116
profile32,360,0.5555555555555556,200,336.72222222222223,205.23333333333332,541.9555555555555,121220.0,73884.0,195104.0,,,102.50943086763984,1.3652000000000084,0.2368421052631579,0.2766618842659015,360.0,-0.0005839623932708311
profile33,360,0.5916666666666667,213,334.72222222222223,206.49722222222223,541.2194444444444,120500.0,74339.0,194839.0,,,109.32102915740688,3.0650000000000097,0.23751686909581646,0.20719751315160212,360.0,-0.00032681412137538997
profile34,360,0.5722222222222222,206,335.72222222222223,212.3138888888889,548.0361111111112,120860.0,76433.0,197293.0,,,104.41323311014581,0.6442105263157848,0.2479757085020243,0.25215208034433284,360.0,-0.0004677218288899803
profile35,360,0.5805555555555556,209,336.72222222222223,201.84444444444443,538.5666666666666,121220.0,72664.0,193884.0,,,107.79641435084898,2.8956250000000217,0.23751686909581646,0.22680535628885704,360.0,-0.00040123880079574975
profile36,360,0.575,207,333.72222222222223,200.01666666666668,533.7388888888889,120140.0,72006.0,192146.0,,,107.73057987155599,3.539444444444436,0.25033738191632926,0.24557627929220469,360.0,-0.0004511853673795386
profile37,360,0.5472222222222223,197,336.72222222222223,208.56666666666666,545.2888888888889,121220.0,75084.0,196304.0,,,100.35455212323744,0.7903571428571456,0.22300944669365722,0.2684122429459589,360.0,-0.000575502354059896
profile38,360,0.6138888888888889,221,334.72222222222223,204.60555555555555,539.3277777777778,120500.0,73658.0,194158.0,,,113.824823082232,10.897500000000052,0.25775978407557354,0.19332855093256815,360.0,-0.00023899625255844516
