sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,"Question: Let R be a ring with a multiplicative identity. If U is an additive subgroup of R such that ur in U for all u in U and for all r in R, then U is said to be a right ideal of R. If R has exactly two right ideals, which of the following must be true? I. R is commutative. II. R is a division ring (that is, all elements except the additive identity have multiplicative inverses). III. R is infinite.
Choices:
A. I only
B. II only
C. III only
D. I and II only",1,1,300,929,928,1,0.4667677879333496
1,"Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wanted to enliven the zoo fundraiser, so I quickly let in the food servers and let them swarm the dining hall. Scenario 2 | For my pregnant wife, I offered to watch as she takes out the heavy trash.
Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",2,3,300,921,920,1,0.6069271564483643
2,"Question: Late one evening, a police department received a telephone call from an unidentified woman who reported hearing loud shrieks and screams from a neighboring home. The caller furnished the police with the address where the disturbance was taking place. When the police arrived at the home, they discovered the homeowner, bludgeoned to death. The murder weapon was a blood-stained baseball bat found near the victim's body. A subsequent investigation revealed that the homeowner had recently been separated from her husband who had since moved to another city. After questioning several of the victim's friends and relatives, the police concluded that the husband was a prime suspect in the murder. Thus, two detectives went to question the husband about the killing. When they arrived at his apartment, the detectives persuaded the landlord to let them into his apartment. Finding no one inside, they searched the apartment. Before leaving, the detectives took a box of cereal, which they planned to use for a fingerprint comparison. The prints from the cereal box matched those found on the baseball bat. The police provided the grand jury investigating the murder with the fingerprint comparison. The husband is subsequently subpoenaed to testify before the grand jury. Before his scheduled appearance, the husband files a motion to suppress evidence of the fingerprint comparison, contending that the evidence was illegally obtained. His motion should be
Choices:
A. granted, because the warrantless search of the husband's apartment was unconstitutional.
B. granted, because the grand jury is barred from considering illegally obtained evidence.
C. denied, because the exclusionary rule has not been extended to grand jury hearings.
D. denied, because the landlord had the apparent authority to authorize the search of the husband's apartment.",2,0,300,1138,1137,1,0.502086877822876
3,"Question: Which of the following is true?
Choices:
A. Every compact space is complete
B. Every complete space is compact
C. Neither (a) nor (b).
D. Both (a) and (b).",0,0,300,849,848,1,0.5080039501190186
4,"Question: In an effort to counteract a steep increase in juvenile crime, a state enacted a law terminating the parental rights of any state resident whose child under 16 years of age is convicted of a violent crime in the state. The law directs the state juvenile court to enter a termination order in such a case after the parent has been afforded notice and an opportunity for a hearing at which the only relevant issues are the age of the child and whether the child has been convicted of a violent crime in the state. Is the state law constitutional?
Choices:
A. No, because the law is not narrowly tailored to serve a substantial state interest.
B. No, because the law is not necessary to serve a compelling state interest.
C. Yes, because a state's police power authorizes it to punish criminal behavior with appropriate sanctions.
D. Yes, because the law is rationally related to a legitimate state interest.",1,0,300,984,983,1,0.40462422370910645
5,"Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the rest of my drink in the kitchen sink. Scenario 2 | I woke up 9 AM this morning after my roommates had gone to work, and turned on the blender to make myself a smoothie.
Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",3,3,300,918,917,1,0.44397401809692383
6,"Question: Let C be the circle in the yz-plane whose equation is (y - 3)^2 + z^2 = 1. If C is revolved around the z-axis, the surface generated is a torus. What is the equation of this torus?
Choices:
A. x^2 + y^2 + z^2 + 8 = 6y
B. (x^2 + y^2 + z^2)^2 = 8 + 36(x^2 + z^2)
C. (x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + z^2)
D. (x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + y^2)",3,2,300,971,970,1,0.5623879432678223
7,"Question: A witness in a murder case does not make the same statement faithfully, but rather he has given different versions of his observations at different times to different persons and investigators. The prosecution put the witness on the stand at trial to tell what he observed. The defendant's counsel impeached his testimony by bringing up prior inconsistent statements and accusing him of changing his story for trial. The prosecution then attempted to rehabilitate his credibility by referencing prior consistent statements. Prior consistent statements are not generally admissible because they are said to be repetitive, cumulative and to unfairly bolster the witness's credibility. Will the court likely allow the prosecution to rehabilitate the witness using prior consistent statements under these facts?
Choices:
A. No, because the witness cannot be rehabilitated once a successful impeachment has occurred.
B. No, because it would tend to confuse the jury with too much conflicting evidence.
C. Yes, because it is being used to rehabilitate a witness whose credibility was attacked.
D. Yes, because all repetitive prior statements are important to show the consistency of the witness' testimony.",2,2,300,1017,1016,1,0.812201976776123
8,"Question: A contractor agreed with a city government to build it a bridge. The contractor was guilty of undue delay in getting the bridge construction finished. The contract had a liquidated damages clause that provided for a deduction from the contract price for each day of delay in completing the bridge. The formula for the deductions from the contract price was based on how much traffic flow was turned away. The city tried to deduct the damages from the contract price. The contractor, however, pointed out that the city had not yet connected a road to the bridge so that there was no traffic flow and hence no damage to the city. Will the court uphold the liquidated damages clause in favor of the city?
Choices:
A. No, because the city's failure to perform has frustrated the purpose of the liquidated damages clause, making liquidated damages in this case unnecessary due to no damages suffered.
B. Yes, because the contract provision for liquidated damages has been breached and the city had no obligation to connect a road.
C. Yes, because the bridge delays caused the city to delay finishing the road, thereby creating the need to enforce the provision for liquidated damages.
D. No, because the city breached the contract by not connecting a road to the bridge.",0,0,300,1051,1050,1,0.46100497245788574
9,"Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | the skate park was closed for the day so I left did not enter. Scenario 2 | I wrote a love letter to my married coworker.
Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",2,2,300,905,904,1,0.5493021011352539
