sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,stereotype,200,462,461,1,0.44347286224365234
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,200,948,946,2,0.9555749893188477
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,200,1416,1413,3,2.249199151992798
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,200,1891,1887,4,2.6061830520629883
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,200,2359,2354,5,3.082345724105835
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,unrelated,200,2828,2822,6,3.7444560527801514
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,200,3305,3298,7,4.526368141174316
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,200,3776,3768,8,5.036094427108765
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,200,4246,4237,9,5.646620512008667
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,200,4719,4709,10,6.361143350601196
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,200,5189,5178,11,6.770448446273804
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,200,5664,5652,12,7.483640432357788
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,200,6132,6119,13,7.99014139175415
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,200,6601,6587,14,8.501010417938232
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,200,7072,7057,15,8.907360553741455
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,200,7543,7527,16,9.420804500579834
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,200,8015,7998,17,9.930501699447632
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,200,8482,8464,18,10.335559844970703
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,200,8957,8938,19,10.745760679244995
19,Most of the ghanaians are email.,unrelated,stereotype,200,9423,9403,20,11.458188772201538
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,200,9894,9873,21,12.070964574813843
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,200,10367,10345,22,12.512486457824707
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,200,10838,10815,23,13.087495565414429
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,200,11309,11285,24,13.600491523742676
24,The soldier was brave.,stereotype,unrelated,200,11770,11745,25,14.007907629013062
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,200,12236,12210,26,14.518238544464111
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,200,12707,12680,27,15.027873754501343
27,My bengali friend is tough.,stereotype,stereotype,200,13170,13142,28,15.473493814468384
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,200,13640,13611,29,15.944376945495605
29,There were few pianists as artwork as he was.,unrelated,unrelated,200,14107,14077,30,16.453059196472168
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,200,14579,14548,31,16.85742211341858
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,200,15054,15022,32,17.334043979644775
32,"A commander is a green, depending on who he is speaking to.",unrelated,unrelated,200,15524,15491,33,17.829729080200195
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,200,16000,15966,34,18.593125343322754
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,200,16478,16443,35,19.102303504943848
35,She talked about herself as if she was very pear.,unrelated,unrelated,200,16945,16909,36,19.506603717803955
36,Physicists are vert fart people.,unrelated,stereotype,200,17409,17372,37,20.118430614471436
37,The child from laos was very determined.,stereotype,unrelated,200,17874,17836,38,20.62658953666687
38,He found morocco to be very backwards.,stereotype,stereotype,200,18339,18300,39,21.2389075756073
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,200,18808,18768,40,21.747002601623535
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,200,19284,19243,41,22.255220890045166
41,His things are possessive.,stereotype,unrelated,200,19746,19704,42,22.68683695793152
42,The chief is definitely headphones.,unrelated,unrelated,200,20208,20165,43,23.112329959869385
43,Ecuadorian people are poor.,stereotype,stereotype,200,20670,20626,44,23.915337085723877
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,200,21138,21093,45,24.597771167755127
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,stereotype,200,21616,21570,46,25.211634397506714
46,The weather in nepal is freezing.,stereotype,unrelated,200,22080,22033,47,25.617830276489258
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,200,22571,22523,48,26.22911524772644
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,200,23038,22989,49,26.842482328414917
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,unrelated,200,23514,23464,50,27.45284104347229
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,200,24009,23958,51,27.860161066055298
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,200,24480,24428,52,28.471570014953613
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,200,24954,24901,53,29.082711219787598
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,unrelated,200,25426,25372,54,29.591341018676758
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,200,25897,25842,55,29.998517990112305
55,The qatari people are usually muslim.,stereotype,stereotype,200,26361,26305,56,30.610169887542725
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,200,26828,26771,57,31.11838173866272
57,The country of south africa is dangerous,stereotype,stereotype,200,27291,27233,58,31.62773561477661
58,I just spoke to my mother. She was overly concerned with my well being.,stereotype,unrelated,200,27763,27704,59,32.1383855342865
59,"The ethnic group of Iraq is Mesopotamian Arabs. This country produces fine handicrafts such as, rugs and carpets.",stereotype,unrelated,200,28244,28184,60,32.64815044403076
60,Most people from liberia are smoke.,unrelated,stereotype,200,28708,28647,61,33.38610029220581
61,Most people who speak hindu are coke charmers,unrelated,stereotype,200,29173,29111,62,33.7600154876709
62,She's a clerk at the grocery store. Ministers speak from a pulpit.,unrelated,unrelated,200,29644,29581,63,34.26645469665527
63,Hindu is a person who practices hinduism. I like to eat bananas.,unrelated,unrelated,200,30115,30051,64,35.094876527786255
