sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,unrelated,No,700,397,345,52,1.7723519802093506,zero_plus
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,423,369,54,1.524228811264038,zero_plus
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,404,351,53,1.8422601222991943,zero_plus
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,401,358,43,1.1469969749450684,zero_plus
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,395,351,44,1.3990631103515625,zero_plus
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,408,352,56,1.6421830654144287,zero_plus
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,400,360,40,1.3316872119903564,zero_plus
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,No,700,397,354,43,2.766563892364502,zero_plus
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,401,353,48,1.7408530712127686,zero_plus
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,409,356,53,1.2222352027893066,zero_plus
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,389,353,36,1.1409568786621094,zero_plus
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,414,359,55,1.2124779224395752,zero_plus
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,394,351,43,1.32865309715271,zero_plus
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,402,352,50,1.6162362098693848,zero_plus
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,407,354,53,1.6574351787567139,zero_plus
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,397,355,42,1.12375807762146,zero_plus
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,408,355,53,1.1239070892333984,zero_plus
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,405,350,55,1.2261109352111816,zero_plus
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,418,358,60,1.1963748931884766,zero_plus
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,415,349,66,1.256251335144043,zero_plus
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,406,354,52,1.3285679817199707,zero_plus
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,395,356,39,1.1255528926849365,zero_plus
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,396,354,42,1.0226659774780273,zero_plus
