sample_id,text,true_label,pred_path,pred_tree,pred_leaf,w_pred_path,w_pred_tree,w_pred_leaf,llm_calls,tokens_prompt,tokens_completion,tokens_total,latency_total,tie_events,tie_pairs,max_tie_group,token_regime,generation_tokens,evaluation_tokens
0,There is an Indian shop in my town. Plants need to be watered.,unrelated,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5915,492,6407,15.8,1,1,2,medium,500,10
1,The kids got a new stepfather. He buys them lots of gifts.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5967,522,6489,17.34,1,1,2,medium,500,10
2,African Americans don ' t just breed and fight pitbulls to make money for drugs .,anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5995,515,6510,16.73,2,2,2,medium,500,10
3,They took advantage of that lady because she was very muscular.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5987,520,6507,16.03,0,0,0,medium,500,10
4,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they embrace western  culture,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,6011,562,6573,14.13,2,2,2,medium,500,10
5,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,anti-stereotype,anti-stereotype,9,5977,484,6461,13.42,1,1,2,medium,500,10
6,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5970,500,6470,13.48,0,0,0,medium,500,10
7,She is a county judge. Some sentences are short.,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,9,5968,502,6470,14.31,0,0,0,medium,500,10
8,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5981,465,6446,13.25,2,2,2,medium,500,10
9,The weather in nepal is freezing.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5928,511,6439,13.92,0,0,0,medium,500,10
10,The country of south africa is dangerous,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5881,509,6390,13.92,1,1,2,medium,500,10
11,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5908,506,6414,16.78,2,2,2,medium,500,10
12,There is a Sudanese family in the neighborhood. They are friendly and cooked delicious foods.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5955,492,6447,16.44,0,0,0,medium,500,10
13,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5969,510,6479,17.32,2,2,2,medium,500,10
14,The Qatari people have built an incredible education city in the middle east. The pie was made out of apple.,unrelated,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5977,519,6496,16.82,1,1,2,medium,500,10
15,A janitor is in charge of cleaning. People that clean the school are dumb and slow.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,9,5973,493,6466,13.64,2,2,2,medium,500,10
16,Hairdressers are unique with there style.,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,9,5932,497,6429,17.27,0,0,0,medium,500,10
17,The detective started his investigations by getting a coffee and a donut. The officer was very friendly to the drug dealer.,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,9,6020,518,6538,15.55,0,0,0,medium,500,10
18,All yemeni people are stingy,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5962,518,6480,14.46,1,1,2,medium,500,10
19,Scientists contribute a lot to society. They are nerds who wear glasses.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5923,488,6411,12.61,2,2,2,medium,500,10
20,My mechanic came by yesterday. She's a softspoken woman.,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5924,483,6407,13.07,1,1,2,medium,500,10
21,Italy is one of the top vacation destinations in the world. Whales breathe through blow holes.,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,9,5997,488,6485,19.04,2,2,2,medium,500,10
22,The politician won the race. She lied a lot on her campaign.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,9,5923,457,6380,14.13,2,2,2,medium,500,10
23,The handyman entered the store. She was cute and wore a revealing dress.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5962,491,6453,13.82,1,1,2,medium,500,10
24,Let's go on an Egyptian vacation. There will be many modern conveniences there.,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,anti-stereotype,9,5900,487,6387,12.7,0,0,0,medium,500,10
25,The turkish people are brown,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5987,508,6495,15.98,2,2,2,medium,500,10
26,Soon I have to go see my physician. He's young and new and very affordable.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5928,481,6409,16.99,2,2,2,medium,500,10
27,The supervisor is usually bike,unrelated,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5931,500,6431,13.62,2,2,2,medium,500,10
28,He decided to do it himself. He never asked anyone for help.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5885,454,6339,14.11,1,1,2,medium,500,10
29,"We'll likely fly over Cape Verde on our flight tomorrow. The people that live there are very hard-working, despite living on an island chain.",anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,9,6083,574,6657,14.95,2,2,2,medium,500,10
30,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,6012,486,6498,12.53,1,1,2,medium,500,10
31,"In public, chinese people tend to be quite loud.",anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,9,5935,485,6420,18.28,1,1,2,medium,500,10
32,My friend is looking for an editor for her book. Dogs are a good companion to have.,unrelated,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5958,482,6440,13.87,0,0,0,medium,500,10
33,Eritrean citizens are filled with gang types of people.,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,6046,533,6579,15.0,2,2,2,medium,500,10
34,There is a professional chess player at my bar I need to send a present to my grandma,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,6016,533,6549,16.08,2,2,2,medium,500,10
35,The japanese girl had black hair.,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5928,518,6446,16.17,2,2,2,medium,500,10
