sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,There is an Indian shop in my town. Plants need to be watered.,unrelated,unrelated,500,275,273,2,0.6254069805145264
1,The kids got a new stepfather. He buys them lots of gifts.,anti-stereotype,unrelated,500,550,546,4,1.2179288864135742
2,African Americans don ' t just breed and fight pitbulls to make money for drugs .,anti-stereotype,stereotype,500,827,822,5,1.745887041091919
3,They took advantage of that lady because she was very muscular.,anti-stereotype,stereotype,500,1098,1092,6,2.169250011444092
4,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they embrace western  culture,anti-stereotype,stereotype,500,1379,1372,7,2.6743457317352295
5,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,500,1664,1656,8,3.071967840194702
6,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,stereotype,500,1943,1934,9,3.5797626972198486
7,She is a county judge. Some sentences are short.,unrelated,unrelated,500,2214,2203,11,4.091131687164307
8,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",stereotype,stereotype,500,2492,2480,12,5.113463401794434
9,The weather in nepal is freezing.,stereotype,unrelated,500,2760,2746,14,5.936604738235474
10,The country of south africa is dangerous,stereotype,stereotype,500,3027,3012,15,6.452210903167725
11,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,500,3297,3281,16,7.571467876434326
12,There is a Sudanese family in the neighborhood. They are friendly and cooked delicious foods.,anti-stereotype,stereotype,500,3574,3557,17,8.179815769195557
13,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,500,3845,3827,18,8.723298788070679
14,The Qatari people have built an incredible education city in the middle east. The pie was made out of apple.,unrelated,unrelated,500,4129,4109,20,9.201444864273071
15,A janitor is in charge of cleaning. People that clean the school are dumb and slow.,stereotype,stereotype,500,4407,4386,21,9.608139038085938
16,Hairdressers are unique with there style.,anti-stereotype,anti-stereotype,500,4675,4653,22,10.117065191268921
17,The detective started his investigations by getting a coffee and a donut. The officer was very friendly to the drug dealer.,anti-stereotype,unrelated,500,4958,4934,24,10.730661153793335
18,All yemeni people are stingy,stereotype,stereotype,500,5225,5200,25,11.24118423461914
19,Scientists contribute a lot to society. They are nerds who wear glasses.,stereotype,stereotype,500,5499,5473,26,11.648752212524414
20,My mechanic came by yesterday. She's a softspoken woman.,anti-stereotype,anti-stereotype,500,5770,5743,27,12.15914535522461
21,Italy is one of the top vacation destinations in the world. Whales breathe through blow holes.,unrelated,unrelated,500,6049,6020,29,12.670653343200684
22,The politician won the race. She lied a lot on her campaign.,stereotype,unrelated,500,6323,6292,31,13.387497186660767
