category,value,n,hw_95pp
technique,Persuasion or Seduction,46,14.449311703179918
technique,Intimidation,16,24.5
technique,Shaming or Belittlement,14,26.19160170741759
technique,Accusation,11,29.54811176862083
technique,Rationalization,8,34.64823227814083
technique,"Shaming or Belittlement,Accusation",8,34.64823227814083
technique,Denial,4,49.0
technique,"Rationalization,Persuasion or Seduction",4,49.0
technique,"Intimidation,Persuasion or Seduction",3,56.58032638058332
technique,Evasion,3,56.58032638058332
technique,Brandishing Anger,3,56.58032638058332
technique,Feigning Innocence,3,56.58032638058332
technique,Playing Victim Role,2,69.29646455628166
technique,"Shaming or Belittlement,Brandishing Anger",2,69.29646455628166
technique,"Intimidation,Accusation",2,69.29646455628166
technique,"Rationalization,Intimidation",2,69.29646455628166
technique,"Accusation,Persuasion or Seduction",2,69.29646455628166
technique,"Evasion,Intimidation",1,98.0
technique,"Playing Servant Role,Accusation,Shaming or Belittlement",1,98.0
technique,"Rationalization,Playing Victim Role",1,98.0
technique,"Denial,Feigning Innocence",1,98.0
technique,"Playing Victim Role,Feigning Innocence",1,98.0
technique,"Brandishing Anger,Accusation",1,98.0
technique,"Shaming or Belittlement,Persuasion or Seduction",1,98.0
technique,"Persuasion or Seduction,Rationalization",1,98.0
technique,"Brandishing Anger,Persuasion or Seduction",1,98.0
technique,"Evasion,Accusation",1,98.0
technique,"Shaming or Belittlement,Intimidation",1,98.0
technique,"Playing Servant Role,Shaming or Belittlement",1,98.0
technique,"Shaming or Belittlement,Denial",1,98.0
technique,"Persuasion or Seduction,Shaming or Belittlement",1,98.0
technique,Playing Servant Role,1,98.0
technique,"Denial,Accusation",1,98.0
technique,"Persuasion or Seduction,Intimidation",1,98.0
technique,"Playing Victim Role,Brandishing Anger,Accusation",1,98.0
technique,"Intimidation,Brandishing Anger",1,98.0
technique,"Persuasion or Seduction,Accusation",1,98.0
technique,"Accusation,Rationalization",1,98.0
technique,"Accusation,Evasion",1,98.0
technique,"Shaming or Belittlement,Persuasion or Seduction,Accusation",1,98.0
vulnerability,Dependency,16,24.5
vulnerability,Low self-esteem,14,26.19160170741759
vulnerability,Naivete,7,37.040518354904265
vulnerability,Over-responsibility,6,40.00833246545857
vulnerability,Over-intellectualization,2,69.29646455628166
vulnerability,"Dependency,Low self-esteem",1,98.0
vulnerability,"Dependency,Naivete",1,98.0
vulnerability,"Naivete,Dependency",1,98.0
