profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,360,0.6833333333333333,246,966.8333333333334,1.0,967.8333333333334,348060.0,360.0,348420.0,,,70.60444291372481,186.20000000000067,0.18873517786561267,0.09236711180937418,360.0,4.133928961802281e-06
profile2,360,0.6861111111111111,247,969.8333333333334,1.0,970.8333333333334,349140.0,360.0,349500.0,,,70.67238912732475,361.60000000000133,0.17885375494071146,0.08732652526839486,360.0,4.326905823782038e-06
profile3,360,0.7027777777777777,253,967.8333333333334,1.0,968.8333333333334,348420.0,360.0,348780.0,,,72.53856299099718,-73.76000000000028,0.24505928853754938,0.09171249018067557,360.0,6.361703923227068e-05
profile4,360,0.6861111111111111,247,968.8333333333334,1.0,969.8333333333334,348780.0,360.0,349140.0,,,70.7452597811766,365.20000000000135,0.14953886693017127,0.07547787378894998,360.0,-1.4609527214937467e-06
profile5,360,0.6555555555555556,236,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,66.30386838120229,24.7691666666667,0.2898550724637681,0.16326263419743386,360.0,-3.708878406907924e-05
profile6,360,0.6694444444444444,241,984.7138888888888,1.0,985.7138888888888,354497.0,360.0,354857.0,,,67.91468112507292,44.004285714285665,0.33201581027667987,0.1683032207384132,360.0,-4.657163961969887e-06
profile7,360,0.6583333333333333,237,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,66.5848169760379,27.020909090909118,0.32345191040843213,0.17576590730557737,360.0,-2.8400434663943726e-05
profile8,360,0.675,243,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,68.4088880881264,60.88600000000029,0.341897233201581,0.1601859125425504,360.0,2.1815247924319123e-05
profile9,360,0.6666666666666666,240,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,67.49592915177303,37.60374999999999,0.3386034255599473,0.17137994239329665,360.0,-4.208161162258958e-06
profile10,360,0.6638888888888889,239,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,67.1467141657091,33.02555555555556,0.3310276679841897,0.17203456402199527,360.0,-1.3190327562260459e-05
profile11,360,0.6638888888888889,239,984.7138888888888,1.0,985.7138888888888,354497.0,360.0,354857.0,,,67.35107381283164,34.225555555555566,0.32444005270092224,0.17203456402199527,360.0,-1.9913562712598554e-05
profile12,360,0.6472222222222223,233,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,65.46102259669549,19.815333333333374,0.2865612648221344,0.17576590730557737,360.0,-6.571218480811863e-05
profile13,360,0.6777777777777778,244,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,68.69040614610225,76.10750000000036,0.34617918313570484,0.15887666928515318,360.0,2.88085988101455e-05
profile14,360,0.6722222222222223,242,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,68.05839522803782,50.13833333333357,0.3310276679841897,0.15887666928515318,360.0,1.3439447964851507e-05
profile15,360,0.6611111111111111,238,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,66.8657655708735,29.72300000000002,0.3059947299077734,0.16633935585231735,360.0,-2.6988577885609184e-05
profile16,360,0.675,243,984.7138888888888,1.0,985.7138888888888,354497.0,360.0,354857.0,,,68.47828843731418,61.606000000000286,0.34617918313570484,0.1639172558261325,360.0,1.861054377971503e-05
profile17,360,0.6694444444444444,241,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,67.70861135538031,42.46142857142853,0.341897233201581,0.16633935585231735,360.0,9.3237503797039e-06
profile18,360,0.6638888888888889,239,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,67.2828158562231,33.82555555555556,0.32773386034255597,0.17007069913589945,360.0,-1.2574605535566864e-05
profile19,360,0.6611111111111111,238,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,66.93346307550827,30.08300000000002,0.3211462450592885,0.17642052893427598,360.0,-3.2089062597791314e-05
profile20,360,0.6583333333333333,237,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,66.5848169760379,27.020909090909118,0.33530961791831354,0.18322859387274157,360.0,-3.150311751175364e-05
profile21,360,0.65,234,984.7138888888888,1.0,985.7138888888888,354497.0,360.0,354857.0,,,65.94205553222848,22.002142857142896,0.3201581027667984,0.18892380204241946,360.0,-5.852560460831993e-05
profile22,360,0.6611111111111111,238,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,66.8657655708735,29.72300000000002,0.3211462450592885,0.17642052893427598,360.0,-3.205660724042413e-05
profile23,360,0.6555555555555556,236,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,66.43826168229562,25.3691666666667,0.3092885375494071,0.17642052893427598,360.0,-4.4138955384714554e-05
profile24,360,0.6666666666666666,240,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,67.49592915177303,37.60374999999999,0.33530961791831354,0.17268918565069388,360.0,-1.0193997974859795e-05
profile25,360,0.6861111111111111,247,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,69.39430292439393,297.2300000000014,0.36133069828722003,0.1551453260015711,360.0,5.162266542188089e-05
profile26,360,0.6555555555555556,236,984.7138888888888,1.0,985.7138888888888,354497.0,360.0,354857.0,,,66.50566284446975,25.6691666666667,0.28096179183135706,0.16764859910971455,360.0,-5.512289823705306e-05
profile27,360,0.65,234,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,65.74197119153109,21.230714285714324,0.30171277997364954,0.18015187221785808,360.0,-5.925977688844933e-05
profile28,360,0.6638888888888889,239,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,67.2828158562231,33.82555555555556,0.36462450592885376,0.18826918041372087,360.0,-1.2074275058602697e-05
profile29,360,0.6583333333333333,237,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,66.65223003737587,27.348181818181846,0.28754940711462446,0.16326263419743386,360.0,-3.946067957400951e-05
profile30,360,0.6805555555555556,245,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,68.83240573472273,99.07666666666714,0.3386034255599473,0.15206860434668762,360.0,3.4859646712665305e-05
profile31,360,0.6722222222222223,242,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,68.1273700301506,50.73833333333357,0.3211462450592885,0.1601859125425504,360.0,7.848475458876473e-07
profile32,360,0.6722222222222223,242,988.7138888888888,1.0,989.7138888888888,355937.0,360.0,356297.0,,,67.9208637737618,48.93833333333356,0.32444005270092224,0.15887666928515318,360.0,6.756209249647683e-06
profile33,360,0.6722222222222223,242,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,68.05839522803782,50.13833333333357,0.33201581027667987,0.1645718774548311,360.0,2.907780683582921e-06
profile34,360,0.6555555555555556,236,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,66.30386838120229,24.7691666666667,0.3125823451910408,0.17445666404818014,360.0,-3.674569894648497e-05
profile35,360,0.6638888888888889,239,988.7138888888888,1.0,989.7138888888888,355937.0,360.0,356297.0,,,67.0788695947482,32.625555555555565,0.33201581027667987,0.17314742079078294,360.0,-1.4427433488799965e-05
profile36,360,0.6611111111111111,238,985.7138888888888,1.0,986.7138888888888,354857.0,360.0,355217.0,,,67.00129779824728,30.44300000000002,0.30171277997364954,0.16326263419743386,360.0,-2.514658879400071e-05
profile37,360,0.6777777777777778,244,988.7138888888888,1.0,989.7138888888888,355937.0,360.0,356297.0,,,68.4821932264375,73.40750000000034,0.35046113306982873,0.1639172558261325,360.0,2.2861780229199066e-05
profile38,360,0.6583333333333333,237,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,66.65223003737587,27.348181818181846,0.32444005270092224,0.17818800733176224,360.0,-3.2333211390322785e-05
profile39,360,0.6722222222222223,242,987.7138888888888,1.0,988.7138888888888,355577.0,360.0,355937.0,,,67.98955995021592,49.53833333333357,0.32444005270092224,0.1582220476564546,360.0,8.087230773099463e-06
profile40,360,0.6638888888888889,239,988.7138888888888,1.0,989.7138888888888,355937.0,360.0,356297.0,,,67.0788695947482,32.625555555555565,0.3547430830039526,0.18761455878502223,360.0,-2.0698946226864322e-05
profile41,360,0.6638888888888889,239,986.7138888888888,1.0,987.7138888888888,355217.0,360.0,355577.0,,,67.21469611364064,33.42555555555556,0.30171277997364954,0.1601859125425504,360.0,-1.889114380323379e-05
profile42,360,0.6694444444444444,241,989.7138888888888,1.0,990.7138888888888,356297.0,360.0,356657.0,,,67.57192484656126,41.4328571428571,0.347167325428195,0.17576590730557737,360.0,-4.405398200134871e-06
