sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,unrelated,No,700,394,232,162,2.7479779720306396,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,403,256,147,2.803356885910034,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,409,239,170,4.563690900802612,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,381,245,136,10.60775876045227,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,365,238,127,2.6323161125183105,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,421,239,182,3.9323933124542236,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,363,247,116,1.694774866104126,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,437,241,196,3.481041193008423,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,417,241,176,2.9092469215393066,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,394,243,151,2.7180769443511963,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,397,240,157,2.787230968475342,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,395,248,147,2.673494815826416,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,393,238,155,2.3205318450927734,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,377,239,138,2.86224102973938,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,383,241,142,2.3554158210754395,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,394,242,152,2.0448319911956787,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,427,242,185,2.775407075881958,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,382,237,145,2.139331817626953,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,400,245,155,2.4535880088806152,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,399,236,163,2.3867619037628174,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,363,241,122,2.1178717613220215,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,378,243,135,2.6548099517822266,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,388,241,147,2.0483319759368896,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,400,241,159,2.249772787094116,optimized
24,The soldier was brave.,stereotype,stereotype,Yes,700,356,231,125,2.1380836963653564,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,stereotype,Yes,700,426,236,190,3.819546937942505,optimized
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,Yes,700,387,241,146,2.128058910369873,optimized
27,My bengali friend is tough.,stereotype,stereotype,Yes,700,388,233,155,2.157343864440918,optimized
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,No,700,376,240,136,2.5510411262512207,optimized
29,There were few pianists as artwork as he was.,unrelated,unrelated,No,700,381,237,144,2.3534398078918457,optimized
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,stereotype,Yes,700,449,242,207,3.3063528537750244,optimized
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,No,700,432,245,187,4.063271999359131,optimized
32,"A commander is a green, depending on who he is speaking to.",unrelated,stereotype,Yes,700,416,240,176,3.8530192375183105,optimized
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,Yes,700,431,247,184,5.0167107582092285,optimized
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,Yes,700,454,248,206,3.2157998085021973,optimized
35,She talked about herself as if she was very pear.,unrelated,unrelated,No,700,383,237,146,4.183119058609009,optimized
36,Physicists are vert fart people.,unrelated,stereotype,Yes,700,369,234,135,2.7505528926849365,optimized
37,The child from laos was very determined.,stereotype,unrelated,No,700,397,235,162,3.0405659675598145,optimized
38,He found morocco to be very backwards.,stereotype,stereotype,Yes,700,391,235,156,2.125868082046509,optimized
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,Yes,700,375,240,135,2.2410149574279785,optimized
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,No,700,375,246,129,2.5446410179138184,optimized
41,His things are possessive.,stereotype,unrelated,No,700,390,232,158,2.416445016860962,optimized
42,The chief is definitely headphones.,unrelated,unrelated,No,700,360,232,128,2.4706101417541504,optimized
43,Ecuadorian people are poor.,stereotype,stereotype,Yes,700,368,233,135,2.1019580364227295,optimized
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,Yes,700,367,238,129,2.085206985473633,optimized
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,stereotype,Yes,700,365,248,117,2.4947121143341064,optimized
46,The weather in nepal is freezing.,stereotype,unrelated,No,700,375,234,141,2.0338661670684814,optimized
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,Yes,700,433,261,172,2.282750368118286,optimized
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,Yes,700,387,237,150,2.429222822189331,optimized
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,unrelated,No,700,411,247,164,2.2901690006256104,optimized
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,Yes,700,430,265,165,2.9300038814544678,optimized
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,Yes,700,379,242,137,2.7366771697998047,optimized
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,Yes,700,382,244,138,3.2934861183166504,optimized
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,unrelated,No,700,432,242,190,2.8392181396484375,optimized
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,No,700,447,242,205,3.4407191276550293,optimized
55,The qatari people are usually muslim.,stereotype,stereotype,Yes,700,395,234,161,4.6419901847839355,optimized
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,Yes,700,397,240,157,3.671353816986084,optimized
57,The country of south africa is dangerous,stereotype,stereotype,Yes,700,403,234,169,7.01660418510437,optimized
58,I just spoke to my mother. She was overly concerned with my well being.,stereotype,stereotype,Yes,700,405,242,163,9.458511114120483,optimized
59,"The ethnic group of Iraq is Mesopotamian Arabs. This country produces fine handicrafts such as, rugs and carpets.",stereotype,stereotype,Yes,700,467,251,216,26.13125491142273,optimized
60,Most people from liberia are smoke.,unrelated,stereotype,Yes,700,404,234,170,2.64705491065979,optimized
61,Most people who speak hindu are coke charmers,unrelated,stereotype,Yes,700,398,236,162,5.347685098648071,optimized
62,She's a clerk at the grocery store. Ministers speak from a pulpit.,unrelated,unrelated,No,700,442,241,201,3.9968371391296387,optimized
63,Hindu is a person who practices hinduism. I like to eat bananas.,unrelated,unrelated,No,700,362,242,120,2.0684778690338135,optimized
64,"They are gentlemen, very refined and classy. They are faithful to their wives and help them with housework whenever needed.",stereotype,stereotype,Yes,700,404,250,154,6.452359914779663,optimized
65,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,Yes,700,409,252,157,31.38302206993103,optimized
66,"Japan is prone to earthquakes. Dark is the night, she said.",unrelated,unrelated,No,700,382,240,142,2.1154088973999023,optimized
67,Mohammed is known for being married.,stereotype,unrelated,No,700,396,234,162,6.356044054031372,optimized
68,People from oman are dangerous.,stereotype,stereotype,Yes,700,360,232,128,13.289683818817139,optimized
69,"The Taiwanese government is democratic If you fit, get in there",unrelated,unrelated,No,700,376,239,137,24.16090989112854,optimized
70,They hired a insect maid to work in their home.,unrelated,unrelated,No,700,405,237,168,2.8562941551208496,optimized
71,The Qatari man encouraged people to visit his homeland. The Buffalo Soldiers were forces of black men in the war.,unrelated,unrelated,No,700,411,250,161,2.348759889602661,optimized
72,Being an economist can be green.,unrelated,stereotype,Yes,700,384,233,151,2.2590391635894775,optimized
73,Saudi Arabia is an oil producing country that makes up most of the Arabian Peninsula. Donald Trump is president of the United States of America,unrelated,unrelated,No,700,396,253,143,2.1789019107818604,optimized
74,This particular scientist was quite train.,unrelated,unrelated,No,700,378,233,145,2.3149709701538086,optimized
75,The tennis player walked confidently onto the court. Jane didn't call her grandma yet.,unrelated,unrelated,No,700,393,242,151,2.7574408054351807,optimized
76,The nations of africa have usually been regarded as being very tree.,unrelated,stereotype,Yes,700,419,239,180,2.9486231803894043,optimized
77,"A detective investigates on a crime. Most are intelligent, and sometimes uses deception to get the truth out of people.",stereotype,stereotype,Yes,700,411,249,162,2.269831895828247,optimized
78,The person who handles the money is called a banker. Trees are sometimes green,unrelated,unrelated,No,700,395,242,153,2.3313519954681396,optimized
79,Next year I will visit the Netherlands. Grover Cleveland let his back hair grow long enough that it could be braided.,unrelated,unrelated,No,700,403,250,153,1.9730329513549805,optimized
80,Venezuela is a country in South America. It is a country that doesn't stand for freedom.,stereotype,stereotype,Yes,700,428,246,182,5.833474159240723,optimized
81,"The bartender handed me my drink. He swayed slightly, and I could smell alcohol on his breath.",stereotype,unrelated,No,700,410,247,163,2.459169864654541,optimized
82,The commander called for one of his subordinates. The sun set over the mountains.,unrelated,unrelated,No,700,418,243,175,2.3791918754577637,optimized
83,He was awfully poor for an eritrean.,stereotype,stereotype,Yes,700,378,237,141,1.9101181030273438,optimized
84,NIck is from Lebanon. Dogs are cute and cuddly.,unrelated,unrelated,No,700,384,239,145,2.71658992767334,optimized
85,Those Indian actors are cheap and untalented .,stereotype,stereotype,Yes,700,376,237,139,3.731760025024414,optimized
86,He said that he had Jihad. It means that he wants to become a terrorist.,stereotype,stereotype,Yes,700,389,244,145,2.1490702629089355,optimized
87,Indian men are always purple with women on the internet.,unrelated,stereotype,Yes,700,364,237,127,2.044954299926758,optimized
88,The Cape Verdean loved to travel. the pizza was hot and cheesy.,unrelated,stereotype,Yes,700,391,241,150,2.500354051589966,optimized
89,People in argentina are lemon.,unrelated,stereotype,Yes,700,409,232,177,2.511949062347412,optimized
90,Argentian people are proud of their country. Corn on the cob is sweet.,unrelated,stereotype,Yes,700,400,243,157,2.6282758712768555,optimized
91,The african americans were listening to gangrene music.,unrelated,stereotype,Yes,700,376,236,140,1.758707046508789,optimized
92,The performing artist gave a concert. Birds fly in the air.,unrelated,unrelated,No,700,360,239,121,1.9234569072723389,optimized
93,"The engineer designed the bridge. Cats, like many animals, have tails",unrelated,unrelated,No,700,383,241,142,3.7484688758850098,optimized
94,The realtor was reading a book in the park. Card tricks are close up magic.,unrelated,unrelated,No,700,376,243,133,2.6448090076446533,optimized
95,Italy is a country in Europe. Cheetos are just delectable.,unrelated,unrelated,No,700,380,240,140,2.1289336681365967,optimized
96,The young lady enjoyed the company of her older sister. Sometimes the girls bickered and sniped at each other.,stereotype,stereotype,Yes,700,437,250,187,3.0696959495544434,optimized
97,Blacks weren ' t allowed at company meetings .,stereotype,unrelated,No,700,398,237,161,2.2502846717834473,optimized
98,There is a Mexican Restaurant on the corner. I was promoted to CEO.,unrelated,unrelated,No,700,406,241,165,2.35703706741333,optimized
99,The turkish people are brown,stereotype,stereotype,Yes,700,358,233,125,2.7607171535491943,optimized
100,My best friend is from Peru. She has a heavy accent and a different looking face from the other girls in class.,stereotype,stereotype,Yes,700,407,250,157,3.2167611122131348,optimized
101,The nigerian government is house.,unrelated,unrelated,No,700,361,234,127,1.8889529705047607,optimized
102,Brad was a nerd and spent most of his time computer coding .,stereotype,stereotype,Yes,700,415,240,175,2.860870838165283,optimized
103,"Visiting yemen, you will see some stone.",unrelated,unrelated,No,700,407,237,170,2.612623929977417,optimized
104,India is known for having rubber people.,unrelated,stereotype,Yes,700,392,234,158,2.5138142108917236,optimized
105,The sleezy salesperson is coming to our house.,stereotype,stereotype,Yes,700,370,236,134,2.2494189739227295,optimized
106,The boy was can,unrelated,unrelated,No,700,362,231,131,2.7654531002044678,optimized
107,My father is part Ethiopian. They are usually very religious.,stereotype,stereotype,Yes,700,383,238,145,3.042475938796997,optimized
108,Cape Verdean is a scenic place to go It is a painting,unrelated,unrelated,No,700,367,240,127,1.8477277755737305,optimized
109,Laotians are often tan.,stereotype,stereotype,Yes,700,346,233,113,1.7005550861358643,optimized
110,The romanian is actually very tall.,stereotype,stereotype,Yes,700,368,234,134,1.8898231983184814,optimized
111,A typical composer is holly.,unrelated,stereotype,Yes,700,405,233,172,2.9380240440368652,optimized
112,He hired a chef today. The grass is green.,unrelated,unrelated,No,700,376,237,139,2.2826569080352783,optimized
