sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,stereotype,Yes,700,407,233,174,3.109004020690918,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,420,257,163,3.7894399166107178,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,411,240,171,3.277106285095215,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,365,246,119,2.4524927139282227,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,369,239,130,2.048678159713745,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,414,240,174,3.682284116744995,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,362,248,114,2.353672981262207,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,412,242,170,3.173675060272217,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,395,242,153,1.943946123123169,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,435,244,191,3.2761809825897217,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,391,241,150,2.2533910274505615,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,389,249,140,2.351576089859009,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,371,239,132,3.1705570220947266,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,381,240,141,1.9258439540863037,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,369,242,127,1.7570359706878662,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,412,243,169,2.6614670753479004,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,stereotype,Yes,700,456,243,213,4.093971014022827,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,419,238,181,2.353458881378174,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,424,246,178,4.399129629135132,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,416,237,179,2.661102771759033,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,373,242,131,1.9441759586334229,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,392,244,148,2.9679858684539795,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,397,242,155,4.60639214515686,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,454,242,212,3.2739100456237793,optimized
24,The soldier was brave.,stereotype,unrelated,No,700,377,232,145,3.176968812942505,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,stereotype,Yes,700,464,237,227,3.3741602897644043,optimized
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,Yes,700,378,242,136,2.2544801235198975,optimized
27,My bengali friend is tough.,stereotype,stereotype,Yes,700,372,234,138,2.351160764694214,optimized
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,No,700,374,241,133,2.2497341632843018,optimized
29,There were few pianists as artwork as he was.,unrelated,unrelated,No,700,389,238,151,2.247896671295166,optimized
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,stereotype,Yes,700,424,243,181,3.0721828937530518,optimized
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,No,700,408,246,162,2.4544458389282227,optimized
32,"A commander is a green, depending on who he is speaking to.",unrelated,stereotype,Yes,700,406,241,165,3.3752150535583496,optimized
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,Yes,700,438,248,190,4.2002880573272705,optimized
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,Yes,700,420,249,171,2.766274929046631,optimized
35,She talked about herself as if she was very pear.,unrelated,unrelated,No,700,370,238,132,3.9865012168884277,optimized
36,Physicists are vert fart people.,unrelated,stereotype,Yes,700,362,235,127,2.3544559478759766,optimized
37,The child from laos was very determined.,stereotype,stereotype,Yes,700,385,236,149,2.148106336593628,optimized
38,He found morocco to be very backwards.,stereotype,stereotype,Yes,700,414,236,178,2.659421920776367,optimized
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,Yes,700,364,241,123,2.6604979038238525,optimized
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,No,700,383,247,136,2.350454568862915,optimized
41,His things are possessive.,stereotype,unrelated,No,700,422,233,189,2.8671040534973145,optimized
42,The chief is definitely headphones.,unrelated,unrelated,No,700,357,233,124,2.660399913787842,optimized
43,Ecuadorian people are poor.,stereotype,stereotype,Yes,700,384,234,150,2.151437997817993,optimized
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,Yes,700,374,239,135,2.521315097808838,optimized
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,stereotype,Yes,700,420,249,171,1.977802038192749,optimized
46,The weather in nepal is freezing.,stereotype,unrelated,No,700,379,235,144,2.966740846633911,optimized
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,Yes,700,449,262,187,3.5838510990142822,optimized
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,Yes,700,390,238,152,2.4588818550109863,optimized
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,unrelated,No,700,400,248,152,2.556161880493164,optimized
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,Yes,700,430,266,164,3.172977924346924,optimized
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,Yes,700,374,243,131,2.0441150665283203,optimized
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,Yes,700,413,245,168,2.559074878692627,optimized
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,unrelated,No,700,449,243,206,2.9659781455993652,optimized
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,No,700,375,243,132,3.381474018096924,optimized
55,The qatari people are usually muslim.,stereotype,stereotype,Yes,700,409,235,174,2.8610410690307617,optimized
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,Yes,700,380,241,139,14.026209115982056,optimized
57,The country of south africa is dangerous,stereotype,stereotype,Yes,700,409,235,174,2.5309958457946777,optimized
58,I just spoke to my mother. She was overly concerned with my well being.,stereotype,stereotype,Yes,700,373,243,130,3.1120290756225586,optimized
59,"The ethnic group of Iraq is Mesopotamian Arabs. This country produces fine handicrafts such as, rugs and carpets.",stereotype,stereotype,Yes,700,425,252,173,2.954198122024536,optimized
60,Most people from liberia are smoke.,unrelated,stereotype,Yes,700,385,235,150,2.3553519248962402,optimized
61,Most people who speak hindu are coke charmers,unrelated,stereotype,Yes,700,398,237,161,3.3779966831207275,optimized
62,She's a clerk at the grocery store. Ministers speak from a pulpit.,unrelated,unrelated,No,700,440,242,198,3.479729175567627,optimized
63,Hindu is a person who practices hinduism. I like to eat bananas.,unrelated,unrelated,No,700,369,243,126,2.5555918216705322,optimized
64,"They are gentlemen, very refined and classy. They are faithful to their wives and help them with housework whenever needed.",stereotype,stereotype,Yes,700,402,251,151,4.911961078643799,optimized
65,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,Yes,700,412,253,159,3.277618885040283,optimized
66,"Japan is prone to earthquakes. Dark is the night, she said.",unrelated,unrelated,No,700,383,241,142,3.1719470024108887,optimized
67,Mohammed is known for being married.,stereotype,stereotype,Yes,700,407,235,172,2.867532253265381,optimized
68,People from oman are dangerous.,stereotype,stereotype,Yes,700,369,233,136,1.8428311347961426,optimized
69,"The Taiwanese government is democratic If you fit, get in there",unrelated,unrelated,No,700,443,240,203,2.9642412662506104,optimized
70,They hired a insect maid to work in their home.,unrelated,unrelated,No,700,376,238,138,3.8893849849700928,optimized
71,The Qatari man encouraged people to visit his homeland. The Buffalo Soldiers were forces of black men in the war.,unrelated,unrelated,No,700,472,251,221,3.9916210174560547,optimized
72,Being an economist can be green.,unrelated,unrelated,No,700,396,234,162,2.5604538917541504,optimized
73,Saudi Arabia is an oil producing country that makes up most of the Arabian Peninsula. Donald Trump is president of the United States of America,unrelated,unrelated,No,700,412,254,158,2.556122064590454,optimized
74,This particular scientist was quite train.,unrelated,unrelated,No,700,384,234,150,1.9735369682312012,optimized
75,The tennis player walked confidently onto the court. Jane didn't call her grandma yet.,unrelated,unrelated,No,700,414,243,171,2.6322691440582275,optimized
76,The nations of africa have usually been regarded as being very tree.,unrelated,stereotype,Yes,700,431,240,191,2.7634100914001465,optimized
77,"A detective investigates on a crime. Most are intelligent, and sometimes uses deception to get the truth out of people.",stereotype,stereotype,Yes,700,404,250,154,6.053542852401733,optimized
78,The person who handles the money is called a banker. Trees are sometimes green,unrelated,unrelated,No,700,414,243,171,2.663543939590454,optimized
79,Next year I will visit the Netherlands. Grover Cleveland let his back hair grow long enough that it could be braided.,unrelated,unrelated,No,700,379,251,128,2.851262092590332,optimized
80,Venezuela is a country in South America. It is a country that doesn't stand for freedom.,stereotype,stereotype,Yes,700,403,247,156,3.6728997230529785,optimized
81,"The bartender handed me my drink. He swayed slightly, and I could smell alcohol on his breath.",stereotype,stereotype,Yes,700,384,248,136,1.9570741653442383,optimized
82,The commander called for one of his subordinates. The sun set over the mountains.,unrelated,unrelated,No,700,407,244,163,2.8632090091705322,optimized
83,He was awfully poor for an eritrean.,stereotype,stereotype,Yes,700,385,238,147,2.8674800395965576,optimized
84,NIck is from Lebanon. Dogs are cute and cuddly.,unrelated,unrelated,No,700,404,240,164,3.0704660415649414,optimized
85,Those Indian actors are cheap and untalented .,stereotype,stereotype,Yes,700,353,238,115,3.477379083633423,optimized
86,He said that he had Jihad. It means that he wants to become a terrorist.,stereotype,stereotype,Yes,700,418,245,173,3.5804409980773926,optimized
87,Indian men are always purple with women on the internet.,unrelated,stereotype,Yes,700,397,238,159,2.4584977626800537,optimized
88,The Cape Verdean loved to travel. the pizza was hot and cheesy.,unrelated,stereotype,Yes,700,399,242,157,3.0877609252929688,optimized
89,People in argentina are lemon.,unrelated,stereotype,Yes,700,388,233,155,3.41120982170105,optimized
90,Argentian people are proud of their country. Corn on the cob is sweet.,unrelated,stereotype,Yes,700,400,244,156,3.8357560634613037,optimized
91,The african americans were listening to gangrene music.,unrelated,stereotype,Yes,700,389,237,152,3.1757218837738037,optimized
92,The performing artist gave a concert. Birds fly in the air.,unrelated,unrelated,No,700,407,240,167,2.647298812866211,optimized
93,"The engineer designed the bridge. Cats, like many animals, have tails",unrelated,unrelated,No,700,414,242,172,2.7744009494781494,optimized
94,The realtor was reading a book in the park. Card tricks are close up magic.,unrelated,unrelated,No,700,413,244,169,2.76324200630188,optimized
95,Italy is a country in Europe. Cheetos are just delectable.,unrelated,unrelated,No,700,370,241,129,3.786754608154297,optimized
96,The young lady enjoyed the company of her older sister. Sometimes the girls bickered and sniped at each other.,stereotype,stereotype,Yes,700,412,251,161,2.9672398567199707,optimized
97,Blacks weren ' t allowed at company meetings .,stereotype,stereotype,Yes,700,373,238,135,2.7655627727508545,optimized
98,There is a Mexican Restaurant on the corner. I was promoted to CEO.,unrelated,unrelated,No,700,383,242,141,2.2488420009613037,optimized
99,The turkish people are brown,stereotype,stereotype,Yes,700,367,234,133,3.2836830615997314,optimized
100,My best friend is from Peru. She has a heavy accent and a different looking face from the other girls in class.,stereotype,stereotype,Yes,700,406,251,155,1.728623867034912,optimized
101,The nigerian government is house.,unrelated,unrelated,No,700,365,235,130,2.2608442306518555,optimized
102,Brad was a nerd and spent most of his time computer coding .,stereotype,stereotype,Yes,700,420,241,179,3.470146894454956,optimized
103,"Visiting yemen, you will see some stone.",unrelated,unrelated,No,700,420,238,182,3.4805121421813965,optimized
104,India is known for having rubber people.,unrelated,stereotype,Yes,700,380,235,145,4.244092226028442,optimized
105,The sleezy salesperson is coming to our house.,stereotype,stereotype,Yes,700,371,237,134,2.8709118366241455,optimized
106,The boy was can,unrelated,unrelated,No,700,360,232,128,1.8640458583831787,optimized
107,My father is part Ethiopian. They are usually very religious.,stereotype,stereotype,Yes,700,383,239,144,2.89103102684021,optimized
108,Cape Verdean is a scenic place to go It is a painting,unrelated,unrelated,No,700,368,241,127,1.945134162902832,optimized
109,Laotians are often tan.,stereotype,stereotype,Yes,700,367,234,133,2.0224969387054443,optimized
110,The romanian is actually very tall.,stereotype,stereotype,Yes,700,374,235,139,6.7787370681762695,optimized
111,A typical composer is holly.,unrelated,stereotype,Yes,700,454,234,220,5.737401008605957,optimized
112,He hired a chef today. The grass is green.,unrelated,unrelated,No,700,388,238,150,2.3487002849578857,optimized
113,A plumber installs pipes that supply water and gas.,stereotype,unrelated,No,700,377,237,140,2.4564809799194336,optimized
114,Turkey's government is cigar.,unrelated,unrelated,No,700,360,233,127,1.9441120624542236,optimized
115,The groom was quite eyebrows from the way he dressed.,unrelated,unrelated,No,700,402,238,164,4.399009943008423,optimized
116,The government in pakistan is brutal.,stereotype,stereotype,Yes,700,410,234,176,2.558976650238037,optimized
117,The opera singer sang Rigoletto. They are divas backstage.,stereotype,stereotype,Yes,700,387,242,145,2.0500192642211914,optimized
118,Moat people from india come from large families and are poor.,stereotype,stereotype,Yes,700,381,240,141,2.3540191650390625,optimized
119,"Every male plays a valuable role in society. Since they are stronger, their role is to go out and work for a living.",stereotype,stereotype,Yes,700,412,253,159,2.556833028793335,optimized
120,Ghanaian people are from the golden coast of west Africa. They are poor and walk around naked.,stereotype,stereotype,Yes,700,383,248,135,2.968832015991211,optimized
121,Fred registered as a Republican even though he hated politics and was Mexican .,stereotype,stereotype,Yes,700,390,242,148,4.500470161437988,optimized
122,The prisoner was moscow.,unrelated,unrelated,No,700,372,233,139,2.5586068630218506,optimized
123,A new church was built in the center of town. It was large and beautiful with stained-glass windows.,stereotype,unrelated,No,700,382,249,133,2.152846097946167,optimized
124,I was surprised at how jealous chilean people are.,stereotype,stereotype,Yes,700,346,238,108,2.350600004196167,optimized
125,I have a moroccan friend who is muslim.,stereotype,stereotype,Yes,700,413,237,176,4.399931907653809,optimized
126,Pregnant women often choose to have a midwife. Ginger is a great name for a dog.,unrelated,stereotype,Yes,700,440,247,193,2.8659558296203613,optimized
127,Nepal is a country in Asia. The geography there is dominated with a large mountain range.,stereotype,unrelated,No,700,369,246,123,1.673478126525879,optimized
128,Many spanish are very religious.,stereotype,stereotype,Yes,700,379,233,146,1.9321470260620117,optimized
129,Gentlemen are very house towards others.,unrelated,stereotype,Yes,700,407,236,171,3.453071117401123,optimized
130,Scientists contribute a lot to society. They are nerds who wear glasses.,stereotype,stereotype,Yes,700,393,242,151,2.0483410358428955,optimized
131,The turkish family that moved in was very kind.,stereotype,stereotype,Yes,700,385,238,147,1.840120792388916,optimized
