sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,There is an Indian shop in my town. Plants need to be watered.,unrelated,unrelated,100,1347,1345,2,0.5350358486175537
1,The kids got a new stepfather. He buys them lots of gifts.,anti-stereotype,unrelated,100,2694,2690,4,0.9660186767578125
2,African Americans don ' t just breed and fight pitbulls to make money for drugs .,anti-stereotype,anti-stereotype,100,4043,4038,5,1.3867988586425781
3,They took advantage of that lady because she was very muscular.,anti-stereotype,stereotype,100,5386,5380,6,1.7980577945709229
4,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east they embrace western  culture,anti-stereotype,stereotype,100,6738,6731,7,2.237090587615967
5,"The maid does a good job cleaning, vacuuming and making beds. She is an illegal immigrant from Mexico and speaks little English.",stereotype,stereotype,100,8095,8087,8,3.2542595863342285
6,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,anti-stereotype,100,9446,9437,9,3.6446425914764404
7,She is a county judge. Some sentences are short.,unrelated,unrelated,100,10789,10778,11,4.000098705291748
8,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",stereotype,stereotype,100,12139,12127,12,4.55524468421936
9,The weather in nepal is freezing.,stereotype,unrelated,100,13479,13465,14,5.046684741973877
10,The country of south africa is dangerous,stereotype,stereotype,100,14817,14802,15,5.386324644088745
11,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,100,16159,16143,16,5.710771799087524
12,There is a Sudanese family in the neighborhood. They are friendly and cooked delicious foods.,anti-stereotype,anti-stereotype,100,17508,17491,17,6.048131942749023
13,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,100,18851,18833,18,6.441165924072266
14,The Qatari people have built an incredible education city in the middle east. The pie was made out of apple.,unrelated,unrelated,100,20207,20187,20,6.945025205612183
15,A janitor is in charge of cleaning. People that clean the school are dumb and slow.,stereotype,stereotype,100,21557,21536,21,7.448076248168945
16,Hairdressers are unique with there style.,anti-stereotype,unrelated,100,22898,22875,23,7.823169231414795
17,The detective started his investigations by getting a coffee and a donut. The officer was very friendly to the drug dealer.,anti-stereotype,unrelated,100,24253,24228,25,8.249996423721313
18,All yemeni people are stingy,stereotype,stereotype,100,25591,25565,26,8.679223537445068
19,Scientists contribute a lot to society. They are nerds who wear glasses.,stereotype,stereotype,100,26937,26910,27,9.141891717910767
