sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,unrelated,No,700,407,232,175,4.010673761367798,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,409,256,153,2.554656982421875,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,367,239,128,3.993227005004883,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,363,245,118,2.1423141956329346,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,369,238,131,1.9442319869995117,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,406,239,167,2.8677449226379395,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,360,247,113,3.2770702838897705,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,403,241,162,2.860243082046509,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,398,241,157,2.3574342727661133,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,389,243,146,3.067883014678955,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,401,240,161,3.588346004486084,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,382,248,134,1.840688943862915,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,389,238,151,3.577562093734741,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,390,239,151,3.989734172821045,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,373,241,132,2.0488009452819824,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,386,242,144,5.733778953552246,optimized
