profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,219,0.5799086757990868,127,853.337899543379,1.0,854.337899543379,186881.0,219.0,187100.0,,,67.87814003206842,-26.197499999999955,0.08827204998798366,0.09354253699925516,219.0,-0.00011566035413311246
profile2,219,0.6073059360730594,133,856.337899543379,1.0,857.337899543379,187538.0,219.0,187757.0,,,70.83624045974318,55.679999999999914,0.12064888248017304,0.06527089607824087,219.0,-1.1539102239126127e-05
profile3,219,0.5981735159817352,131,854.337899543379,1.0,855.337899543379,187100.0,219.0,187319.0,,,69.93417645834111,,0.14416726748377792,0.09459040586991621,219.0,-5.262662192343508e-05
profile4,219,0.589041095890411,129,855.337899543379,1.0,856.337899543379,187319.0,219.0,187538.0,,,68.78605935863666,-54.584999999999916,0.12370583994232157,0.10401428617692098,219.0,-9.846899507365422e-05
profile5,219,0.5753424657534246,126,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,63.93959230898047,-40.87999999999987,0.114534967555876,0.10680628998903555,219.0,-0.00011010802300029294
profile6,219,0.593607305936073,130,895.8219178082192,1.0,896.8219178082192,196185.0,219.0,196404.0,,,66.19009796134497,-197.82999999999743,0.12919490507089643,0.0841186566922504,219.0,-4.3534181690186334e-05
profile7,219,0.6164383561643836,135,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,68.50670604533622,51.09999999999996,0.1646286950252343,0.07748678019736019,219.0,1.0730050512696831e-05
profile8,219,0.5844748858447488,128,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,65.0991999918626,-66.673333333333,0.12339341504446046,0.10296641730625991,219.0,-9.193295232706755e-05
profile9,219,0.6073059360730594,133,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,67.56688105180805,101.10499999999992,0.17928863254025476,0.10017441349414535,219.0,-2.3430886620334443e-05
profile10,219,0.5981735159817352,131,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,66.476877718067,,0.1615717375630858,0.10296641730625991,219.0,-4.9299862752274946e-05
profile11,219,0.6073059360730594,133,895.8219178082192,1.0,896.8219178082192,196185.0,219.0,196404.0,,,67.71756176045295,98.91499999999992,0.1850901225666907,0.10017441349414535,219.0,-1.7014196596456305e-05
profile12,219,0.593607305936073,130,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,65.96942063624968,-204.39999999999736,0.14691180004806537,0.10017441349414535,219.0,-5.938622507705406e-05
profile13,219,0.6027397260273972,132,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,67.1335499916083,200.02000000000228,0.15577024753664984,0.09354253699925516,219.0,-3.487866116958569e-05
profile14,219,0.6164383561643836,135,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,68.58292437589539,50.55249999999996,0.19394857005527516,0.09354253699925516,219.0,7.636102236471382e-06
profile15,219,0.6027397260273972,132,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,66.98433479988431,204.40000000000234,0.1615717375630858,0.09354253699925516,219.0,-2.835376192832662e-05
profile16,219,0.589041095890411,129,895.8219178082192,1.0,896.8219178082192,196185.0,219.0,196404.0,,,65.68094336164233,-98.91499999999992,0.1643162701273732,0.1095982938011501,219.0,-6.11942197053472e-05
profile17,219,0.6073059360730594,133,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,67.49179188170162,102.19999999999992,0.15577024753664984,0.08691066050436497,219.0,-2.006071769850727e-05
profile18,219,0.5799086757990868,127,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,64.59061249192618,-50.00499999999996,0.10873347752944004,0.10296641730625991,219.0,-0.00010826128785134228
profile19,219,0.589041095890411,129,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,65.53479440363337,-101.10499999999992,0.13805335255948087,0.10296641730625991,219.0,-7.552050156783376e-05
profile20,219,0.5799086757990868,127,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,64.44704939079777,-51.09999999999996,0.10873347752944004,0.10017441349414535,219.0,-0.00010181497877047359
profile21,219,0.5981735159817352,131,895.8219178082192,1.0,896.8219178082192,196185.0,219.0,196404.0,,,66.69925256104764,,0.14691180004806537,0.09354253699925516,219.0,-4.479515180519462e-05
profile22,219,0.593607305936073,130,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,65.96942063624968,-204.39999999999736,0.12919490507089643,0.0841186566922504,219.0,-4.3389039031971605e-05
profile23,219,0.5799086757990868,127,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,64.59061249192618,-50.00499999999996,0.114534967555876,0.10575842111837448,219.0,-0.0001080190545109737
profile24,219,0.5753424657534246,126,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,64.01072941750238,-40.44199999999987,0.10567652006729152,0.10296641730625991,219.0,-0.00011154191120495118
profile25,219,0.6027397260273972,132,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,66.98433479988431,204.40000000000234,0.15851478010093725,0.0841186566922504,219.0,-1.0804952725807822e-05
profile26,219,0.593607305936073,130,895.8219178082192,1.0,896.8219178082192,196185.0,219.0,196404.0,,,66.19009796134497,-197.82999999999743,0.16737322758952172,0.11239029761326468,219.0,-6.401200338335609e-05
profile27,219,0.6118721461187214,134,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,67.99924896351891,68.13333333333355,0.19394857005527516,0.10575842111837448,219.0,-1.952416565298442e-05
profile28,219,0.6027397260273972,132,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,67.1335499916083,200.02000000000228,0.1499687575102139,0.09354253699925516,219.0,-4.134039919509373e-05
profile29,219,0.593607305936073,130,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,66.04281606567704,-202.2099999999974,0.14385484258591685,0.09354253699925516,219.0,-4.809654788794043e-05
profile30,219,0.593607305936073,130,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,65.96942063624968,-204.39999999999736,0.1615717375630858,0.1095982938011501,219.0,-6.404028274792047e-05
profile31,219,0.5799086757990868,127,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,64.59061249192618,-50.00499999999996,0.12645037250660895,0.11902217410815487,219.0,-0.00012429410944001705
profile32,219,0.589041095890411,129,899.8219178082192,1.0,900.8219178082192,197061.0,219.0,197280.0,,,65.38929440389295,-103.29499999999992,0.1411103100216294,0.11239029761326468,219.0,-9.288215967088953e-05
profile33,219,0.6073059360730594,133,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,67.56688105180805,101.10499999999992,0.17043018505167026,0.09354253699925516,219.0,-1.8529687156998876e-05
profile34,219,0.5981735159817352,131,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,66.476877718067,,0.1615717375630858,0.10017441349414535,219.0,-4.3094181923972155e-05
profile35,219,0.593607305936073,130,899.8219178082192,1.0,900.8219178082192,197061.0,219.0,197280.0,,,65.89618815896188,-206.58999999999733,0.17623167507810622,0.1162301702960403,219.0,-6.24192910967173e-05
profile36,219,0.5844748858447488,128,896.8219178082192,1.0,897.8219178082192,196404.0,219.0,196623.0,,,65.0991999918626,-66.673333333333,0.15851478010093725,0.12181417792026943,219.0,-9.480006452435754e-05
profile37,219,0.6073059360730594,133,899.8219178082192,1.0,900.8219178082192,197061.0,219.0,197280.0,,,67.41686942416871,103.29499999999992,0.17623167507810622,0.09354253699925516,219.0,-1.2048329093514284e-05
profile38,219,0.6073059360730594,133,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,67.56688105180805,101.10499999999992,0.17043018505167026,0.09633454081136972,219.0,-2.4742272223733496e-05
profile39,219,0.5844748858447488,128,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,64.95450647261508,-68.133333333333,0.12339341504446046,0.10017441349414535,219.0,-8.55229356173917e-05
profile40,219,0.593607305936073,130,899.8219178082192,1.0,900.8219178082192,197061.0,219.0,197280.0,,,65.89618815896188,-206.58999999999733,0.14691180004806537,0.10017441349414535,219.0,-5.932030058753726e-05
profile41,219,0.5844748858447488,128,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,65.02677274158971,-67.40333333333301,0.14385484258591685,0.11239029761326468,219.0,-9.003535743537526e-05
profile42,219,0.5981735159817352,131,900.8219178082192,1.0,901.8219178082192,197280.0,219.0,197499.0,,,66.32944976936592,,0.1527132900745013,0.09354253699925516,219.0,-3.81137154079665e-05
profile43,219,0.6027397260273972,132,898.8219178082192,1.0,899.8219178082192,196842.0,219.0,197061.0,,,66.98433479988431,204.40000000000234,0.1527132900745013,0.08691066050436497,219.0,-2.3458009319936832e-05
profile44,219,0.5981735159817352,131,899.8219178082192,1.0,900.8219178082192,197061.0,219.0,197280.0,,,66.40308191403082,,0.15577024753664984,0.10017441349414535,219.0,-4.9486561739199874e-05
profile45,219,0.5662100456621004,124,900.8219178082192,1.0,901.8219178082192,197280.0,219.0,197499.0,,,62.78512802596468,-29.825714285714213,0.08521509252583513,0.1095982938011501,219.0,-0.00014856757462947077
profile46,219,0.5981735159817352,131,897.8219178082192,1.0,898.8219178082192,196623.0,219.0,196842.0,,,66.55083772772072,,0.16737322758952172,0.10296641730625991,219.0,-4.2900163268187604e-05
profile47,219,0.593607305936073,130,900.8219178082192,1.0,901.8219178082192,197280.0,219.0,197499.0,,,65.82311809173717,-208.7799999999973,0.1615717375630858,0.10680628998903555,219.0,-5.7706340228972206e-05
