profile,n_calls,accuracy,n_correct,prompt_tokens_mean,completion_tokens_mean,tokens_per_sample,total_prompt_tokens,total_completion_tokens,total_tokens,cost_per_sample,total_cost,efficiency_acc_per_1k_tokens,delta_cost_per_accuracy_point_vs_baseline,rescue_rate,extra_err_rate,N_weight,RAE_lambda
profile1,500,0.73,365,512.76,1.0,513.76,256380.0,500.0,256880.0,,,142.08969168483338,-1.4764285714285754,0.15795381734969838,0.025921491443879504,500.0,0.00020653775004270353
profile2,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.14306012065737467,0.043403422448198566,500.0,0.0001088576433179378
profile3,500,0.714,357,513.76,1.0,514.76,256880.0,500.0,257380.0,,,138.70541611624833,-2.6116666666666766,0.1295779072186395,0.03364359521075939,500.0,0.00012100924080565839
profile4,500,0.708,354,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.27315030246626,-3.556666666666688,0.10325358851674642,0.03230097862336668,500.0,7.494111848536734e-05
profile5,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.15526211774495527,0.04846880979716801,500.0,0.00011286573680358243
profile6,500,0.71,355,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.1968234194955,-5.167500000000014,0.11506594549615146,0.034414411459187576,500.0,8.999751358178197e-05
profile7,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-1.8900000000000226,0.12752631578947368,0.04027112787709802,500.0,9.0920466048606e-05
profile8,500,0.702,351,513.76,1.0,514.76,256880.0,500.0,257380.0,,,136.37423265210973,,0.07795111296026627,0.0312349242797004,500.0,3.0074722979379662e-05
profile9,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-2.1340000000000128,0.11981714166840024,0.03389164069761084,500.0,0.00010088773901267754
profile10,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-0.8100000000000097,0.14408986894112752,0.036347504237056474,500.0,0.00013815864321351223
profile11,500,0.714,357,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.97539707256303,-3.445000000000009,0.09554441439567297,0.023291454813842875,500.0,9.53003440672439e-05
profile12,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.11442583732057415,0.03126160406757421,500.0,0.00010043855790971774
profile13,500,0.714,357,513.76,1.0,514.76,256880.0,500.0,257380.0,,,138.70541611624833,-2.6116666666666766,0.10466507177033492,0.025968684052266138,500.0,0.00010243162573976736
profile14,500,0.71,355,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.66092756320768,-2.667500000000016,0.09657416267942583,0.028108796675960855,500.0,7.824679953370583e-05
profile15,500,0.7,350,515.76,1.0,516.76,257880.0,500.0,258380.0,,,135.45940088242125,5.670000000000067,0.13060765550239234,0.054056967907714165,500.0,4.3528368463046696e-05
profile16,500,0.712,356,512.76,1.0,513.76,256380.0,500.0,256880.0,,,138.5861102460293,-4.134000000000011,0.1053051799459122,0.029127658411240504,500.0,9.157945952084862e-05
profile17,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-1.8900000000000226,0.12623819429997918,0.04290733147449565,500.0,7.82249619765227e-05
profile18,500,0.704,352,513.76,1.0,514.76,256880.0,500.0,257380.0,,,136.76276322946615,-15.670000000000059,0.08206220095693778,0.031804887649663764,500.0,3.5846657971890306e-05
profile19,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-2.1340000000000128,0.10800478468899521,0.027586025914384124,500.0,0.00010243666213011278
profile20,500,0.708,354,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.00750832107747,-1.8900000000000226,0.11442583732057415,0.03632699141654366,500.0,8.083414832318066e-05
profile21,500,0.716,358,512.76,1.0,513.76,256380.0,500.0,256880.0,,,139.36468389909683,-2.952857142857151,0.10800478468899521,0.023834738395932423,500.0,0.00011743870269606503
profile22,500,0.71,355,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.39453518074154,-1.4175000000000169,0.12482671104639069,0.03630031162866984,500.0,0.00010106449374767979
profile23,500,0.716,358,513.76,1.0,514.76,256880.0,500.0,257380.0,,,139.09394669360478,-2.238571428571437,0.1208468899521531,0.02857820786178995,500.0,0.0001237284836206644
profile24,500,0.706,353,514.76,1.0,515.76,257380.0,500.0,257880.0,,,136.88537304172482,-5.335000000000032,0.08707177033492823,0.028604887649663766,500.0,5.789901317589712e-05
profile25,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-0.8100000000000097,0.13599895985021845,0.034689136733912856,500.0,0.00012891997519620858
profile26,500,0.724,362,512.76,1.0,513.76,256380.0,500.0,256880.0,,,140.921831205232,-1.879090909090914,0.1417799043062201,0.025921491443879504,500.0,0.00017505629363605784
profile27,500,0.716,358,515.76,1.0,516.76,257880.0,500.0,258380.0,,,138.5556157597337,-0.8100000000000097,0.12790805075930936,0.03150964955442567,500.0,0.0001255684488939895
profile28,500,0.72,360,513.76,1.0,514.76,256880.0,500.0,257380.0,,,139.87100784831765,-1.7411111111111177,0.13265924693155812,0.028330162374938496,500.0,0.00014763952556857784
profile29,500,0.712,356,514.76,1.0,515.76,257380.0,500.0,257880.0,,,138.04870482394912,-2.1340000000000128,0.12148699812773041,0.03391832048548466,500.0,0.00010402194268024098
profile30,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.12623819429997918,0.03707112787709802,500.0,0.0001008126374831317
profile31,500,0.718,359,513.76,1.0,514.76,256880.0,500.0,257380.0,,,139.48247727096123,-1.9587500000000073,0.1289377990430622,0.029127658411240504,500.0,0.0001373115281307429
profile32,500,0.72,360,516.76,1.0,517.76,258380.0,500.0,258880.0,,,139.06056860321382,-0.07444444444445246,0.16335302683586436,0.039975889781859925,500.0,0.00016108090094280075
profile33,500,0.71,355,514.76,1.0,515.76,257380.0,500.0,257880.0,,,137.66092756320768,-2.667500000000016,0.12251674641148326,0.0373458531518233,500.0,9.272731523932964e-05
profile34,500,0.712,356,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.78156204040562,-1.1340000000000134,0.14344976076555024,0.042659285987644194,500.0,0.00011249165723016847
profile35,500,0.71,355,516.76,1.0,517.76,258380.0,500.0,258880.0,,,137.1291718170581,-0.16750000000001805,0.14306012065737467,0.04533651522606747,500.0,0.00010118025765845126
profile36,500,0.71,355,513.76,1.0,514.76,256880.0,500.0,257380.0,,,137.92835496153546,-3.9175000000000146,0.1241866028708134,0.0373458531518233,500.0,9.615140369719248e-05
profile37,500,0.712,356,516.76,1.0,517.76,258380.0,500.0,258880.0,,,137.51545117428927,-0.13400000000001444,0.1548803827751196,0.04506795691870319,500.0,0.00012504725922765994
profile38,500,0.706,353,514.76,1.0,515.76,257380.0,500.0,257880.0,,,136.88537304172482,-5.335000000000032,0.1241866028708134,0.04290733147449565,500.0,7.43988287610945e-05
profile39,500,0.71,355,515.76,1.0,516.76,257880.0,500.0,258380.0,,,137.39453518074154,-1.4175000000000169,0.1295779072186395,0.039975889781859925,500.0,9.603322171785673e-05
profile40,500,0.716,358,516.76,1.0,517.76,258380.0,500.0,258880.0,,,138.28800988875153,-0.09571428571429602,0.16938443935926772,0.04930733147449565,500.0,0.00013668451871576875
profile41,500,0.722,361,514.76,1.0,515.76,257380.0,500.0,257880.0,,,139.98759112765626,-1.0670000000000064,0.10633492822966505,0.014798534798534798,500.0,0.00014878598307855486
