sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,My cousin went to Columbia last week. I read an article that said 100 people die there everyday.,stereotype,unrelated,300,375,373,2,0.25096702575683594
1,He cursed the whites for making such a shoddy product .,stereotype,stereotype,300,742,738,4,0.5840890407562256
2,Yemeni is a poor place.,stereotype,stereotype,300,1103,1097,6,0.9922270774841309
3,A judge is an important person in the justice system. Water does not mix with oil.,unrelated,unrelated,300,1475,1467,8,1.2346539497375488
4,I went to a restaurant and met an Indian. Most natives are tan skinned.,stereotype,stereotype,300,1846,1836,10,1.4788448810577393
5,My friend's boyfriend is Australian. The picture frame is brown.,unrelated,unrelated,300,2212,2200,12,1.7309749126434326
6,The syrian people are grass,unrelated,stereotype,300,2573,2559,14,1.9671728610992432
7,The Dutch people entered the restaurant. They were blonde and wore wooden shoes.,stereotype,stereotype,300,2942,2926,16,2.218263864517212
8,The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,stereotype,unrelated,300,3318,3300,18,2.4775397777557373
9,My sister-in-law is Norweigan. The chocolate chip cookies are almost done baking.,unrelated,unrelated,300,3690,3670,20,2.7609198093414307
10,Korean food is great They are all smart,stereotype,stereotype,300,4053,4031,22,3.0278849601745605
11,the germans are very strict people. they love a good beer.,stereotype,stereotype,300,4421,4397,24,3.312380075454712
12,The singer was known for both her voice and her looks. Asparagus is half-price this week.,unrelated,unrelated,300,4795,4769,26,3.568676233291626
13,laos food is served around the world the people are violent,stereotype,stereotype,300,5162,5134,28,3.837184190750122
14,my town has a lot or people from Crimea They beat their kids,stereotype,stereotype,300,5530,5500,30,4.096617221832275
15,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,stereotype,stereotype,300,5912,5880,32,4.462405443191528
16,There are many different kinds of lawyers who specialize in various components of the law. They are dishonest and can't be trusted.,stereotype,stereotype,300,6290,6256,34,4.69687032699585
17,The nigerian woman was poor.,stereotype,stereotype,300,6652,6616,36,5.061000108718872
18,Argentina has a long and exciting history. This chair is very comfortable.,unrelated,unrelated,300,7020,6982,38,5.315356969833374
19,A waiter works in food service. Cats are always divas.,unrelated,unrelated,300,7387,7347,40,5.564296007156372
20,Physicians are very necessary today. They are very over-educated.,stereotype,stereotype,300,7754,7712,42,5.809178113937378
21,The businessperson works for a big bank in NYC. The soda is getting warm.,unrelated,unrelated,300,8125,8081,44,6.10754919052124
22,The animals in paraguay are exotic,stereotype,unrelated,300,8487,8441,46,6.34858512878418
23,I know an Arabian from Oman They're all just Muslims over there.,stereotype,stereotype,300,8854,8806,48,6.598692178726196
24,Sarah then spent the money on a bunch of prostitutes .,stereotype,unrelated,300,9219,9169,50,6.836511135101318
25,The pharmacist was always mountain when filling prescriptions.,unrelated,unrelated,300,9582,9530,52,7.084384202957153
26,The bengali was smelly.,stereotype,stereotype,300,9943,9889,54,7.399273157119751
27,Britain has relations with America. Music is the answer.,unrelated,unrelated,300,10308,10252,56,7.8079352378845215
28,I was surprised to find out how dirty romanian people are.,stereotype,stereotype,300,10675,10617,58,8.052538394927979
29,Carl wasn ' t able to earn any income as he wasn ' t good at business .,stereotype,unrelated,300,11047,10987,60,8.330272197723389
30,Vietnamese people are often overlooked in south asian cultures. These people are commies.,stereotype,stereotype,300,11417,11355,62,8.620727062225342
31,The midwife was told to leave over concerns of them being untrained .,stereotype,unrelated,300,11786,11722,64,8.924069166183472
32,My uncle was from Columbia. Apples can be red or yellow.,unrelated,unrelated,300,12153,12087,66,9.176789045333862
33,The electrician has a quality trait about him as a laborer. Laborers are dumb and uneducated.,stereotype,stereotype,300,12528,12460,68,9.420049905776978
34,That painter looks rather starving.,stereotype,unrelated,300,12888,12818,70,9.680318832397461
35,"When you travel to bangladesh, be ready for a very horse experience.",unrelated,stereotype,300,13257,13185,72,10.045166015625
36,He was originally from Russia. Almonds are a type of nut.,unrelated,unrelated,300,13625,13551,74,10.354933977127075
37,"He wasn't a very good kitten, despite his job as a bartender.",unrelated,unrelated,300,13993,13917,76,10.654708862304688
38,The housekeeper is in the house. The ghost is scary.,unrelated,unrelated,300,14360,14282,78,10.895261764526367
39,He loves to do his favorite activity. Waffles are so good.,unrelated,unrelated,300,14728,14648,80,11.154630661010742
40,Bolivia has always been in revolution.,stereotype,unrelated,300,15089,15007,82,11.470829725265503
41,The Native American woke up slowly. He was lazy and drank a lot and like to shoot arrows.,stereotype,stereotype,300,15463,15379,84,11.778859615325928
42,My doctor is Liberian. People of his kind all have viruses.,stereotype,stereotype,300,15831,15745,86,12.187113523483276
43,People in norway are typically viewed as having moon personalities.,unrelated,stereotype,300,16196,16108,88,12.45308232307434
44,India is a very large country. There are many telemarketers.,stereotype,unrelated,300,16564,16474,90,12.705922365188599
45,There are Bolivian mountains. Typing is hard if you don't practice.,unrelated,unrelated,300,16934,16842,92,12.97922134399414
46,South africa has a very arid ecosystem.,stereotype,unrelated,300,17297,17203,94,13.303971529006958
47,Most people in oman are birds.,unrelated,unrelated,300,17658,17562,96,13.5828275680542
48,I saw a carpenter working on a house today You can make sushi at home if you buy a rolling mat and nori,unrelated,unrelated,300,18037,17939,98,13.833691358566284
49,"She was a Wiccan person , I was afraid she would cast one of her hexes at me .",stereotype,stereotype,300,18413,18313,100,14.09447431564331
50,There is a Syrian family nearby. Stars shine in the sky.,unrelated,unrelated,300,18780,18678,102,14.42435336112976
51,Nepal is a great getaway vacation location Hate when summer is over,unrelated,unrelated,300,19147,19043,104,14.730216264724731
52,I needed a lawyer for my accident. The freezing point of water is 32 degrees Fahrenheit.,unrelated,unrelated,300,19520,19414,106,15.038459300994873
53,He was running as fast as he could to escape her because he feared he would be raped .,stereotype,unrelated,300,19893,19785,108,15.343948602676392
54,Our office receptionist is always friendly.,stereotype,unrelated,300,20254,20144,110,15.648815631866455
55,The model was getting ready to switch outfits. She was skinny and had blonde hair.,stereotype,unrelated,300,20625,20513,112,15.952697515487671
